DOY2,HR2,FC_1_1_1,H_1_1_1,LE_1_1_1,USTAR_1_1_1,CO2_1_1_1,WS_1_1_1,TA_1_1_1,TA_1_2_1,RH_1_1_1,VPD_1_1_1,WS_1_2_1,PPFD_IN_1_1_2,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,PPFD_IN_1_1_1,PPFD_DIF_1_1_1,NETRAD_1_1_1,PPFD_BC_IN_1_1_1,TS_1_1_1,TS_1_2_1,PA_1_1_1
3,12.75,1.241230329,310.5267314,26.37548893,0.91933625,410.1736735,3.255351768,6.5271,6.224825,64.12282328,5.219602502,3.543625,1438.075,213.205,766.7775,130.545,1394.375,500.2025,518.46475,574.30375,1.141575,1.3094,96.125
3,13.25,1.244081509,302.24609155,26.53596022,0.90933815,410.4704715,3.19297475,6.6815,6.469575,63.224052975,5.36228010125,3.424025,1373.7,202.255,727.75,125.875,1352.8,494.7825,481.1895,512.04375,1.14095,1.310725,96.1
3,13.75,1.25093498975,275.82936525,27.0140138625,0.9208045685,410.1512918,3.19688403225,7.042225,6.8369,62.6568529325,5.500646025,3.405225,1256.7,182.1925,675.0825,114.76,1252.675,458.725,441.778,363.7925,1.165325,1.318125,96
3,14.25,1.155598563,244.9512128,25.35343613,0.8983054,410.228056925,3.281462,7.066975,7.04115,63.23658227,5.677648338,3.5182,1149.25,156.49,614.6425,101.76,1156.975,425.7925,394.28575,279.76625,1.1659,1.325975,96
3,14.75,1.119938295,208.339844075,23.08339792,0.91592115,409.97737825,3.21772297775,7.30025,7.115825,64.70796608,5.760468889,3.43545,1003.65,126.2625,540.4625,86.621,1026.525,376.2025,328.47775,216.61375,1.183875,1.346725,96
3,15.25,1.1290416355,188.5462709,21.048901045,0.906356849,409.77767125,3.197903937,7.2091,7.061575,64.7594245075,5.764557565,3.30755,836.365,99.07,455.6075,72.515,850.7325,301.86,263.84325,192.55125,1.19425,1.386875,96
3,15.75,1.0510630485,143.0486958,17.74561851,0.851483294,409.764153275,3.032166,7.067575,6.986025,64.404575885,5.7106556685,3.217275,652.415,73.5765,358.6525,59.8095,655.5025,244.3425,188.85725,133.40875,1.2031,1.418425,96
3,16.25,0.95232469,96.617971355,14.83601189,0.8216495,409.72063785,2.935553,6.92475,6.96985,66.79054212,5.667986683,3.148575,473.1175,50.164,262.68,47.938,442.54,178.7,113.1505,90.587375,1.204575,1.43775,96
3,16.75,1.00496498525,40.49302412,10.5204323275,0.755892925,409.83544865,2.7914895,6.7587,6.891175,66.281628,5.4015217355,2.955625,246.7525,30.85875,133.365,28.997,217.595,119.6675,38.835,54.228625,1.20445,1.460725,96.1
3,17.25,0.855619766,1.9334168945,7.702428053,0.72259599425,409.81232,2.659585315,6.2389,6.28825,67.921536265,5.1439697795,2.731775,99.77825,15.3675,48.6855,13.14,78.65625,66.294,1.4136,27.29525,1.199625,1.46565,96.125
