DOY2,HR2,CO2,FC,H,LE,TA,T_SONIC,T_SONIC_SIGMA,RH,VPD,PA,NETRAD,PPFD_IN,TS,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA
2,21.25,406.7327,0.710309,-23.09186,8.201379,0.41892435,1.023328,0.2544296,66.64429,1.911431,93.660835,-27.939065,0.0097126175,1.915,3.0635,0.2179442,0.4952961,0.5719252,0.2398938
2,21.75,408.14435,0.619597,-22.44025,4.349873,0.43218435,1.081865,0.2540925,66.910655,1.932356,93.65615,-32.74269,0.01216727,1.745,3.520619,0.2220763,0.5330734,0.5971669,0.2311636
2,22.25,406.28225,0.6270735,-20.97967,6.011813,0.3589301,0.91532595,0.2266048,66.49624,1.929616,93.66045,-32.723765,0.019770755,1.7,3.5479915,0.23300745,0.51051475,0.5805467,0.2455714
2,22.75,404.4828,0.624216,-23.45426,8.532712,0.246988,0.768137,0.2543286,66.21313,1.928805,93.664775,-36.069415,0.01686369,1.653333,3.394594,0.2355638,0.5501047,0.6822273,0.2455862
2,23.25,408.3055,0.564391,-20.188395,5.455958,0.13131451,0.6633929,0.2256163,65.55475,1.9462395,93.65345,-35.829595,0.019540305,1.476667,3.719985,0.2332362,0.5153115,0.5843529,0.2604656
2,23.75,407.24205,0.7049035,-21.974475,4.558736,0.01611106,0.6060949,0.210476,65.88318,1.843214,93.6549,-35.31416,0.02827816,1.476667,3.434157,0.24357265,0.5054468,0.6295893,0.25541615
3,0.25,388.2613,0.76355,-23.070195,2.956432,1.2714955,1.8888605,0.33810995,61.3423,2.4998585,93.449795,-48.627195,0.07067879,2.635,2.4928725,0.2026635,0.52558265,0.55066585,0.201481
3,0.75,388.5561,0.7319165,-26.72086,3.137177,1.5251465,2.140258,0.301531,62.306815,2.5187445,93.46369,-47.242745,0.07468856,2.495,2.7089055,0.18818915,0.50353955,0.57903365,0.20086375
3,1.25,389.4053,0.5901875,-23.24711,3.103185,1.374776,1.8206215,0.33191085,62.550345,2.460172,93.475465,-46.113665,0.074802375,2.4,2.699258,0.2076546,0.54031595,0.5934146,0.2125539
3,1.75,386.2579,0.756693,-27.10085,2.70883,1.3354425,1.893268,0.33145745,62.864575,2.394306,93.47167,-43.603315,0.072947695,2.383333,2.381071,0.20380295,0.5742468,0.6095762,0.19140015
3,2.25,388.7817,0.655863,-24.60306,3.94392,1.315676,1.856565,0.3249967,63.51816,2.3721295,93.455115,-45.01803,0.069687505,2.283333,2.6906975,0.1986553,0.5168445,0.62581035,0.20555255
3,2.75,388.2298,0.6804585,-23.264375,3.950919,0.9904057,1.521146,0.3251081,64.112085,2.2247195,93.456515,-46.27591,0.06530808,2.2,2.546354,0.18914795,0.506699,0.6024212,0.200881
3,3.25,389.856,0.633994,-24.32192,2.1109975,0.93457415,1.4971345,0.3139124,63.36745,2.204057,93.46936,-46.3454,0.06145259,2.1683335,2.572586,0.175769,0.55079945,0.56313805,0.19906155
3,3.75,388.4893,0.694051,-24.231805,2.476693,0.84711785,1.4301665,0.29232865,63.67916,2.205623,93.482395,-48.27074,0.06918971,2.1,2.937816,0.20725555,0.51739725,0.61476895,0.21928905
3,4.25,389.8971,0.699369,-25.92543,3.073896,1.090736,1.6791495,0.28627165,63.25243,2.080608,93.49028,-49.43665,0.06651442,2.051667,3.1132915,0.2203337,0.5462908,0.5945371,0.2242043
3,4.75,389.5031,0.701442,-23.44069,4.620118,0.91024565,1.624135,0.273114,63.079895,2.133722,93.49926,-48.56328,0.066890825,2,3.135843,0.2045017,0.54563375,0.60119455,0.22423945
3,5.25,389.08585,0.680158,-26.49418,5.680712,1.02276245,1.6369715,0.2732212,64.04809,2.129432,93.512925,-46.448555,0.09480338,2,3.4021005,0.22042315,0.5418076,0.5771213,0.23608565
3,5.75,389.96645,0.654163,-22.98669,4.1302735,0.88603035,1.4608185,0.2687008,64.62028,2.1274685,93.544485,-43.21399,1.7152235,1.92,3.4803415,0.22251125,0.5539379,0.57628965,0.2378794
3,6.25,390.1751,0.612525,-19.89934,4.055053,0.92810535,1.436607,0.2375609,64.63887,2.1127985,93.55882,-26.73044,19.95652,1.9,3.7463355,0.23359515,0.56831345,0.62703065,0.2563344
3,6.75,389.916,0.711315,-17.30111,7.203731,1.00055285,1.506013,0.2179471,64.31467,2.255396,93.567625,-3.3468195,89.08982,1.885,3.82315,0.2506857,0.5952772,0.61367795,0.267256
3,7.25,389.7896,0.549465,-9.814107,14.190055,1.632726,1.7778615,0.25407505,63.58382,2.459059,93.58546,23.52692,200.33515,2.156667,3.91674,0.25233675,0.6220622,0.632673,0.2766961
3,7.75,389.3008,0.33874,6.9164735,21.5532,1.8671235,2.0981525,0.2775322,61.05299,2.621059,93.604385,52.789795,361.9042,2.7816665,4.016345,0.27067985,0.6807817,0.68432765,0.2979013
3,8.25,388.7502,0.236967,25.30614,29.206845,2.380322,2.436473,0.31318835,59.59818,2.9187065,93.618165,93.56515,580.3964,3.025,3.941651,0.2836421,0.74646995,0.7085471,0.2974548
3,8.75,388.2344,0.16189,31.27327,34.92771,3.494107,3.0194195,0.3206303,56.88797,3.2922995,93.640115,126.3158,637.43135,3.1266665,4.356808,0.3168106,0.74204665,0.7655265,0.3173104
3,9.25,388.18925,0.0474,37.54984,42.56609,3.8966845,3.8093605,0.3589025,54.16209,3.4896225,93.65108,141.78435,741.0104,3.553333,4.559816,0.30360835,0.7366406,0.79708275,0.3186881
3,9.75,388.55745,-0.133699,57.06823,50.17636,4.821593,4.6265165,0.43832165,52.95767,3.910662,93.64374,187.13,816.59815,3.7116665,4.482529,0.3203703,0.8042397,0.844083,0.3180625
3,10.25,387.7718,-0.04358585,69.28399,49.0463,5.242092,5.0522955,0.4676993,53.70311,4.140672,93.64808,202.01165,813.2792,3.9133335,4.595047,0.3274112,0.80995185,0.82028425,0.3291247
3,10.75,387.5881,-0.121949,69.7185,60.91685,5.543897,5.3805745,0.5263184,52.31368,4.3885155,93.64875,221.3071,965.2024,4.0516665,4.777853,0.3161655,0.8539384,0.8331909,0.32456715
3,11.25,387.8677,-0.2902525,80.086965,61.06734,6.0287225,5.734953,0.5610253,51.230615,4.780856,93.610415,230.75625,999.55505,4.3999995,4.438118,0.3403109,0.8789027,0.9676653,0.3202093
3,11.75,387.8966,-0.259371,88.72272,82.18321,6.612659,6.570557,0.5761302,48.48393,5.1810785,93.609815,220.76665,1040.9185,4.718333,4.467463,0.3404898,0.9271753,0.9782682,0.3227879
3,12.25,387.03965,-0.3377145,88.13286,76.34186,7.0309135,6.880103,0.5648983,46.08009,5.393431,93.599315,223.8609,1016.8445,4.9549995,4.144951,0.3405401,0.9370952,0.9540993,0.3282671
3,12.75,386.8598,-0.274971,99.667785,55.29339,7.036843,7.303938,0.57568635,46.00637,5.597087,93.6249,204.7782,867.95755,4.9883325,3.964398,0.3244416,0.92888155,0.90746025,0.30540625
