DOY2,HR2,CO2_1_1_1,TS_1_1_1,TS_2_1_1,G_1_2_1,G_1_2_2,NEE,NETRAD,G_1_1_1,USTAR,FC_1_1_1,FC_1_1_2,LE_1_1_1,LE_1_1_2,H_1_1_2,H_1_1_1,SLE,SH,PPFD_IN_1_1_1,PPFD_IN_1_1_2,PPFD_OUT,PPFD_IN_1_2_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,RH_1_1_1,RH_1_2_1,WS,PA,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,PPFD_IN_1_1_3
1,20.75,413.9741,0.48608,1.6443,-1.8725,-2.0736,0.11363,-4.8837,-1.786,0.268225,-0.0059453,0.073012,-0.16984,0.029012,-9.0341,-6.4716,-0.67448,-4.0882,0.20236,0.0673,-0.088075,0.061565,-20.315,-18.905,-16.8945,87.8,83.1625,2.90365,98.2,0.8935,1.60185,1.5879,1.7925,0.12312,0.85795,1.0973,1.3658,0.20236
1,21.25,414.24765,0.46814,1.60075,-1.8741,-2.0717,0.124545,-5.43235,-1.8653,0.27417,-0.0247055,0.093493,-0.359,0.015595,-9.7598,-10.1767,-0.5415,-3.115,0.210565,0.06906,-0.103705,0.06155,-20.7144,-18.9,-17.361,87.3,83.059,2.8261,98.1,0.893865,1.6011,1.5876,1.7926,0.12238,0.85892,1.09845,1.36625,0.210565
1,21.75,414.3881,0.46016,1.56025,-1.8756,-2.0698,0.1485,-5.65935,-1.88345,0.277875,0.049498,0.15515,0.0050151,-0.013691,-12.1328,-10.842,-0.51158,-2.3753,0.201875,0.04967,-0.10489,0.048575,-20.7943,-19.35,-17.471,87.4,83.494,2.95365,98.1,0.89402,1.59825,1.5874,1.7915,0.12165,0.85714,1.09895,1.36625,0.201875
1,22.25,414.31345,0.44862,1.5555,-1.8768,-2.06855,0.15713,-5.6704,-1.89955,0.28993,-0.020674,0.22437,-0.12822,0.072193,-9.639,-9.7209,-0.55118,-3.274,0.23243,0.06463,-0.1022,0.045775,-20.9926,-19.105,-17.65,87.2,83.706,2.86805,98.1,0.893845,1.5965,1.586,1.7902,0.12023,0.85737,1.0986,1.3666,0.23243
1,22.75,414.40485,0.46625,1.51865,-1.8729,-2.0669,0.12595,-7.0056,-1.83665,0.29816,-0.0370615,0.20608,-0.0286953,-0.029339,-9.4685,-9.8591,-0.48148,-3.301,0.19047,0.0597,-0.091415,0.02609,-20.9569,-19.365,-18.157,87.3,83.3245,2.8985,98.1,0.89287,1.5953,1.5859,1.7906,0.11913,0.8561,1.0983,1.36625,0.19047
1,23.25,414.38235,0.47558,1.53285,-1.8711,-2.06515,0.056771,-8.2568,-1.7628,0.27188,0.0321578,0.16232,0.4112,0.044367,-8.5157,-9.05595,-0.34603,-2.3455,0.18561,0.05151,-0.095255,0.005565,-21.1495,-19.825,-18.421,86.8,83.4855,2.83625,98.1,0.892985,1.59425,1.5844,1.7903,0.11729,0.85647,1.0981,1.36605,0.18561
1,23.75,414.2151,0.45337,1.50695,-1.8752,-2.06365,0.062645,-8.5911,-1.81815,0.25841,0.0367155,0.0653465,0.753855,0.0445645,-8.0504,-7.55,-0.3148,-2.449,0.20294,0.06269,-0.09229,0.037995,-20.8217,-20.06,-18.6075,87.2,83.4455,2.934,98.1,0.893585,1.59395,1.582,1.7901,0.11624,0.85583,1.09755,1.3658,0.20294
2,0.25,411.95295,0.03227,1.34225,-1.16415,-1.3924,0.17293,-10.689,-1.1747,0.320395,0.0817355,0.112345,2.57595,-0.097042,-9.0291,-7.31715,-0.62652,-3.4015,0.26666,0.0987,-0.130635,0.04153,-16.3892,-17.485,-15.4165,88,84.1035,2.881,98.2,0.06839,0.652025,0.65472,1.0452,-0.11864,0.25803,0.54582,0.821705,0.26666
2,0.75,412.0014,0.02378,1.3118,-1.1656,-1.3925,0.19495,-10.68,-1.20415,0.289305,0.077626,0.14474,2.5404,-0.0057577,-9.3833,-7.6557,-0.630095,-3.00465,0.296,0.08944,-0.113735,0.03566,-16.6683,-17.81,-15.529,88.75,84.5315,2.8668,98.15,0.06775,0.65143,0.65661,1.0466,-0.11772,0.25606,0.544675,0.820995,0.296
2,1.25,411.9271,-0.02611,1.29915,-1.16485,-1.3924,0.22759,-9.495,-1.1755,0.304065,0.045305,0.19614,3.37865,0.037942,-8.8482,-9.05395,-0.34589,-3.22295,0.30378,0.10032,-0.112235,0.037845,-16.4972,-17.795,-15.5345,88.65,84.7175,2.7795,98.15,0.06732,0.65114,0.65513,1.046,-0.11991,0.25571,0.54507,0.820115,0.30378
2,1.75,412.0046,-0.05991,1.287,-1.16395,-1.3924,0.27505,-7.92,-1.209,0.326435,0.13206,0.28077,1.8888,0.38942,-4.5386,-5.3328,-0.439705,-2.55015,0.27179,0.10734,-0.117585,0.037565,-17.4444,-18.51,-15.606,88.5,84.98,2.9105,98.1,0.067445,0.65152,0.65367,1.0438,-0.12169,0.25507,0.544325,0.81925,0.27179
2,2.25,412.1084,-0.0353,1.2819,-1.1663,-1.3921,0.26979,-6.5105,-1.2595,0.33379,0.11611,0.13232,1.7572,0.030758,-7.2099,-5.92585,-0.440195,-2.4839,0.28891,0.12806,-0.11469,0.03519,-17.6973,-18.79,-15.4325,88.35,84.7115,3.0839,98.1,0.06848,0.651205,0.65469,1.0431,-0.12103,0.25428,0.54343,0.819275,0.28891
2,2.75,412.15185,-0.06116,1.25505,-1.17375,-1.3926,0.28421,-6.9785,-1.227,0.34949,0.05989,0.308565,3.6408,0.034909,-4.0674,-5.2879,-0.425905,-2.26295,0.30222,0.12894,-0.09813,0.036595,-17.7805,-18.505,-15.609,88.6,84.6345,3.1171,98.2,0.068575,0.651245,0.65359,1.0429,-0.12212,0.2527,0.54292,0.81842,0.30222
2,3.25,412.08405,-0.0422,1.2506,-1.1808,-1.3922,0.22759,-7.0965,-1.1933,0.3626,0.15395,0.129115,3.6085,0.152135,-6.7792,-6.36975,-0.542505,-2.69095,0.28969,0.11045,-0.10973,0.03262,-17.7128,-18.595,-15.7825,88.65,84.5585,3.12325,98.1,0.06869,0.651185,0.6528,1.0411,-0.12259,0.25183,0.542875,0.81851,0.28969
2,3.75,411.89765,-0.13305,1.25925,-1.18455,-1.392,0.19339,-6.5592,-1.1661,0.30085,0.090213,0.1336,2.1038,-0.00222165,-7.4093,-6.1435,-0.42501,-2.27615,0.274035,0.11986,-0.100565,0.02054,-17.7638,-19.14,-16.37,88.6,84.5205,2.80805,98.1,0.06714,0.652435,0.65189,1.0406,-0.12303,0.25204,0.54296,0.81736,0.274035
2,4.25,411.9258,-0.16106,1.2526,-1.18405,-1.3918,0.27807,-8.008,-1.1851,0.32122,0.26044,0.123546,1.16485,0.0433325,-6.1855,-6.341,-0.464865,-2.90595,0.258435,0.09689,-0.118755,0.0055,-18.3247,-18.95,-16.642,88.5,84.4665,2.82885,98.1,0.06578,0.65201,0.65266,1.0406,-0.12195,0.25303,0.543715,0.816745,0.258435
2,4.75,411.7808,-0.16313,1.2514,-1.18,-1.3913,0.312615,-7.3564,-1.19045,0.320945,0.20205,0.11738,2.5361,-0.021909,-6.28165,-5.89965,-0.28198,-1.5905,0.28534,0.11547,-0.110395,-0.00402,-18.63515,-19.035,-16.8315,88.7,84.287,2.88305,98.1,0.066635,0.65155,0.65176,1.0399,-0.12134,0.25307,0.54359,0.81673,0.28534
2,5.25,411.76825,-0.09978,1.2759,-1.1808,-1.3911,0.20463,-6.8524,-1.18905,0.341,0.15322,0.1092215,1.375,0.02488865,-6.44895,-5.68285,-0.36849,-1.60075,0.24831,0.10641,-0.108215,0.001055,-18.81695,-18.98,-16.899,88.45,84.185,3.0127,98.1,0.06641,0.65247,0.64943,1.0399,-0.12038,0.25212,0.54394,0.816535,0.24831
2,5.75,411.8044,-0.13881,1.2209,-1.1824,-1.3901,0.263965,-7.1556,-1.17225,0.287245,0.1148,0.189945,3.6279,-0.0043928,-7.13085,-4.93735,-0.38392,-1.85695,0.25302,0.07873,-0.10447,-0.001555,-18.83305,-19.035,-17.183,88.7,84.1885,2.9784,98.1,0.0658,0.65142,0.64899,1.0405,-0.11911,0.25321,0.543385,0.8164,0.25302
2,6.25,411.8891,-0.12345,1.24425,-1.1792,-1.3896,0.24617,-7.1785,-1.19275,0.33435,-0.1139095,0.21737,3.22975,0.0024736,-8.1731,-6.1242,-0.249175,-0.56701,0.29103,0.11202,-0.08386,0.01261,-18.87885,-18.745,-17.3475,88.8,84.0695,2.87315,98.1,0.0654,0.6514,0.65005,1.0407,-0.12046,0.25453,0.54331,0.816815,0.29103
2,6.75,412.0757,-0.167575,1.22315,-1.2005,-1.3887,0.25402,-4.7269,-1.2046,0.3291,0.21548,0.15004,1.77235,-0.19809,-7.2477,-5.3779,-0.244955,-0.733435,1.5557,0.961305,0.03224,0.343745,-18.97785,-18.7,-17.155,88.05,84.059,2.99315,98.1,0.06451,0.65337,0.65526,1.04725,-0.11791,0.26741,0.54352,0.81678,1.5557
