DOY2,HR2,CO2,H2O,FC,SC,H,SH,LE,SLE,PA,RH,T_SONIC,TA,VPD,LW_IN,LW_OUT,NETRAD,PPFD_IN,SW_IN,SW_OUT,TAU,U_SIGMA,USTAR,W_SIGMA,V_SIGMA,WS
2,5.25,511.434,1.74035,-0.01861535,-0.05793845,-9.259982,-0.956818,-0.86986095,-0.0672986225,98.9712,71.388,-12.077,-12.856,0.234249,222.44,240.84,-28.437,-0.015467,-1.9579,0.64765,-0.0308853,0.0547729,0.0442792,0.00401941,0.0525984,0.30171
2,5.75,512.922,1.72917,-0.00583925,-0.010673643,-7.8513295,-1.455805,-2.23766275833333,-0.320804416666667,98.77795,72.4085,-13.46875,-13.9375,0.2236385,220.435,238.14,-44.134,-0.0210085,-1.6313,0.925785,-0.02569885,0.06165045,0.0440937,0.002177445,0.0284512,0.3372885
2,6.25,516.2345,1.468695,-0.0928679,-0.00567393,-8.6023705,-1.146995,-1.71196075166667,-0.473038170833333,98.9754,73.697,-13.77575,-14.5,0.2144915,215.94,237.66,-33.6565,-0.00354889,-1.050435,0.934215,-0.0134824,0.05453255,0.03669275,0.00242632,0.04047375,0.3322925
2,6.75,512.193,1.55593,-0.435535,-0.1025885,-6.34270375,-1.2411075,-1.62027425,-0.78640475,98.77735,78.8455,-15.007,-14.28275,0.20559025,215.2175,236.465,-39.6815,0.4793375,-0.50085,2.042175,-0.019056125,0.04652375,0.034933025,0.002767945,0.039008075,0.331958
2,7.25,512.084,1.6959,-0.43652908,-0.0178712,-7.367299,-0.61564425,-3.82723825,-0.0978175875,98.787,77.095,-13.14225,-12.461,0.21247,215.99,244.31,-27.334,14.647,6.6142,7.1014,-0.0316459,0.0582149,0.0428077,0.00230233,0.0452213,0.262599
2,7.75,512.606,1.682055,0.013145,-0.0834104,-10.13946245,-0.6964395,-3.2383239375,0.012908125,98.76375,73.486,-12.83675,-11.92,0.172967,224.26,251.63,-7.71065,59.143,34.6015,22.6505,-0.02527475,0.0467016,0.03899865,0.00204045,0.02982125,0.362567
2,8.25,511.816,1.83452,-0.1019075,-0.36208675,-5.70372675,0.6729965,0.992642375,-0.311093,98.7924,68.958,-10.86175,-11.033,0.221958,216.76,266.74,1.0277,138.785,71.998,51.125,-0.0223233,0.0560784,0.0494756,0.00279662,0.0421745,0.222997
2,8.75,512.1935,1.9303375,-0.5722645,-0.518823,-6.7579095,0.946733,0.5814382625,-0.0643505,98.78445,67.64925,-10.423,-8.69749999999999,0.25651125,221.2875,278.1775,12.579375,246.735,133.23,76.0655,-0.053049625,0.122022,0.05278975,0.0068303875,0.067313275,0.69031175
2,9.25,510.80025,1.82211,-1.96323375,-1.329315,-7.287777,1.079775,-1.2903472,0.121148475,98.9231,61.457,-9.53249999999999,-7.90099999999995,0.552188,205.51,284.2,13.034,400.595,198.94,115.25,-0.0522551,0.168309,0.0953859,0.0205793,0.133081,1.17324
2,9.75,509.89275,2.17965,-0.805018,-0.816356,-7.08053,1.1576625,-1.1346495,-0.00354119999999999,98.80555,57.366,-7.07799999999999,-7.17999999999998,0.8283545,215.035,291.58,22.212,444.635,233.065,136.46,-0.04116905,0.182794,0.10237625,0.025585,0.178621,1.32318
2,10.25,508.38225,2.06407,-0.871068,-0.172889,-6.73044,0.982266,6.909612625,-0.3265551375,98.821175,54.64025,-7.01049999999996,-6.82299999999998,1.112845,214.2675,294.9375,29.776,639.4275,317.58,181.6425,-0.07832445,0.1574245,0.13998975,0.043201775,0.2550285,1.492795
2,10.75,509.637,2.113715,-1.60303925,-0.1120645,-5.87070775,0.67374175,4.991789,0.0144645,98.7801,52.3565,-6.01749999999998,-5.18799999999999,1.408705,219.67,301.845,35.431,685.65,350.14,191.145,-0.07635655,0.3315855,0.144662,0.044984,0.2416185,1.44166
2,11.25,509.31,2.0978825,-1.362576425,-0.0547555,-2.492664975,0.64303675,8.237368,-0.244939,98.778075,49.372,-5.2315,-4.85849999999997,1.48843,213.8225,303.89,28.93425,720.08,353.64,206.445,-0.11089075,0.36581225,0.16058575,0.04678415,0.26638825,1.5587075
2,11.75,510.375,2.26816,-1.2921666,-0.080493775,-3.44645825,0.7700595,8.6560500875,-0.008167625,98.7844,48.983,-4.084,-4.34499999999997,1.49123,215.89,304.13,30.157,772.34,376.64,207.21,-0.0802423,0.279552,0.130853,0.045217,0.226464,1.2996
2,12.25,508.923,2.16255,-1.9826011,-0.081801,-2.8531145,0.2813845,6.4629317625,-0.17150850875,98.9369,44.9,-3.94199999999995,-4.036,1.66833,217.15,306.36,32.697,790.375,389.35,224.11,-0.112673,0.384491,0.188519,0.0537752,0.351319,1.80438
2,12.75,508.699,2.21696,-1.6137366525,-0.0533411,2.1432125,0.55409975,2.558532,-0.1781547625,98.7125,43.742,-4.77099999999996,-4.64999999999998,1.70473,218.61,307.98,31.873,711.6275,331.66,189.98,-0.116947,0.353943,0.157152,0.0423176,0.259623,1.74034
2,13.25,508.3395,2.31741,-1.47245178,-0.07896195,-1.1337782,0.383202,13.75663756875,-0.026460125,98.6302,42.62125,-2.81174999999996,-3.00799999999995,1.9978375,218.5525,308.845,25.151,761.2875,365.4975,198.215,-0.13188725,0.42980675,0.1653365,0.050681025,0.464883,2.052815
2,13.75,509.075,2.2789275,-1.9241809,-0.0530849,-6.9947185,0.179379,3.55477795,-0.74054425,98.58985,42.38525,-2.55224999999998,-2.29749999999999,1.9446075,219.155,305.5825,9.50155,577.635,263.73,166.7375,-0.126414,0.58455975,0.165168,0.0517926,0.43247175,1.7808475
2,14.25,508.387,2.18597,-1.0206005,-0.0295891,-8.63580775,0.0036942325,12.44451584,-0.0552645,98.59055,41.066,-2.22124999999996,-2.25,2.1922125,219.2875,308.05,13.178,557.465,289.605,170.605,-0.12410275,0.60808525,0.1991185,0.0648405,0.53494625,2.204985
2,14.75,508.042,2.039505,-1.3946223,-0.018879825,-11.87155,-0.246183,12.320890575,-0.03426035,98.57205,40.60325,-2.19724999999995,-2.85225,2.2514675,218.85,305.795,1.4664525,443.98,231.5175,121.1625,-0.1183165,0.569595,0.21147075,0.078848675,0.6144405,2.3462875
2,15.25,508.824,2.63709,-0.9875624625,-0.036285925,-13.303861,-0.2245215,12.299579675,-0.73071175,98.4989,41.332,-1.322,-1.67199999999997,2.33511,219.44,303.08,-12.409,311.51,152.83,80.913,-0.107327,0.477372,0.182558,0.0493693,0.546544,1.88362
2,15.75,507.9575,2.41076,-0.9543231,-0.033223125,-20.52879275,-0.3828885,1.7071541125,-0.449976125,98.5367,42.182,-2.03899999999999,-2.69049999999999,2.38882,216.095,301.525,-24.1445,246.115,126.31,75.441,-0.125344,0.678003,0.197898,0.07834965,0.5269895,1.762525
2,16.25,508.087,2.1068625,-0.63712137,-0.019324225,-23.0908235,-0.38437125,-0.257953525,0.05099985,98.58515,41.86875,-2.66049999999996,-3.32549999999999,2.3639825,210.2625,295.785,-40.081,155.96,85.745,47.055,-0.1096505,0.58268075,0.1667435,0.065767575,0.56556875,2.064055
2,16.75,507.479,2.1308575,-0.393635175,-0.0438075,-26.40274725,-0.5974185,0.87058475,-0.158035625,98.574575,43.60975,-2.66124999999997,-3.43949999999997,2.2929075,209.965,290.7275,-52.8765,54.294,29.1665,19.9885,-0.103332625,0.39849225,0.17930675,0.0830069,0.4338475,1.8683525
2,17.25,507.689,2.7836,-0.1211681,-0.031721425,-27.506834,-1.3174775,0.520170875,-0.46250725,98.6271,47.599,-2.26099999999997,-3.608,2.02216,211.63,285.84,-67.722,10.202,2.1261,3.1846,-0.0800459,0.367447,0.161187,0.0507565,0.318443,1.65284
2,17.75,507.5625,2.562525,0.05648204925,-0.019158525,-30.32347275,-2.08686,0.814856775,-0.456294125,98.6024,50.819,-3.16699999999997,-4.23049999999997,1.841635,208.025,279.915,-70.707,0.194795,-2.55105,0.63491,-0.05220915,0.2628415,0.125216,0.0300601,0.1847025,1.22624
2,18.25,507.767,2.33632,0.03941745,-0.01844725,-30.19548,-1.75304,-1.69657295,-0.445102875,98.6644,52.165,-3.738,-5.33099999999996,1.44171,205.53,274.77,-71.418,-0.0094182,-3.4278,0.48591,-0.0544882,0.182416,0.107267,0.0201763,0.135606,1.0886
2,18.75,507.4815,2.446595,0.094003395,-0.016538275,-28.42725425,-1.4831075,-2.319565875,-0.669029,98.68275,54.71025,-4.35449999999998,-5.21899999999997,1.249442,205.525,274.1525,-69.28,-0.018523,-3.42695,0.3816075,-0.046591725,0.1616235,0.073794475,0.0168832,0.134602,1.0867275
2,19.25,507.7345,2.5899975,0.156341835,-0.00970647,-31.77973,-1.7900975,-3.50529184166667,-0.735406,98.66955,57.66825,-4.59524999999999,-5.78224999999998,0.91571825,203.77,269.9175,-69.2665,-0.0167705,-2.89945,0.49718,-0.041013675,0.16712425,0.075687625,0.014316075,0.1122045,0.8332745
2,19.75,508.407,2.28062,0.082208375,-0.013545875,-27.3133035,-1.400245,-3.98946838333333,-0.8631375,98.6504,56.541,-5.39099999999996,-6.46899999999999,0.896795,202.1,266.01,-69.247,-0.01531,-3.3665,0.5962,-0.042617,0.157671,0.0814156,0.00998158,0.0734407,0.908931
