DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,H2O,NETRAD,PPFD_IN,PPFD_OUT,PPFD_BC_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,W_SIGMA,V_SIGMA
2,17.25,0.0035,0.023,0.0475,-6.427,0.41,-0.23,404.6135,383.4,2.43175,-9.449,39.1335,4.0875,7.393,17.396,3.201,261.0145,283.342,-5.9695,60.8,2.3525,100.6,-0.039,0.189,0.413,0.784,1.659,3.266,-0.1375,-0.067,0.1685,0.6545,1.522,2.815,-3.297,-3.444,-3.255,-3.528,0.5113,0.80745
2,17.75,-0.0205,0.047,-0.237,-21.874,0.3595,-0.339,404.3045,383.6,2.44475,-50.61975,0,0,1.10775,1.8745,0.9535,262.19325,281.21875,-6.186,62.71,2.1975,100.6,-0.0475,0.19,0.409,0.77075,1.64725,3.25775,-0.1375,-0.062,0.168,0.65325,1.5275,2.8135,-3.318,-3.465,-3.234,-3.6225,0.4376,0.71025
2,18.25,-0.002,0.064,-0.393,-30.554,0.317,-0.2445,404.33175,383.375,2.442,-69.333,0,0,0.009,-2.27625,0.3665,258.9275,279.84025,-6.42,63.81,2.05325,100.6,-0.033,0.185,0.40875,0.774,1.6585,3.267,-0.144,-0.056,0.1755,0.65825,1.52175,2.81475,-3.36,-3.486,-3.276,-3.654,0.40155,0.6221
2,18.75,0.11375,0.00575,-0.6405,-32.854,0.298,-0.19975,404.15025,383.4,2.436,-69.97725,0,0,0,-3.4695,0.3095,260.267,279.08275,-6.6075,65.305,2.07525,100.675,-0.043,0.1835,0.41,0.777,1.662,3.2555,-0.151,-0.0615,0.1705,0.651,1.533,2.8105,-3.36,-3.486,-3.2865,-3.78,0.3655,0.63655
2,19.25,0.07425,-0.002,-0.423,-34.17175,0.2855,-0.20325,404.222,383.7,2.45,-69.85625,0,0,-0.009,-3.5395,0.293,260.7885,278.421,-6.6955,66.4625,2.11625,100.675,-0.044,0.1835,0.40875,0.774,1.6495,3.25375,-0.154,-0.06025,0.16925,0.65675,1.514,2.815,-3.318,-3.486,-3.276,-3.864,0.355075,0.618625
2,19.75,0.104,0.04325,-0.54175,-31.85025,0.2925,-0.226,404.22025,383.65,2.443,-68.2275,0,0,0,-3.3905,0.24025,262.89725,279.00775,-6.76525,66.885,2.12,100.6,-0.0395,0.18425,0.41175,0.77575,1.65175,3.25525,-0.14325,-0.05825,0.17475,0.651,1.52,2.8155,-3.36,-3.4545,-3.276,-3.948,0.347625,0.611575
2,20.25,0.032,0.04275,-0.44225,-32.696,0.2985,-0.302,404.1895,383.6,2.41975,-66.86075,0,0,-0.009,-3.37075,0.26375,264.0035,277.65675,-6.81,66.5625,2.166,100.7,-0.0315,0.18575,0.40875,0.777,1.6465,3.25925,-0.15725,-0.0595,0.17825,0.65925,1.524,2.81125,-3.36,-3.4545,-3.318,-4.032,0.3745,0.637875
2,20.75,0.055,0.05325,-0.198,-33.796,0.28025,-0.2705,404.32375,383.8,2.42675,-66.7685,0,0,-0.009,-3.33775,0.26225,264.3575,277.48425,-6.9015,66.76,2.267,100.7,-0.039,0.18925,0.4115,0.7795,1.63675,3.2455,-0.17025,-0.0615,0.172,0.65,1.516,2.81175,-3.3285,-3.444,-3.318,-4.0845,0.361625,0.592525
2,21.25,0.015,0.013,-0.40775,-34.9295,0.281,-0.2055,404.34625,384.25,2.4175,-66.749,0,0,-0.009,-3.32675,0.273,261.5335,277.23975,-7.09925,66.315,2.19975,100.7,-0.0395,0.18575,0.40975,0.77675,1.6535,3.25075,-0.171,-0.062,0.171,0.65775,1.518,2.80975,-3.36,-3.4545,-3.36,-4.116,0.354075,0.58325
2,21.75,0.11225,0.0165,-0.332,-36.8895,0.27025,-0.184,404.08175,384.075,2.406,-62.61775,0,0,-0.009,-3.23075,0.263,260.87875,276.46825,-7.226,66.7525,2.2015,100.675,-0.034,0.18425,0.4155,0.77475,1.65425,3.25625,-0.1605,-0.0655,0.1695,0.65375,1.516,2.819,-3.3705,-3.486,-3.402,-4.116,0.35825,0.600975
