DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_1_1,RH_1_1_1,WS_1_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_OUT,PPFD_IN,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_3_1_1,TS_3_2_1,TS_4_1_1,TS_4_2_1
1,23.25,-114.94205,-51.49309,-6.133025,-84.79431,-0.2195325,0.072875,376.825375,2.22557,-0.5055875,86.55777,-0.9144,12.4758025,0.5274375,-2.90605,0,212.7693,291.7422,-0.19635,-3.7177175,0.5201,1.9781275,3.18287,3.9058375,5.8180325,7.2280275,1.049825,2.543025,8.019,8.99,6.306425,9.24675
1,23.75,-114.45355,-52.46695,-7.764,-74.6604425,-0.267515,0.06396425,376.952525,2.2827975,-0.765045,86.52949,-1.3267,12.527785,0.3154725,-2.7452,0,213.3298,289.50905,-0.19695,-3.7207,0.3899,1.9336775,3.18987,3.9297125,5.8013325,7.1812,0.925525,2.488075,8.0245,8.99,6.329625,9.249
2,0.25,-117.9936,-60.89542,-5.06924,-75.239425,-0.179525,0.05599,373.85707,2.6329,0.3067525,86.436985,-0.59745,12.85921,0.467025,-2.9402,0,206.945,287.859725,-0.313845,-3.6158,2.44615,3.78068,5.21698,6.26897,7.33521,8.343495,3.10598,4.55598,8.199,9.00575,7.202825,9.1915
2,0.75,-115.999925,-61.5535875,-3.4109125,-76.862865,-0.35625,0.07065,373.8627675,2.6450475,0.52565,86.4202625,-0.534999999999999,13.12489,0.4195,-2.96805,0,206.05,288.81945,-0.29607,-3.16555,2.2349875,3.734955,5.1565125,6.2684175,7.296095,8.246055,2.9478075,4.485395,8.199,9.00025,7.20035,9.197
2,1.25,-117.111825,-58.559,-4.85388,-78.4499,-0.139865,0.06366,373.9996,2.695,0.0306974999999999,86.4144375,-0.8644,12.5595,0.4402625,-2.900175,0,205.416875,287.44665,-0.32037,-3.60095,2.08975,3.64355,5.07951,6.24709,7.30505,8.300305,2.79788,4.37702,8.21225,8.987,7.190475,9.2025
2,1.75,-118.14156,-57.519525,-4.641875,-93.5157725,-0.376625,0.06702075,373.4641,2.4921,-0.3093325,86.407035,-1.25795,11.6039,0.40718,-2.9418125,0,206.33368,283.26189,-0.32025,-3.1414625,1.9568625,3.5016275,4.95749,6.20416,7.3390225,8.19948,2.6839775,4.32256,8.21775,8.97925,7.1811,9.208
2,2.25,-117.72674,-57.0803625,-5.970475,-87.498825,-0.4413525,0.06323,373.5822,2.5353,-0.69455,86.3988475,-1.714525,12.215715,0.4006,-2.9566125,0,203.7943425,282.2,-0.31605,-2.9531325,1.7284425,3.361725,4.84362,6.21186,7.3627525,8.2186875,2.57714,4.280735,8.231,8.97375,7.19785,9.20575
2,2.75,-116.275545,-58.1026625,-4.39375,-80.2956,-0.174125,0.0676,373.4853875,2.5736375,-0.52215,86.41165,-1.897375,12.687895,0.5249,-3.1852575,0,204.0506475,284.0853625,-0.3222,-2.82824,1.4583075,3.2668975,4.74237,6.201035,7.34111,8.19948,2.4378425,4.26881,8.2365,8.96825,7.2197,9.2135
2,3.25,-116.3337125,-56.2763875,-4.001225,-78.91226,-0.20976,0.0597,373.79977,2.61844,-0.60545,86.38119,-1.669475,13.115875,0.3815,-3.01416,0,204.8475,283.9947475,-0.318,-3.2077575,1.19025,3.176615,4.6466875,6.20385,7.35157,8.19948,2.261735,4.233635,8.24975,8.96275,7.238,9.219
2,3.75,-116.88591,-55.760475,-7.7818275,-77.81,-0.273165,0.07275,374.36978,2.551975,-0.9035,86.3934275,-1.846975,12.8636125,0.4571,-3.169435,0,204.89592,284.9523475,-0.3153,-3.158125,1.0465425,3.0869225,4.55403,6.17756,7.3953625,8.185935,2.047015,4.19021,8.25525,8.95725,7.25,9.2245
2,4.25,-117.43563,-55.711025,-4.0753575,-85.12862,-0.292045,0.066023,374.100135,2.47086,-0.887284999999999,86.372205,-2.1329,12.67125,0.434855,-2.83736,0,205.68934,284.1615375,-0.31815,-2.9022175,0.88749,2.96363,4.4678225,6.1199775,7.3712725,8.19948,1.912115,4.092585,8.2685,8.95175,7.26465,9.22225
2,4.75,-114.8649925,-57.1839375,-6.4955,-85.529375,-0.199655,0.072135,373.8248,2.638,-1.11484,86.3401575,-2.278425,12.681155,0.542025,-2.8659125,0,206.5424425,284.64736,-0.3177,-3.2375775,0.78942,2.8856575,4.32932,6.0753875,7.345725,8.185935,1.8162275,4.01901,8.274,8.94625,7.277325,9.22225
2,5.25,-114.13987,-56.668025,-4.47383,-91.7218,-0.144005,0.068579,373.99662,2.41555,-1.2749,86.344935,-2.268875,12.5820975,0.44818,-2.8603675,0,205.1793,283.56326,-0.30225,-3.4308125,0.76092,2.81162,4.382655,6.068915,7.4152525,8.19948,1.73151,3.92616,8.295,8.94075,7.285125,9.21675
2,5.75,-114.3702225,-56.9574375,-4.5705675,-84.1868825,-0.2475,0.0639245,374.0446525,2.5588375,-2.1126525,86.3330575,-2.661125,12.92706,0.411855,-2.866475,0,205.0188175,280.9249225,-0.3099,-3.224395,0.79672,2.77227,4.3479925,6.0338325,7.3620425,8.185935,1.653545,3.85461,8.3005,8.93525,7.2917,9.21125
2,6.25,-116.185815,-54.73225,-4.135025,-81.37062,-0.33651,0.066105,373.9089,2.44,-2.0699875,86.33805,-2.922075,12.703465,0.41352,-2.90286,0,204.601435,281.078735,-0.3144,-2.97118,0.8356175,2.7266025,4.32798,6.0197825,7.365975,8.185935,1.64521,3.75496,8.31375,8.92975,7.297725,9.20575
