DOY2,HR2,USTAR,TA_1_1_1,WS,FC,H,LE,RH,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,H2O_1_1_1
6,21.75,0.367,18.30025,2.3255,1.5645,-7.33875,4.41525,73.31275,380.7855,10.735,-31.46075,6.8475,-2.38025,0.1715,-0.334,10.9925
6,22.25,0.364,17.6465,2.39775,1.663,-8.43925,4.3035,75.2955,382.43975,9.5675,-30.559,1.955,-2.736,0.021,-0.35675,11.05525
6,22.75,0.369,16.90025,2.403,1.60875,-6.64175,3.70425,78.1685,383.817,8.62,-25.38525,1.58775,-2.423,0.02275,-0.2905,11.10875
6,23.25,0.37975,16.0285,2.466,1.663,-7.99675,3.0175,79.50725,385.07625,7.9225,-23.92,1.395,-2.63825,0.02575,-0.2025,11.09325
6,23.75,0.3515,15.678,2.3995,1.6285,-5.924,2.7055,81.287,386.2775,7.1475,-22.11325,0.797,-2.116,0.02725,-0.1795,11.293
7,0.25,0.35725,18.9635,2.27625,2.83775,-7.125,3.1625,87.1605,386.1675,6.5575,-15.89175,0.66975,-1.5745,0.05375,0.01925,14.903
7,0.75,0.3745,18.76,2.2525,2.8545,-7.0215,2.485,88.338,387.88175,6.3125,-13.79475,0.72125,-1.2765,0.02,0.05625,14.9625
7,1.25,0.395,18.40325,2.355,2.733,-6.1035,3.3235,88.842,390.469,5.89,-16.53075,1.46725,-1.5055,0.014,0.03025,14.8145
7,1.75,0.3595,18.15275,2.3495,2.7235,-6.2625,2.4665,89.98075,391.29575,5.4625,-14.40825,1.5705,-1.36775,0.02575,0.1,14.7735
7,2.25,0.377,17.882,2.452,2.7555,-7.25925,2.8375,90.1835,390.07075,5,-15.4645,1.03125,-1.163,0.034,0.13775,14.8395
7,2.75,0.366,17.5855,2.334,2.676,-6.7485,2.5015,90.88325,390.62125,4.8175,-14.061,1.10875,-1.26225,0.0415,0.14425,14.847
