DOY2,HR2,CO2,FC,SC,G_1_1_1,H,LE,SH,SLE,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,TS_1_1_1,USTAR,WS_1_1_1
2,4.75,421.4640045,0.1658369975,0.0005295,-2.608270526,-4.028559923,0.0297,-0.195524,-0.0328,98.056884765,77.90988159,-21.05204964,0.238898918,-4.1358509065,0.0824999995,-2.415554523,0.173097998,1.431535482
2,5.25,421.4240112,0.196185,0.00333,-2.6076885465,-6.345689774,0.151234999,-0.568893015,-0.029999999,98.011016845,77.21448517,-21.15708923,0.244473681,-4.8348805905,0.0835000015,-2.415554523,0.179820001,1.487671971
2,5.75,421.34750365,0.154663503,0.00528,-2.608343005,-5.603700161,0.148151502,-0.142547995,-0.024700001,97.9585495,77.701595305,-21.22874069,0.223159224,-3.728482008,0.0824999995,-2.415554523,0.1624915005,1.25246346
2,6.25,421.50250245,0.150611997,0.0221500005,-2.608637094,-5.748675108,0.055100001,-0.561109006,-0.0272500005,98.06300354,77.90988159,-21.299804685,0.213349938,-3.720714092,0.082000002,-2.395171165,0.175634995,1.273728013
2,6.75,421.9069977,0.140287995,0.0155,-2.506242037,-3.6143449545,0.0383,-0.381693497,-0.029200001,98.066062925,78.2789917,-21.28046989,0.218934804,-2.9496115445,0.083999999,-2.374788046,0.152645007,1.302978992
2,7.25,421.605011,0.1515130025,0.00857,-2.6176509855,-3.189239979,-0.008275,-0.5857504905,-0.0229,97.96402359,79.57619476,-21.39250946,0.220713437,-3.273344517,0.096499998,-2.374788046,0.127941996,1.182669461
2,7.75,421.75601195,0.134491995,0.00359,-2.6232630015,-1.394050002,0.1347049995,0.033349999,0.000897,97.96642685,78.2789917,-21.59857368,0.227934271,-3.1432925465,0.4494999945,-2.374788046,0.107511997,1.0255900025
2,8.25,422.2909851,0.152854994,0.00196,-2.620373011,-3.640980005,0.115951002,0.0136215015,-0.028999999,98.06256104,78.2789917,-21.80463982,0.226235688,-5.080142021,8.300000191,-2.3600159885,0.172284499,1.060013056
2,8.75,421.63749695,0.1600379945,-0.00338,-2.625250101,-2.311749935,0.225215003,0.0505065015,0.0106,98.01172638,79.34350586,-21.65360641,0.214175299,-5.609034061,40.70000076,-2.359261036,0.147775993,0.954945326
2,9.25,423.0774994,0.120582998,0.0124,-2.67692101,-2.543034911,0.181654006,-0.520061016,-0.00493,97.932666775,78.2789917,-21.77940178,0.226235688,-8.66226387,112.8000031,-2.422230959,0.124182999,1.006492078
2,9.75,422.07901,0.091200002,0.0276000005,-2.8591840265,-2.124310017,-0.126165003,-0.346044004,-0.0341500005,97.92645264,78.03660202,-21.06765938,0.24589365,-14.7854104,200.4499969,-2.5587594505,0.128380001,1.146477044
2,10.25,421.3049927,0.1752185,0.0127,-2.8542915585,-2.334715009,0.161233,0.088500001,0.00673,97.81342316,78.511016845,-20.74339485,0.272969678,-17.98952007,253.7000046,-2.599874258,0.1239644995,1.2886334655
2,10.75,421.5559998,0.136185005,-0.000145,-2.850638509,0.514500022,0.1926895005,0.5376439985,0.00284,97.851768495,76.14997101,-19.88018036,0.305235445,-19.9064846,310.84999085,-2.6550456285,0.1317770035,1.423461497
2,11.25,421.8314972,0.1795104965,0.00093,-2.899305105,4.314819813,0.183130994,1.697270036,0.0710499975,97.77587128,76.19677353,-19.64726067,0.373487085,-24.29404068,362.6000061,-2.784891129,0.130955994,1.488737941
2,11.75,421.6669922,0.2174834985,-0.00689,-2.790697098,4.660840034,0.3901189865,1.653679967,0.1459690035,97.63471222,75.72235489,-18.71965027,0.419293925,-34.56443024,413.5,-2.784891129,0.183487996,1.816468
2,12.25,416.8789978,0.232567996,-0.034950001,-2.7379164695,8.4165554045,0.59750849,2.705559969,0.1486594975,97.74095917,75.41041565,-17.77952003,0.4454924615,-27.78966522,448.94999695,-2.778767109,0.1936349945,1.893250465
2,12.75,417.0010071,0.133830503,-0.00331,-2.785770893,11.41744995,0.800989985,2.449495077,0.1309680005,97.75162506,74.57726288,-17.94090652,0.407911569,-29.20091057,469.7999878,-2.7788795235,0.228708997,1.817410946
2,13.25,416.2009888,0.211568996,-0.0176,-2.779040098,15.051300045,0.848043025,3.862169981,0.1405109985,97.72292328,72.65100098,-17.54606628,0.440971613,-33.32995987,442.3999939,-2.7756150965,0.235570997,1.721089959
2,13.75,416.2520142,0.233801998,-0.02255,-2.8050090075,20.1590004,0.737393975,3.010750055,0.081600003,97.677856445,72.28608704,-17.13982582,0.444389835,-44.057149885,414.75,-2.784891129,0.239271,1.816000521
2,14.25,415.8850098,0.198335007,-0.00702,-2.734768987,17.658249855,0.739651501,2.943749905,0.0911,97.658226015,76.60980225,-16.7580204,0.391927809,-34.84090996,384.5,-2.784891129,0.258942008,1.8176074625
2,14.75,415.4330139,0.130455002,-0.00816,-2.735303998,18.38940048,0.797348022,2.59085989,0.086400002,97.649101255,80.026878355,-16.18096924,0.35238038,-21.7023201,341.3999939,-2.784891129,0.244554996,1.8456335065
2,15.25,414.6029968,0.118366495,-0.01295,-2.7353265285,16.86020088,0.681883991,2.692384958,0.0559,97.64627838,78.7036972,-16.37388992,0.328384966,-19.78001976,261.80000305,-2.805622578,0.233826995,1.748643994
