DOY2,HR2,USTAR,TA,WS,FC,SC,H,LE,SLE,G,TS,RH,PA,CO2,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA
1,10.25,0.3139058275,-3.703,4.762882937,0.213071277,0.002324114,-15.81965545,9.1257982875,0.2753219645,-2.923,0.31875,84.535,79.23126907,372.4053248,19.285,171.4,162.8,254.1,284.85,4.957173112,-0.102182926,0.974306294,0.893192102,0.4584053955,-3.7197321095,0.2058508755
1,10.75,0.303170204,-3.541,4.811958023,0.1855834555,0.002515095,-6.7570328515,8.846180366,-0.035384108,-3.069,0.31475,86.825,79.21781915,372.9681619,23.3,230.1,222.35,239.65,286.5,4.823589818,-0.094381444,0.9702857555,0.9841754705,0.440205038,-3.506888381,0.2181904505
1,11.25,0.340574303,-3.4855,4.745269646,0.2179300825,-0.001641911,-4.186013476,9.6891084405,0.12815582,-2.654,0.322,85.825,79.20370228,373.2984375,27,267.4,263.35,227.4,287.6,4.781793075,-0.119079986,0.988395359,1.004132298,0.447512058,-3.654367147,0.201977722
1,11.75,0.338736337,-3.2105,4.648817215,0.214736054,-0.001586409,-0.915840459,11.961114805,0.0663236245,-2.829,0.326,85.535,79.15521567,373.3669257,27.2,305.1,282,226.7,290,4.748166649,-0.113047841,1.067614903,1.063963501,0.50855424,-3.563886663,0.193692006
1,12.25,0.353688243,-3.0215,4.883594294,0.213738159,-0.0066436405,-3.416328162,18.1894123,0.127575189,-2.8545,0.326,82.945,79.13165599,373.0162245,32.85,333.6320611,301.2,215.3,292.05,4.7959342725,-0.132156705,1.061089071,1.104187628,0.509029821,-3.133191277,0.17142073
1,12.75,0.340051827,-2.786,4.851132675,0.269324677,-0.008841976,-2.093221292,22.90615023,0.177249699,-2.726,0.3235,81.2,79.09376511,372.7174591,28.75,346,313,217.4,293,5.031231,-0.117483833,1.075617294,1.078579473,0.481406193,-3.122747849,0.18337503
1,13.25,0.350447227,-2.732,5.140451486,0.262527804,-0.003828422,-4.5419421335,19.67942242,0.269312746,-2.889,0.3305,79.99,79.05762732,372.2935345,26.15,347.2,313.6,236.25,293.4,5.201526885,-0.124859786,1.058652936,0.988772534,0.489479166,-2.969126143,0.172051907
1,13.75,0.339820864,-2.634,4.7483422445,0.215424821,-0.000922047,-0.4523785885,14.396001725,0.07248779,-2.668,0.327,82.8,79.065383265,371.88466845,24.2,323.7394475,296.3,241.75,294.3,5.239466114,-0.1179413855,1.0483491065,0.960577713,0.485924458,-2.290069159,0.1789737665
1,14.25,0.348035894,-2.688,5.019990101,0.2838353305,-0.00720296,-1.743654813,14.7956605,0.075574813,-3.033,0.3255,84.7,79.04311388,372.17021665,15.06,263.8,246.25,243.2,292.25,5.183789209,-0.120941629,1.034541777,1.000413483,0.471709639,-2.733659265,0.187269865
1,14.75,0.2860876635,-2.538,5.1704615425,0.3200512195,-0.004029876,0.197542272,14.32379715,-0.116893842,-2.962,0.328,87.55,79.022110135,370.4963732,8.014,251.2,232,243.75,291.6,5.137658266,-0.0824921845,1.0485376925,1.0481603535,0.4500608425,-2.5911515555,0.1586844585
1,15.25,0.28700192,-2.574,5.167017836,0.245154084,0.000366853,-5.583000426,12.119215245,0.120183277,-2.98,0.334,87.61,79.034865195,370.5155279,1.1,202.9,188.05,238.95,290.35,5.07834549,-0.082075503,0.9815399285,1.0124056475,0.4559272605,-2.4540236055,0.153237627
1,15.75,0.302723048,-2.93,5.045362196,0.213357363,-0.0023055915,-7.118982144,11.31775279,-0.003143427,-2.898,0.341,86.97,79.06219343,372.1671305,-13.28,162.3,128.55,241.25,290.35,5.154249943,-0.091195349,1.055740583,1.009867892,0.444578605,-2.605417368,0.153932682
1,16.25,0.305713951,-3.029,4.8856915055,0.278712672,0.009507277,-15.206011175,9.150935853,0.029350551,-2.909,0.3415,87.26,79.091504615,372.32162505,-27.01,124.6,100.8,235.45,287.95,5.1588123395,-0.09692686,1.007176296,0.9667606045,0.4232717605,-2.829956917,0.167813455
1,16.75,0.298159033,-3.145,4.93425012,0.199093128,-0.0001300085,-20.442393175,5.850665562,-0.028679067,-2.926,0.341,89.88,79.10209172,372.1837828,-49.98,84.35046568,69.005,218.55,285.5,4.891468409,-0.088836395,0.940803019,0.879395358,0.431758154,-2.664858393,0.189673298
1,17.25,0.284329322,-3.603,4.970242456,0.226674985,0.006550672,-19.38376809,4.681823691,-0.0095901325,-2.7,0.3385,88.88,79.10028254,373.0797004,-42.385,38.04392493,19.695,235.15,282.35,5.013867895,-0.080393178,0.915037217,0.817124187,0.429886816,-3.087492034,0.201210838
1,17.75,0.267429572,-3.439,4.806935871,0.198914795,-8.13999999999996e-06,-22.00291571,8.164996515,-0.102185198,-2.898,0.338,89.31,79.09750843,372.8892489,-40.02,4.118,2.8655,240.6,279,5.071415594,-0.072730425,0.930752234,0.807063747,0.393518075,-3.092523019,0.218246689
1,18.25,0.2584125965,-3.637,5.0780031685,0.186678445,-0.001338467,-25.30618919,7.961218772,-0.2520659615,-3.579,0.3255,89.87,79.105895695,372.0508058,-48.91,0,0.565,238.65,280.1,4.873622913,-0.0680106975,0.909789491,0.844963532,0.407805542,-3.300182818,0.232665867
1,18.75,0.295534697,-3.839,4.960239014,0.252944747,-0.002211767,-31.57875935,1.605917196,-0.042053838,-3.531,0.3285,90.78,79.11162551,371.9353937,-45.71,0,0.5225,239.35,279.5,4.7248775255,-0.085603836,1.036339292,0.836132317,0.429750886,-3.216482427,0.243365141
1,19.25,0.285131184,-3.925,4.853174293,0.2505043925,0.0013071285,-31.70337893,2.0931743065,-0.0722427885,-3.235,0.3225,90.78,79.11005599,372.51029135,-47.38,0,0.8075,236.9,277.8,4.675180442,-0.082923325,0.951226246,0.8363548945,0.4499919545,-3.5065491265,0.2568600195
1,19.75,0.314849812,-3.78,4.836527345,0.19219269,0.003457342,-33.95084998,3.5815694585,0.04840221,-3.178,0.3235,90.84,79.11332746,372.589062,-42.595,0,0.847,237.85,275.05,4.841544076,-0.100658142,0.955406298,0.834459249,0.476897243,-3.6448999,0.250255812
1,20.25,0.303682655,-3.812,5.114753951,0.199680196,0.00181817,-33.16862485,2.8391294395,0.025348033,-3.002,0.321,89.75,79.111915095,372.6152446,-36.87,0,0.742,245.15,280.15,4.764186051,-0.093601569,0.9985740395,0.922882211,0.4847748115,-3.576193992,0.2490862915
1,20.75,0.32133742,-3.694,5.024893119,0.326146877,0.0086216225,-36.2853185,8.890762291,-0.038104793,-3.04,0.3195,89.5,79.128358295,372.9807467,-34.805,0,0.7485,245.75,281.7,4.795119107,-0.1048836225,1.036024705,0.9342890495,0.5122215885,-3.3485009385,0.2515128045
1,21.25,0.294799839,-3.601,5.193753844,0.23300863,0.000386824,-35.29277224,5.1045253635,0.018598694,-2.942,0.314,89.38,79.12284283,372.3009787,-32.05,0,0.776,246.35,282.5,4.839409987,-0.084906881,0.97220962,0.958379966,0.46398778,-3.191854091,0.250878726
1,21.75,0.306283454,-4.048,4.845951418,0.22649042,0.000980953,-31.84523423,9.449752503,0.019163976,-2.927,0.322,87.88,79.13675762,372.532564,-46.2,0,0.5895,240.4,280.7,4.831505773,-0.093761524,1.033794569,0.997254895,0.448955748,-3.94399276,0.270347649
1,22.25,0.265764466,-4.112,5.193038737,0.2414307945,-0.001567713,-35.27352062,7.902833533,-0.027270975,-2.954,0.321,88.53,79.14005772,372.64218745,-42.165,0,0.6195,239.3,280.2,4.898564402,-0.072100522,0.928771073,0.856933454,0.482432319,-3.758338724,0.25581085
1,22.75,0.295524371,-3.994,5.072336939,0.215871119,0.002420402,-37.70347424,4.188694937,-0.127952053,-3.049,0.323,88.4,79.136204265,372.4958128,-40.965,0,0.654,238,279.15,4.904942419,-0.0877760705,0.9649099605,0.9501128725,0.492931816,-3.2587593495,0.2638136025
1,23.25,0.30236067,-4.192,5.412253292,0.221924401,0.000788719,-27.01396875,4.0885250395,0.073919527,-2.854,0.3165,88.32,79.14295985,372.2861345,-36.72,0,0.6855,240.85,280.4,4.9159562615,-0.09465321,1.061623212,1.048027595,0.491795571,-2.821946725,0.271173589
1,23.75,0.2794863645,-4.213,4.9691864285,0.228110773,0.0028780225,-34.50175616,3.8890917505,0.013171012,-2.824,0.3085,88.2,79.146031375,372.2680192,-32.555,0,0.6525,242.8,277.75,4.94926579,-0.0793686815,0.958961629,0.984697758,0.4285940635,-3.387020903,0.257942384
