DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,PPFD_IN,TA,RH
3,19.25,-0.42171,-8.73253,1.2655425,-1.0805925,1.566895,0.274029,2.89133,407.04,1.974805,0.6078815,0.540594,0.36688,0.1379,-0.13075,3.88599,25.471
3,19.75,-0.3963235,-11.0381,-0.38293,-2.08321,1.36472,0.2227205,2.481845,407.476,2.004115,0.5733995,0.484682,0.345722,0.1344575,-0.21325,3.45762,30.1508
3,20.25,-0.4583435,-8.263855,-0.6873345,-0.562763,1.37155,0.255108,2.07095,407.33325,2.067125,0.588268,0.484617,0.3336915,0.1173335,-0.21075,2.96958,32.1693
3,20.75,-0.4269265,-5.71619,-0.8837925,-1.07727,1.28434,0.235681,1.79737,407.224,2.07256,0.579159,0.4416355,0.301829,0.127878,-0.20875,2.71942,32.5869
3,21.25,-0.472385,-7.1641725,-1.00043,-0.39551275,1.19467,0.232282,1.25407,406.933,2.121255,0.515495,0.430231,0.3036,0.1282675,-0.205,2.53078,32.3681
3,21.75,-0.4070135,-9.60862,-1.96301,-2.39472,1.20296,0.217938,1.040695,407.355,2.09427,0.5190775,0.4103575,0.2941085,0.1091015,-0.203,2.46397,33.2183
3,22.25,-0.418236,-6.811225,-1.7281075,-0.903134,1.06173,0.2024385,0.7543,407.1205,2.1295975,0.496614,0.3826785,0.2650185,0.118349,-0.2015,2.25348,34.371
3,22.75,-0.3798625,-6.76549,-1.23846,-1.66067,1.03466,0.192895,0.4828395,407.911,2.12178,0.4515855,0.3653635,0.2629275,0.1303005,-0.20275,2.06428,35.716
3,23.25,-0.4262045,-6.175925,-1.0618115,-2.239075,1.028637,0.171041,0.1806895,407.9175,2.08945,0.4427865,0.348221,0.239484,0.1204,-0.2035,1.85771,34.7086
3,23.75,-0.43483575,-7.91226,-0.1550965,-0.153355,1.1229675,0.15995975,-0.20632825,407.92075,2.10971,0.4055985,0.3841195,0.23356225,0.12725,-0.197,1.632,31.193
