DOY2,HR2,CO2,H2O,FC,G,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
3,4.75,458.97,25.599,6.89995,7.17115000000001,10.61,81.03435,3.8532,0.65855,1.59865,1.59465,0.6797,101.26675,100,16.801,6.4535,19.415,1.01435,10.685075,0.3694,3.454,381.426,390.678
3,5.25,445.05575,27.3012999999999,17.3804999999999,7.70175000000001,16.408,74.4442499999985,3.740025,0.576525,1.3496,1.4979,0.598575,101.28575,100,16.694,5.89025,20.02675,1.1449,10.677025,0.642000000000003,3.777,381.912,391.206
3,5.75,450.355,27.245225,7.58275,7.75,19.25,69.304,4.13347499999999,0.65245,1.7554,1.81,0.724599999999999,101.3135,100,16.7555,5.571,19.8484,0.9918,10.735025,0.3378,3.4892,380.478,389.524
3,6.25,448.4215,28.20725,10.9468,6.971,32.86115,31.10485,4.42955,0.661175,1.36675,1.527625,0.61875,101.3535,100,16.801475,5.551,19.85745,1.028,30.0241,13.898,5.9356,382.182,389.438
3,6.75,441.2005,25.23135,10.5173,7.469,52.2640499999998,82.1397249999999,4.27875,0.648,1.6726,1.8786,0.736799999999999,101.38575,100,16.5462,5.34,20.1608,1.1156,150.5235,78.249,27.6598,385.548,393.644
3,7.25,461.722999999999,25.0175,8.41705,8.061,38.405,60.1508,3.951875,0.63645,1.542625,1.740375,0.662125,101.39575,100,16.9253,5.7315,20.12485,1.218375,358.78825,179.642,54.5116,387.71,396.988
3,7.75,465.642,26.61865,7.82115,9.802,47.9932999999999,85.20325,4.06022499999999,0.525425,1.44615,1.5508,0.6132,101.42125,100,16.894925,6.0235,19.18955,1.0792,571.21525,287.654,73.2964,386.116,398.788
3,8.25,415.976,25.73135,5.29562499999999,11.249,87.6638,124.614,4.05219999999999,0.595224999999999,1.5899,1.73315,0.71,101.46675,100,16.897575,7.52049999999999,19.6102,0.82805,773.219,400.102,93.874,387.346,401.862
3,8.75,433.23775,28.235,5.649,14.315,113.49925,182.024,4.20575,0.573875,1.64,1.7706,0.688,101.4845,100,18.5438,9.20974999999999,20.044625,0.7858,972.03075,505.794,115.26,387.046,411.888
3,9.25,418.19625,24.659,5.06064999999998,20.1155,158.2695,175.56,4.5021,0.624149999999999,1.855375,1.9725,0.811875,101.49225,100,19.7875,10.431,21.3173,0.8305,1140.2025,606.364,135.05,381.284,420.38
3,9.75,413.32,24.2897,3.359,26.3515,183.2145,205.895,4.8055,0.595,1.9978,2.113075,0.811324999999999,101.5,100,20.2738,12.21475,21.7535,0.889424999999999,1317.05,691.416,153.27,381.866,429.652
3,10.25,415.0725,24.96555,4.674,34.671,204.444,239.741,4.7421,0.567025,2.07475,2.3152,0.854499999999999,101.5045,100,21.19425,13.49075,22.754125,0.97145,1474.1,766.244,168.02,384.39,440.81
