DOY2,HR2,FC,LE,H,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,G_6_1_1,G_7_1_1,G_8_1_1,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,NEE
1,20.75,4.583,84.1739999999999,15.0276,2.04655000000001,0.847800000000002,2.046,1.41139999999999,1.1937,-0.810714750000004,1.25119449999998,0,425.452974,9.73472,88.4068,11.13885,0.819555,11.090375,10.3606,10.25735,98.7077,0.129999999999995,2.842455,0,0,328.32925,343.61083175,7.0126985,2.90339999999999,2.7893,2.9936,2.8223,3.0564,4.38225,1.544725,3.238245,2.819285,1.86351,9.42166,2.900925
1,21.25,4.64675,82.0551999999999,8.39098999999999,2.28117500000001,0.7712,2.05385,0.898899999999999,0.8768,-0.940362,1.10714844999997,0,425.3557595,9.80335,88.406375,11.3203,0.84178975,11.211125,10.36315,10.1405,98.4267,0.164999999999998,2.9165,0,0,328.60675,342.75225,7.62653349999998,2.77719999999999,2.7961,2.97509999999999,2.8057,3.0569,4.34675,1.519126,3.3000485,2.778965,1.89955425,9.496,3.455325
1,21.75,4.95899999999999,76.7937499999998,19.38223675,2.26497500000001,0.71675,2.023,0.638599999999999,0.872699999999995,-0.939930000000001,1.05407999999997,0,425.1560235,9.7655435,88.4364,11.180825,1.015135,11.22875,10.22515,10.12965,99.16115,0.1,2.8889525,0,0,329.349,342.035,7.97978499999999,2.56324999999999,2.74685,2.92934999999999,2.783,3.03675,4.3365,1.602012,3.501,2.8530525,1.9176595,9.5925,3.582935
1,22.25,4.851375,93.3657500000001,19.05137375,1.67745000000001,0.512,1.994,0.586349999999997,0.653399999999998,-1.033055,0.79055999999998,0,425.270555,9.8720225,88.474,11.0505,1.02864,10.8114,9.944365,9.76533649999999,99.2,0.1,2.9187,0,0,328.081,341.4275,7.014385,2.37445,2.7163,2.89749999999999,2.7638,3.01275,4.3204,1.5455225,3.38379,2.819105,1.93479,10.0815,3.5591225
1,22.75,5.97180499999999,76.8565,18.368625,0.649550000000001,0.4452,1.9615,0.271299999999999,0.312399999999999,-1.0448,0.38342699999999,0,425.81885625,9.80605,88.4808,11.365,0.91335,10.823,10.1826,10.2125,99.1811,0.164999999999998,2.87778,0,0,328.83825,341.822,6.84353499999999,2.2353,2.711,2.89469999999999,2.7563,3.0073,4.304,1.579725,3.31193,2.8871485,1.948745,9.77398999999999,3.3339875
1,23.25,4.2203,72.31385,27.301775,0.293450000000002,0.464800000000001,1.9768,0.1872,0.2262,-1.0331225,0.179732249999995,0,425.75650375,9.73804,88.4724,10.98545,0.89752,10.353,9.7440325,10.10535,99.1291,0.164999999999998,2.883931,0,0,329.3235,341.46225,6.18148649999997,2.1204,2.7878,2.83589999999999,2.7967,2.9985,4.292,1.5325,3.35119,2.8205315,1.963915,9.78069,3.1481475
1,23.75,5.1752,80.2503999999999,14.4356,0.315600000000002,0.594800000000001,1.98125,0.349799999999997,0.2229,-0.845509250000004,0.359410499999991,0,425.842611,9.6758465,88.479125,11.068,0.948719999999999,10.65,9.97129999999998,9.902335,99.3919,0.2,2.876469,0,0,329.63849825,341.579,6.77283499999999,2.0156,2.7264,2.77989999999999,2.8062,3.0065,4.31125,1.4689675,3.13043025,2.68642925,1.8655975,9.3602475,3.166125
2,0.25,5.8481775,63.57825,15.392425,1.166675,0.272125,0.28175,0.01625,0.168125,-0.124046249999999,0.53257525,0.51920525,421.012193,9.80493999999999,87.955025,9.08734,0.769802,9.093667,8.151755,8.45499,99.41875,0.0100000000000023,2.839721,0,0,325.0455,341.0555,5.84499999999999,3.41055,3.84825,4.189125,4.284,4.0042,4.521725,1.4065405,3.072726,2.6795375,1.7277925,8.629545,3.035625
2,0.75,5.2745,67.9916,13.599475,1.037075,0.2985,0.189625,0.023,0.262,-0.694903749999999,0.413630750000001,-0.194289499999999,421.5700945,9.51286,87.937225,8.73669000000001,0.77211725,9.0851175,7.67905,8.23320500000001,99.3934,0.1,2.796601,0,0,326.257,340.3405,5.7729805,3.32615,3.745425,4.11,4.2343,3.98215,4.4921,1.4799,3.124238,2.70927,1.777842,8.6869375,2.810525
2,1.25,5.032,49.103375,12.4525,0.8823,0.231499999999999,0.261,0.021,0.1938,-1.11123075,-0.0758717499999991,-0.907349,421.202831,9.578485,87.9504,8.74525,0.823525,8.94118,7.602995,7.75771,99.201375,0.1,2.785025,0,0,325.37725,340.879,5.20675,3.289,3.6108,4.0443,4.2391,3.9686,4.4718,1.44848,3.12605,2.702325,1.784875,8.8722,2.7718
