DOY2,HR2,TAU,H,LE,FC,CO2,T_SONIC,TA,PA,RH,VPD,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,NETRAD,G,TS,PPFD_IN
2,18.25,-0.0551286755,-21.91686739,-0.65818904325,-0.245825997,243.1139651,7.17889855925,6.47300689825,91.4150900325,39.872415175,2.47072875675,1.18261299375,0.095139126,0.426226752,0.4110856135,0.1064735755,0.289181213,-91.000440145,-82.56956473,13.05226125,-0.0880374075
2,18.75,-0.06605280725,-22.95809479,-0.87006888025,-0.22568105,243.8033888,6.32683113025,5.59899799725,91.45895666,43.48599465,2.177644135,1.315748633,0.10661079475,0.385227682,0.348884276,0.12085749175,0.246476259,-87.09354215,-78.5877796075,12.28577875,-0.0886447525
2,19.25,-0.06765441675,-25.8339037825,-0.95169970525,-0.329925536,245.2547996,5.51341747425,4.9708564875,91.4672240325,47.7053714875,1.6585548875,1.52266072725,0.114845205,0.39917314125,0.3669564575,0.13268414675,0.26466635175,-83.6987894825,-71.9575360475,11.49835125,-0.08331582
2,19.75,-0.092482276,-29.17714851,-1.0615126885,-0.340293838,245.0770256,5.4022770545,4.69961094725,91.4818177775,48.551854995,1.1612884255,1.56480162375,0.12173306375,0.39173869825,0.362221706,0.143537055,0.2312942195,-80.5306585275,-67.70794066,10.94116625,-0.081063705
2,20.25,-0.102706055,-30.12658617,-0.97718566175,-0.222723563,247.9428621,4.967962496,4.12476059,91.47258589,49.79151704,1.185130722,1.66956286025,0.13364834175,0.4038867855,0.4121027475,0.150785827,0.24343648825,-78.798152865,-64.0068902925,10.39805125,-0.07731303
2,20.75,-0.110501767,-30.261208,-0.69617272875,-0.304347128,250.7925089,4.400823121,3.743176437,91.47621442,50.406918375,1.159775483,1.68504911,0.12254474425,0.39575759125,0.347741357,0.1464699285,0.2155421565,-77.721969215,-61.1431619125,9.8041205,-0.0739970325
2,21.25,-0.08225267175,-30.545107395,-0.53676673575,-0.208949389,252.0994606,3.950214057,3.308658816,91.4890564275,51.969901565,0.96713137775,1.5913833195,0.117936589,0.41469267925,0.402288198,0.1420659895,0.241678881,-76.0567043625,-58.132421335,9.32306525,-0.0706754475
2,21.75,-0.1078690205,-30.528537665,-1.2374402595,-0.194592629,255.2475434,3.55585169175,2.768915855,91.48663633,53.62437283,0.930258596,1.59548376525,0.12580033225,0.42256076025,0.407245277,0.1475636425,0.2565746625,-74.309148115,-56.370513275,8.766386875,-0.0665926625
2,22.25,-0.10059884025,-36.213152855,-1.4960801485,-0.38625356975,258.29826885,3.6542991505,3.01855756325,91.479727545,54.52831726,0.88947169075,1.610808864,0.13493238875,0.402931326,0.39188852425,0.151514411,0.22339753075,-73.0927600875,-55.2883828875,8.358629875,-0.0652788125
2,22.75,-0.107929606,-30.2935713425,-1.54482772175,-0.243210541,259.7412026,3.77113384375,3.14549913375,91.4710938975,58.6723512775,0.5095040015,1.719497201,0.13720344675,0.454192203,0.41115176825,0.15954067325,0.24267814975,-72.3915126175,-52.9042398075,7.924641,-0.0653151825
