DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,CH4,PPFD_IN,FC,SC,NEE,TS_1_1_1,FCH4
11,3.25,0.094756,0.50641,0.69541,-25.49675,4.85775,61.92425,99.071895,397.43,5.0757,2089.6,-12.757,0.31638,-0.59329,0.2842925,8.9523,-1.822175
11,3.75,0.0910255,0.4458425,0.65688,-24.294,3.0549,62.27175,99.05252,397.64,5.11785,2094.65,-12.237,0.330055,-0.6524,0.0920845,8.9254,-0.612895
11,4.25,0.0835055,0.3285675,0.69501,-27.5485,3.6393,63.656,99.04837,398.2,4.9048,2083.075,-12.74925,-0.02280955,-0.4867575,0.172155,8.89065,0.236379
11,4.75,0.097093,0.1322635,0.7172,-24.935,3.21385,63.4275,99.044125,397.555,5.054625,2090.475,-12.45725,0.38594,-0.289785,0.564285,8.84725,-2.981825
11,5.25,0.0874375,-0.011617725,0.670605,-26.505,4.0709,64.192,99.05844,398.125,4.93435,2088.2,-12.2755,0.41153,-0.23255,0.48054,8.772775,-3.11875
11,5.75,0.0899295,-0.10905525,0.71215,-24.387,3.84245,63.73925,99.07484,397.745,4.80185,2094.55,-12.77575,0.23842,-0.25964,0.22796,8.728175,2.0636
11,6.25,0.10014,-0.22067,0.71423,-26.213,3.3637,63.665,99.069075,397.665,4.924,2098.85,-12.52875,0.11498,0.0561545,0.77367,8.6862,0.014109
11,6.75,0.093249,-0.378335,0.74031,-22.797,3.9084,65.62475,99.0616675,397.815,4.868275,2099.9,-12.188,0.21781,-0.02560375,0.72433,8.65355,-0.01919075
11,7.25,0.1068175,-0.36167,0.743845,-26.75825,3.53645,65.787,99.0832125,398.06,4.8996,2094.65,-10.17855,0.27119,-0.29886,0.61291,8.638675,-0.3144375
11,7.75,0.1189025,0.065827,0.8194375,-18.07425,7.043025,64.473,99.0955625,398.995,5.1433,2100.975,11.04125,0.3885825,-0.4274075,0.5542675,8.623525,-2.369325
11,8.25,0.1866375,1.47,0.894275,-4.12195,9.718775,62.095,99.1015625,398.77,5.1569,2094.1,58.365,0.7625225,-1.4523,0.23221,8.6204,2.075
11,8.75,0.229635,1.8129,1.018925,6.247275,14.8155,59.156,99.137765,397.5325,5.25645,2087.275,95.451,0.073035,-2.0501,-1.14345,8.59455,1.217375
