DOY2,HR2,FC,H,LE,TAU,USTAR,TA,PA,RH,VPD,WS,U_SIGMA,V_SIGMA,W_SIGMA
3,18.75,20.952,2.568615,11.17305,-0.187098,0.374069,12.203,99.2304,50.0359,6.51693,3.705775,1.09959992724627,0.849117077253644,0.554848256867957
3,19.25,13.5517,-2.31695,14.6754,-0.1756535,0.381697,11.668,99.25025,52.3601,6.1999,3.47671,1.03815220464053,0.863865987081886,0.614066771613641
3,19.75,14.0964,-12.225,10.377595,-0.2304205,0.379036,11.1885,99.25075,59.9874,5.62801,3.58939,0.963570962617699,0.858230155610953,0.560654939472727
3,20.25,9.51862,-8.310625,8.3855,-0.178113,0.4068805,10.6925,99.25175,61.1257,5.05278,3.51025,1.04230993471232,0.753120271379096,0.555349979615159
3,20.75,9.6521,-8.54353,6.372,-0.275805,0.464632,10.401,99.2511,64.0005,4.31505,3.22892,1.02136318098165,0.735354556376594,0.567774603165728
3,21.25,10.5963,-15.6762,11.745,-0.215005,0.435822,9.96300000000002,99.2841,63.9392,4.294195,3.28888,0.990027777388089,0.768110018161461,0.53251005998008
3,21.75,9.23003,-7.90972,8.67434,-0.213142,0.398992,9.81800000000004,99.2763,65.1745,3.956895,3.0074,0.997790058078352,0.799883741552483,0.564693722295547
3,22.25,9.53898,-5.20206,11.1568,-0.219323,0.4053225,9.85200000000003,99.2525,68.1046,3.37494,3.344325,0.986003042591654,0.789809419743305,0.55022227178729
3,22.75,9.145465,-17.8365,10.6521,-0.143428,0.3852125,9.79000000000002,99.24785,64.3663,3.89496,3.265285,1.00178840081127,0.762632283607244,0.545681370270605
3,23.25,7.96959,-16.8047,14.0962,-0.221744,0.388666,9.41250000000002,99.2483,70.7774,3.98428,3.12181,0.993038770642919,0.767471172097037,0.541365015988498
3,23.75,6.024785,-12.53245,8.60103,-0.185719,0.414046,9.24900000000005,99.26055,68.1906,4.04358,2.99887,1.00041267493671,0.734972108314322,0.538830946897501
4,0.25,7.19762,-9.33814,9.86552,-0.175107,0.389768,11.15,98.7188,76.1533,2.823455,2.954115,0.964456841958208,0.815453248200042,0.584427360687838
4,0.75,6.18352,-15.10685,9.44903,-0.200005,0.4152835,10.98,98.7189,78.58465,2.47082,3.06092,0.971988168652273,0.817110151693148,0.578689998301783
4,1.25,5.177565,-12.65,12.6437,-0.15933,0.361085,10.986,98.72,78.69425,2.46117,3.12839,0.923373033051319,0.787190532985168,0.504821750719994
4,1.75,4.22665,-9.53255,8.54974,-0.193759,0.396515,10.817,98.7248,76.1293,3.448015,3.126355,0.976858229222644,0.828984796931719,0.545898068084301
4,2.25,5.36221,-11.8242,12.5991,-0.164942,0.4014805,10.697,98.6863,81.0143,2.272795,3.066375,0.886529187336773,0.710430151387172,0.509387867935623
4,2.75,5.88634,-12.0906,8.399955,-0.191426,0.398877,10.3785,98.69995,81.8361,2.527675,3.283725,0.994748094979856,0.79590577331742,0.573579688363196
4,3.25,5.405865,-7.73029,10.7421,-0.195608,0.388595,10.1765,98.7019,79.1552,2.45002,3.018005,0.932639265739975,0.750718322675023,0.533479507217219
4,3.75,5.48614,-10.140535,7.691245,-0.146626,0.3548035,9.94650000000004,98.70235,83.53095,2.017445,3.1446,0.889560003597284,0.726564641353703,0.523515042763816
4,4.25,8.18694,-8.62008,9.676325,-0.15351,0.3994005,9.81400000000002,98.7036,85.50685,1.89892,3.197955,0.910718122674884,0.754562163002255,0.520174507267873
4,4.75,9.15656,-6.63679,11.42215,-0.175387,0.3815745,9.46000000000004,98.7136,86.2597,1.68655,2.99657,0.909358015305303,0.687177415402693,0.54217551250357
4,5.25,11.03685,-7.163475,10.4116,-0.188692,0.3848125,9.88150000000005,98.7162,87.5279,1.496515,3.08688,0.897192803299222,0.718361329694187,0.530188655465536
4,5.75,14.52195,-5.33108,14.776,-0.192053,0.401627,9.90600000000001,98.7346,85.4153,1.46732,3.225735,0.908689884017543,0.789212899032954,0.555271735675563
4,6.25,16.37725,-4.147445,9.28656,-0.158101,0.392102,9.81600000000003,98.7804,87.1521,1.24801,3.38369,0.922106826783101,0.759154134547129,0.56855200619367
4,6.75,22.4481,4.88933,15.31565,-0.208252,0.420374,9.81650000000002,98.7962,86.1049,1.47355,3.31788,0.913127044830017,0.702508326567069,0.546421998093049
4,7.25,22.9632,19.05685,25.0651,-0.208837,0.4252465,9.96650000000002,98.8233,85.5404,1.81479,3.412625,1.00567938476219,0.850188202144137,0.583924879634394
4,7.75,24.76035,24.9867,23.94155,-0.276945,0.485631,9.86550000000003,98.83725,81.74565,2.16271,3.40918,1.06936897280593,0.885212949574144,0.637957627755296
4,8.25,18.08,69.5409,32.1203,-0.282554,0.469751,10.239,98.86725,77.8986,2.587605,3.43265,1.08884801510587,0.946520998182291,0.689525924095679
4,8.75,19.1088,57.0547,26.5445,-0.311794,0.508473,11.243,98.8284,74.54125,3.65734,3.69798,1.20055820350369,1.00202794372213,0.695392694813513
4,9.25,15.0879,67.7311,44.06735,-0.336252,0.525145,11.827,98.8179,70.15025,4.301035,4.06,1.27681327807805,1.04362828631654,0.71104211735122
4,9.75,19.40105,97.54415,66.0607,-0.4632415,0.609177,12.248,98.91405,66.6399,5.29822,3.81917,1.31505887216747,1.14438192925264,0.750761511165543
4,10.25,18.09405,88.95545,53.7222,-0.474533,0.6054375,12.7145,98.95775,66.04975,4.15195,4.10003,1.37880020214044,1.20530554088678,0.75447692257296
4,10.75,17.6672,105.2085,75.2463,-0.3630345,0.560433,12.9205,98.969,62.381,4.71232,3.835905,1.44062139370481,1.26222026603917,0.74550170122306
