DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,SC_1_1_1,H_1_1_1,SH_1_1_1,LE_1_1_1,SLE_1_1_1,G_2_1_1,TS_2_1_1,TS_2_2_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,H2O_1_1_1,FC_1_1_1,G_2_3_1,G_2_2_1,PPFD_OUT_1_1_1,TAU_1_1_1
1,10.25,0.271718859,-7.104900695,2.500475191,-0.36609350975,-0.036825,30.735015,0.54295431125,7.0036370275,-0.056,-10.85691,0.21327525,0.5018475,55.22205888,97.488220935,359.3809909,0.848824735,72.718175,324.67710505,154.733325,41.18133,215.5209,292.133425,3.6100375,-0.4054938595,-11.10656,-10.33541,36.7297118,0.04348771
1,10.75,0.2680578655,-6.674961863,2.538159304,-0.57087502075,-0.04205,36.358605,0.5229484675,7.38961398275,-0.095075,-10.515515,0.2315592,0.5100333,50.47421728,97.4754710825,360.3525,0.992810595,83.2969225,364.483873075,169.449825,44.488185,218.8389,296.9042162,3.60982,-0.539422474,-10.68091,-9.225905,42.5442875,0.04889199
1,11.25,0.273447244,-5.9791199515,2.612741845,-0.57945203275,-0.031825,44.428247605,0.47028255,9.286360733,-0.0805,-10.0618675,0.27318135,0.547279,49.03772281,97.466953775,359.807501725,1.1001741525,98.269,418.23744955,194.21285,50.93864,221.856925,299.43203795,3.66236743625,-0.564753003,-10.26741,-8.839128,49.771825,0.05341934
1,11.75,0.276649384,-5.4823415975,2.58722533975,-0.582340025,-0.0366,50.79006166,0.42151338225,9.384,-0.115713246,-9.820708,0.310851,0.581275,46.352674725,97.3941342,359.5888011,1.14798366,101.698,471.730867,218.694,59.90725,223.7348,301.1992,3.63222366225,-0.524746364,-9.93400675,-8.3056175,51.64543166,0.06275763
1,12.25,0.2926000585,-5.0872,2.5303159765,-0.641566473,-0.0311,51.39905915,0.3548911095,10.07540729,-0.0767,-9.754711,0.327209625,0.563605,43.8180476325,97.34110593,359.23313545,1.225136665,107.31585,499.4876,230.3543,64.1750175,224.802125,302.99855,3.5944925,-0.5694936885,-9.76725475,-8.1679525,57.0268875,0.06973067
1,12.75,0.28843669175,-4.6381122535,2.502971667,-0.60608,-0.03885,53.0262542775,0.31979031025,9.0785,-0.12718366725,-9.221961,0.37185415,0.55746,41.46631082,97.26853248,359.64,1.28425427,107.610075,506.3555389,232.607225,56.4518825,225.0472,305.3505,3.61825920825,-0.54236818825,-9.6610425,-8.0562475,49.97441495,0.04409107
1,13.25,0.291785446,-4.15354,2.630680977,-0.49678423075,-0.038075,49.23911877,0.24127,9.022912076,-0.066375,-9.0620715,0.3884075,0.598672,40.69003,97.240318,359.6646376,1.295200823,99.50765,476.4315,221.094725,52.40737,226.3325,307.6331,3.62568,-0.502336673,-9.54011325,-7.7951335,47.09834,0.05134618
1,13.75,0.2815206305,-3.92673073775,2.586792115,-0.46095,-0.0364,45.0150725775,0.219954818,8.83104824,-0.13264,-8.9228205,0.4083187,0.6135046,38.737677525,97.228845845,359.25461945,1.3211870125,97.7820375,425.0352,192.0101,53.9146325,227.6894,307.9,3.628645668,-0.4207523535,-9.384138,-7.526537,47.3309575,0.04762303
1,14.25,0.27794690525,-3.876673793,2.5659759485,-0.371757094,-0.0302,35.969358865,0.09883537725,7.60185,-0.1159825,-8.7816835,0.41539,0.66451715,37.6000339,97.20082794,358.7895974,1.40515982,86.87906869,400.690545625,191.22,46.6546725,227.1088,308.4497,3.643393059,-0.39667116275,-9.293594,-7.394778,44.03133371,0.04577861
1,14.75,0.272104877,-3.8208681985,2.5012433605,-0.283329942,-0.0253,35.1750575,-0.00137,7.016454813,-0.075,-8.674851,0.44682875,0.68411925,36.9227539,97.2135842425,358.3925,1.429720255,76.43887,349.6662714,172.865725,44.43344,229.8754,307.46215,3.63,-0.2976194185,-9.169945,-7.3602905,36.853875,0.0441989675
1,15.25,0.26776143425,-3.948272482,2.5119106315,-0.139601854,-0.02385,21.087273815,-0.22178469325,5.93317368825,-0.074175,-8.4249935,0.486232925,0.7388534,36.0115738,97.21982544,358.805,1.413616545,53.02824,266.639424225,127.89155,31.832305,229.7369,304.6296,3.6373425,-0.148112908,-9.1016065,-7.355681,31.5999625,0.05425012
1,15.75,0.248929572,-4.052497699,2.43237314475,-0.056875,-0.02625,7.879304638,-0.4285928525,4.114258988,-0.090275,-8.1086155,0.487006425,0.72293705,35.77959955,97.2287675,358.5075,1.42700681,31.30689,199.6930362,98.66205,22.35297,230.4823,301.1669,3.64087,-0.0777,-9.0500905,-7.413822,22.04209,0.04535655
1,16.25,0.225887364,-4.058602517,2.1892168195,0.00038625,-0.0268,-5.446693036,-0.724850096,2.1206193635,-0.068825,-7.9750465,0.4931387,0.76122195,37.1339299025,97.28325393,358.62,1.4211202545,4.15215775,122.9758029,61.691145,14.1565,226.7585,296.6038,3.6507223375,-0.0211,-9.02401075,-7.377396,15.61783,0.03902729
1,16.75,0.190932321,-4.25096840175,1.90950452025,0.08375,-0.0197,-20.90832,-1.154303985,0.1630725215,-0.093575,-8.0576695,0.482671,0.7592074,38.161185785,97.28195295,358.66,1.361411517,-32.97225,50.62371236,27.0699025,5.342377,227.668925,292.536575,3.6430448365,0.061375,-9.0341175,-7.358391,7.5641744125,0.02150082
