DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
2,17.25,0.22845,-4.369625,1.2288,-1.054225,-0.85495,-0.8092,-16.777,-18.374125,-0.76195,-5.58285,-4.98825,-0.309,-0.37925,10.7575,76.800025,379.69525,-0.63875,-43.4355,26.5725,14.279,3.987225,183.405,290.9225,1.1564,29.446
2,17.75,0.05875,-4.62655,0.84055,-0.8296,-0.1911,-0.971375,-50.428425,-25.53125,-3.9596,-4.2738,-5.689,-0.28925,-0.3505,11.6575,76.810275,379.899825,-0.7515,-119.8075,5.364625,2.381925,0.908875,180.695,287.8,1.151,6.264275
2,18.25,0.038,-4.8143,0.99245,-0.44415,-0.053025,-1.0492,-63.98205,-31.30645,-2.3262,-5.0154,-5.657,-0.27475,-0.3225,13.11,76.81075,380.259475,-0.7805,-139.935,0.458,-7.851025,-0.6962,180.865,282.2675,1.2596,0.370375
2,18.75,0.02,-5.42575,0.72305,-0.335575,-0.105,-1.03335,-72.64155,-31.02205,-4.0936,-3.873,-5.67225,-0.308,-0.30125,14.7775,76.81025,380.84035,-0.9415,-137.735,0.335,-7.531,-0.151,180.865,278.0325,1.2724,0.335
2,19.25,0.037,-6.27695,0.8037,-0.4462,-0.0596,-0.7964,-63.7851,-21.8323,-4.441,-4.4646,-5.37975,-0.2765,-0.28175,14.86,76.82,380.951425,-0.9565,-136.17,0.335,-6.077225,-0.06525,179.04,275.84,1.2462,0.335
2,19.75,0.021,-6.8974,0.606075,-0.310625,-0.1604,-0.75995,-78.761075,-14.593975,-5.2218,-4.622075,-5.0265,-0.3175,-0.2705,14.5625,76.82025,381.144125,-0.9085,-133.9525,0.335,-5.851825,0.051375,178.0275,271.3375,1.2292,0.316875
2,20.25,0.032175,-7.4377,0.782,-0.2071,-0.0828,-0.5182,-71.4138,-14.3428,-4.101,-4.4476,-6.15,-0.33575,-0.2565,14.385,76.84,381.5895,-0.9535,-130.8625,0.335,-5.165225,0.006025,175.1925,266.9025,1.189,0.10375
2,20.75,0.03445,-7.83975,0.744275,-0.2829,-0.1428,-0.4096,-77.85735,-18.0504,-3.2262,-6.4409,-7.05325,-0.3825,-0.24625,15.1,76.84,381.8568,-0.8715,-130.1525,0.335,-5.73535,0.1962,173.985,265.405,1.2808,0.12125
2,21.25,0.033325,-8.1535,0.669475,-0.287225,-0.0364,-0.443825,-77.0038,-16.3718,-2.420375,-5.9168,-7.00275,-0.47525,-0.24625,15.2075,76.86025,381.879575,-0.841,-128.5,0.335,-5.631275,0.02,173.4575,264.235,1.351,0.1275
2,21.75,0.031675,-8.778,0.6417,-0.3156,-0.2428,-0.523,-72.3505,-16.8456,-3.201575,-6.586875,-7.2755,-0.59475,-0.24975,15.3675,76.87,382.0042,-0.878,-127.8,0.335,-5.172225,0.1097,172.9775,262.515,1.2628,0.083
