DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,G,H,LE,FC,TS
4,18.25,0.19,0.41,5.2525,6.015,35.5575,-2.71,-0.4325,-86.4775,-4.63,-19.87,-7.16,-1.05,6.055
4,18.75,0.14,0.67,5.08,6.0975,32.05,-8.635,-0.845,-92.1,-13.24,-20.59,-7.26,-0.5975,5.99
4,19.25,0.13,0.84,4.77,6.1,29,-7.48,0,-89.895,-18.86,-26.7925,-6.9925,-0.19,5.91
4,19.75,0.13,0.765,4.905,5.975,26.2275,-7.18,0.0925,-90.2475,-24.41,-34.825,-7.87,-0.37,5.82
4,20.25,0.14,0.77,5.11,5.97,24.51,-6.9325,0.185,-88.345,-26.6,-28.08,-8.575,-0.27,5.72
4,20.75,0.13,0.82,5.3,6.08,23.88,-6.92,0.14,-89.025,-23.79,-27.425,-3.99,-0.12,5.63
4,21.25,0.13,0.84,5.1125,6.01,23.2275,-6.91,0.14,-87.875,-26.47,-35.74,-7.62,-0.2425,5.545
4,21.75,0.14,0.86,5.365,6.225,21.6775,-7.015,0.0875,-88.43,-27.3,-48.08,-5.18,-0.1525,5.46
4,22.25,0.1325,0.845,5.2375,6.1875,20.505,-6.95,0.1075,-88.975,-26.29,-50.86,-5.375,-0.13,5.36
4,22.75,0.12,0.81,5.33,6.35,20.14,-7.26,0,-87.475,-26.48,-55.7,-4.3025,-0.27,5.27
4,23.25,0.14,0.8375,5.13,6.635,19.91,-7.17,0,-89.325,-29.3,-48.1,-4.345,-0.07,5.15
4,23.75,0.13,0.77,4.88,6.3,20.08,-7.09,0,-88.23,-25.59,-48.065,-4.09,-0.255,5.075
5,0.25,0.14,0.95,9.4,10.365,16.1575,-7.3125,0,-92.07,-30.33,-39.015,-5.825,-0.3625,8.57
5,0.75,0.13,0.92,9.535,10.43,16.33,-7.51,0,-90.89,-32.29,-37.66,-7.7375,-0.32,8.4425
5,1.25,0.1375,0.93,9.595,10.705,16.19,-7.485,0.03,-91.405,-29.63,-32.82,-5.6,-0.26,8.325
5,1.75,0.14,0.93,9.6125,10.25,17.36,-7.26,0,-92.19,-30.2875,-34.2,-6.44,-0.54,8.2075
5,2.25,0.13,0.89,9.695,10.31,17.545,-7.285,0.02,-91.505,-30.72,-42.8575,-7.1625,-0.25,8.0825
5,2.75,0.13,0.89,9.585,10.435,16.3775,-7.3125,0,-91.2875,-29.49,-41.6875,-7.6325,-0.35,7.9775
5,3.25,0.14,0.925,9.8175,10.41,15.9175,-7.28,0,-91.4375,-29.33,-41.9225,-5.795,-0.36,7.8725
5,3.75,0.13,0.8925,9.6475,10.3675,16.395,-7.26,0,-92.015,-31.5,-36.95,-5.79,-0.36,7.7625
5,4.25,0.13,0.9,9.7075,10.1625,16.6475,-7.26,0,-91.37,-28.58,-37.18,-5.06,-0.365,7.675
5,4.75,0.12,1.0375,9.6025,10.62,16.3975,-4.47,0.28,-87.965,-31.63,-37.375,-5.7775,-0.28,7.6225
5,5.25,0.1175,0.9975,9.61,10.44,16.87,8.46,1.12,-76.235,-30.46,-35.665,-4.93,-0.415,7.54
5,5.75,0.12,0.935,9.67,10.77,16.79,34.0325,3.335,-49.1775,-30.69,-32.76,-5.75,-0.26,7.465
5,6.25,0.11,0.69,10.22,11.33,17.225,202.575,11.5775,63.075,-28.48,-24.9225,-6.595,-0.56,7.3925
5,6.75,0.12,0.4325,10.5775,11.675,16.595,336.5625,17.615,157.265,-29.06,-16.205,2.72,-1.6,7.365
5,7.25,0.15,0.32,11.33,12.08,17.32,452.71,24.49,249.45,-25.61,-9.07,21.835,-3.2775,7.36
5,7.75,0.21,0.6075,11.515,12.5125,17.025,565.495,32.815,346.035,-5.27,20.1975,62.335,-4.705,7.47
5,8.25,0.305,0.82,11.695,12.775,17.045,669.905,44.525,429.895,3.6,69.34,66.9925,-6.25,7.66
5,8.75,0.36,1.18,12.005,13.06,18.16,764.645,58.51,503.315,21.32,96.86,75.16,-7.07,7.7875
