DOY2,HR2,TAU,H,LE,FC,FCH4,WS,USTAR,T_SONIC,CO2,H2O,CH4,U_SIGMA,V_SIGMA,W_SIGMA,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,RH_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,TA_1_1_1,PA
2,10.75,-0.13604575,244.48325,125.232,-5.74005,19.6146,4.768675,0.55860475,25.59725,420.15125,24.9418,2165.32,1.3300675,1.028905,0.6323955,336.183462532299,361.400041390728,1271.38933933333,88.8233,655.559292376358,721.494974874372,66.5538846520496,20.755125,102.7545
2,11.25,-0.127928,259.03675,136.196,-6.4463475,36.9122,4.88471,0.557697,25.8179,418.82075,25.1736,2169.23,1.31863,1.04987,0.628729,336.602067183463,365.977649006623,1350.34458266667,88.5192,696.61759977882,765.384063173008,68.7989513822688,21.2745,102.7135
2,11.75,-0.146496,280.1145,135.0175,-7.09014,15.3582,4.770905,0.5669985,25.680725,416.764,24.410325,2156.565,1.3459775,1.0787825,0.6436225,337.118001722653,365.950331125828,1390.02718666667,87.2782,724.741843631887,794.422110552764,68.8932316491897,21.2745,102.6705
2,12.25,-0.158489,276.6355,146.95225,-8.058125,29.7168,4.85056,0.574677,26.1736,416.02,24.6366,2157.42,1.3231,1.15979,0.61659,337.250645994832,369.684602649007,1384.87052266667,85.7391,720.306394699906,785.527638190955,69.8045757864633,21.9172,102.6015
2,12.75,-0.1614975,271.8285,139.0535,-6.794655,26.655525,4.7906225,0.57005975,26.162425,413.5795,24.817975,2152.4075,1.3039225,1.0431325,0.611514,337.501291989664,367.009105960265,1353.40696933333,85.8794,706.469372670242,774.393395549174,68.5721639656816,21.6717,102.56
2,13.25,-0.1682495,253.11,135.535,-6.48104,19.9603,4.8155175,0.562696,25.912025,411.1095,24.016275,2109.92,1.38371,1.0281175,0.637285,339.396210163652,363.930463576159,1290.56877066667,85.2401,681.853066572136,752.103374012922,68.2224022878932,21.4008,102.50275
2,13.75,-0.1690135,257.344,130.1,-6.24457,17.9521,5.07013,0.5837755,26.2977,414.093,25.0504,2134.745,1.40026,1.09005,0.657303,334.161068044789,367.596026490066,1200.90011333333,85.2386,643.642350661109,712.348169418521,65.8343183984747,21.8031,102.471
2,14.25,-0.162893,226.286,119.055,-5.639455,20.4735,5.15087,0.572327,26.1441,415.207,24.0447,2135.23,1.41083,1.0675,0.658336,336.603789836348,366.28559602649,1082.60308,85.0683,588.740571302652,657.214644651831,62.0633937082936,21.5403,102.4635
2,14.75,-0.15312,200.581,101.654,-4.79616,26.935525,5.10854,0.580063,26.11435,414.0315,23.8806,2139.6775,1.388805,1.08077,0.651657,338.77863910422,365.594370860927,953.350605333333,85.6403,516.437974907905,574.502512562814,58.0393708293613,21.56,102.436
2,15.25,-0.158526,166.01925,99.9485,-3.80549,15.2792,5.02064,0.570388,25.9154,413.81,23.8822,2127.5675,1.34618,1.07624,0.645166,336.360034453058,360.998344370861,778.737269066667,87.371,435.586719721445,490.218234027279,52.1910390848427,21.4191,102.433
2,15.75,-0.15032225,124.775,81.95005,-2.121855,20.8943,4.9417675,0.55169625,25.844725,413.6745,24.3748,2118.16,1.3583275,0.98265025,0.6179155,342.733850129199,357.190397350993,601.642411733333,87.3302,339.781918991663,384.831299353912,45.139466158246,21.4212,102.42575
2,16.25,-0.13852925,77.2632,62.7554,-1.07082275,12.78645,4.598125,0.52049175,25.141825,415.24425,23.657075,2133.075,1.278285,0.98800075,0.58851175,338.513565891473,353.179842715232,427.443979466667,90.014775,236.194201909726,271.539483129936,35.101906577693,20.757075,102.4035
2,16.75,-0.10001455,32.426,56.1384,0.236802,21.166875,4.41932,0.480809,25.0555,414.4385,24.09575,2143.745,1.1866,0.860548,0.5476205,344.313522825151,349.796357615894,251.847715866667,90.8984,146.008940111151,170.085427135678,25.1718779790276,20.1874,102.421
2,17.25,-0.064136525,8.71328,38.403225,1.7142375,13.7031,4.20548,0.439128,24.9697,415.4,22.8691,2142.55,1.12238,0.817899,0.527283,338.468561584841,346.529801324503,96.3485129466667,92.3329,61.4384083018936,78.8815506101938,14.5653002859867,19.8433,102.4665
2,17.75,-0.04624975,-6.7914275,23.172075,2.85542,20.007825,3.9919175,0.41134575,24.720625,417.22125,23.2958,2115.6725,0.99155075,0.7014255,0.49550675,335.961240310077,344.282284768212,16.3257808933333,93.8858,7.60423449810676,9.47659727207466,2.38307912297426,19.4548,102.46475
2,18.25,-0.0334384,-7.12678,20.882025,2.7528975,10.9739225,3.87598,0.405837,24.1601,418.726,22.6567,2121.06,0.998557,0.684724,0.496743,335.602067183463,343.483443708609,0.5142675808,94.8921,-1.47602371793596,-2.33172290021536,0.126679694947569,19.192,102.4725
2,18.75,-0.0225932,-6.55721,19.0679,2.93505,9.0406,3.785805,0.4143575,24.72945,421.33325,23.0839,2148.52,1.0254075,0.70969125,0.495195,334.280792420327,342.404801324503,0.06498908076,95.7859,-1.33998352377438,-1.1124335965542,1.95453765490944,19.1696,102.49725
2,19.25,-0.020846575,-5.8207975,17.9384,2.8640225,25.3903,3.86784,0.40137475,24.20775,421.502,22.202625,2167.93,1.002764,0.700186,0.50043425,332.533161068045,341.51738410596,0.06537079244,96.0529,-1.71944903736988,-0.858585786073223,2.34693994280267,19.1534,102.57375
2,19.75,-0.0317957,-5.6103975,19.9707,2.86883,20.8802,3.63312,0.385605,24.177,423.247,23.0242,2289.38,0.902397,0.667682,0.457431,335.457795004306,341.565190397351,0.0658294342366667,96.216125,-1.25615807347715,-0.9729720028715,2.28899904671115,18.999775,102.5965
