DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,CO2,VPD,TS_3
7,1.25,-0.60345225,-2.886650431,-20.587725,0,10.675,4.347,73.81,0.0575103,99.1,0.343,-27.745,0.0957461,0,4.847,0.33495325,5.55,5.567,10.26,16.05,3.5206,4.884787602,403.075,1.0047475,8.3275
7,1.75,-0.32681425,-2.6441,-21.99748666,0,10.24,4.245,76.285,0.0547,99.1,0.349,-25.15,0.2000155,0,4.7485,0.330158,5.24,5.198,9.525,14.875,3.2496327415,3.5562109665,406.025,0.899645,7.942
7,2.25,-0.617193008,-4.6060925,-20.2602,0,9.92,4.16275,77.5,0.05611055,99.1,0.363,-23.6375,0.630246,0,4.6555,0.34702275,5.0285,4.836,8.915,13.945,2.94524515525,2.48118681975,402.6,0.8922225,7.492
7,2.75,-1.031305633,-4.19471,-18.48435,0.61,9.405,4.04375,78.635,0.0551675,99.1,0.4195,-21.1625,1.6322,0,4.59225,0.3363525,4.85475,4.39175,8.325,13.1475,2.57937725275,1.2214,408.6,0.9077025,6.99875
7,3.25,-1.28093,-4.179355,-19.94769239,2.23,9.19,3.929,79.37,0.05775,99.1,0.607,-19.2525,4.79375,0.039286475,4.50725,0.33187,4.6085,4.173,7.962,12.3225,2.3338,-0.0974792605,405.2,0.83606,6.63525
7,3.75,-1.223485,-2.86779,-15.8136,6.4045,9.18,3.83225,80.925,0.0497,99.1,0.939,-14.25,12.3472,0.30119275,4.44375,0.3235825,4.493,3.90075,7.503,11.2975,1.850275,-1.08160527375,409.175,0.7473975,6.28475
7,4.25,-0.752645,-3.48777,-15.498305515,13.78,9.41,3.74275,80.225,0.05056,99.1,1.58375,-7.781,25.852,0.8215465,4.382,0.3268375,4.35175,3.759,7.03925,10.465,1.89207110725,-1.79549790425,408.15,0.7475125,6.09575
7,4.75,-0.65,-2.1720675,-13.662156575,25.45,10.08,3.663,77.79,0.0523,99.1,2.4735,-1.576,46.432,1.59813,4.281,0.3552505,4.176,3.573,6.636,9.89,1.87705,-2.075603979,408.4,0.7548725,6.08675
7,5.25,-0.832330408,-0.9021055,-10.54711456,39.4725,10.945,3.5895,75.195,0.062135,99.1,3.5575,7.6155,71.7855,2.3844,4.2115,0.39247,4.0515,3.3545,6.2595,9.435,1.860235735,-2.3332,406.1,0.94601,5.96375
7,5.75,-1.259850958,1.504895,-7.0373741875,57.48,11.78,3.529,71.045,0.0672,99.1,4.5085,12.15,101.985,3.383065,4.1315,0.4435625,3.9665,3.2745,6.004,9.125,2.1910784925,-1.684506716,402.6,0.9742775,5.8135
7,6.25,-2.4115727755,9.78816,-3.48044,75.19,12.48,3.491,68.42,0.0885,99.1,6.3445,15.525,138.10775,4.903455,4.0905,0.52545,3.9415,3.2055,5.978,9.05,2.86456183,-0.5299328005,399.15,1.51155,5.92775
