DOY2,HR2,CO2,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TAU
2,1.75,424.818471,8.120381,2400.313255,1.276136,21.435837,-24.4537165,-1.303998,1.043889,0.1164045,0.3529965,0.137197,101.998,87.2,6.526,1.246192,15.143283,0.319933,8.11625,7.7571665,7.784167,8.4056665,8.7941665,11.516,-32.930943,0,0,-2.391304,1.307692,302.7762895,338.686681,-0.012269
2,2.25,425.1740575,7.979893,2353.749056,1.257134,24.261968,-20.298416,-1.973997,0.9754065,0.1147845,0.358191,0.1251355,101.992,87.6,6.432,1.200702,14.997034,0.3245445,8.11825,7.758,7.7615,8.395,8.7945,11.5285,-31.7248995,0,0,-2.318841,1.307692,304.842217,338.351476,-0.011412
2,2.75,421.493571,8.102469,2396.466331,1.242469,23.3632565,-27.861564,-0.1118935,0.96835,0.1277335,0.3616855,0.137486,101.9865,88,6.33,1.151228,14.933128,0.339235,8.1105,7.758667,7.7611665,8.391,8.792833,11.5405,-33.2989375,0,0,-2.246377,1.230769,303.9857405,337.803479,-0.01376
2,3.25,421.1901995,8.027235,2337.261707,1.230207,19.905333,-23.561133,-0.8440665,0.8981515,0.117271,0.3561445,0.1292,101.979,88.6,6.13,1.070133,14.7160325,0.315665,8.1175,7.7578335,7.753667,8.403,8.796,11.528,-30.0555425,0,0,-2.318841,1.230769,304.110118,336.6094915,-0.010712
2,3.75,422.538476,7.84563,2401.0785215,1.339365,24.389375,-22.844838,-0.526078,0.98055,0.115582,0.335417,0.1305815,101.9905,88.9,5.742,1.045913,14.5500295,0.339517,8.125,7.7535,7.7525,8.400667,8.8,11.5405,-28.4350215,0,0,-2.318841,1.230769,303.5678435,335.1901825,-0.0112835
2,4.25,423.754889,7.907003,2455.587386,1.386063,25.380491,-21.406529,0.283141,0.9819665,0.1102525,0.3438095,0.133267,102,88.9,5.713,1.0445985,14.213316,0.317418,8.121,7.7426665,7.753,8.3975835,8.7973335,11.528,-28.424408,0,0,-2.246377,1.307692,303.9524325,335.231429,-0.010659
2,4.75,422.452024,7.629907,2470.116261,1.330813,24.206149,-16.247368,0.239494,0.9226475,0.113321,0.350819,0.1237535,102.0055,89.7,5.437,0.9493635,13.925329,0.308796,8.1175,7.7233335,7.754,8.38825,8.7885,11.5405,-25.768099,0,0,-2.101449,1.307692,304.2401735,334.801568,-0.010417
2,5.25,421.52208,7.809418,2485.363416,1.181025,20.6869205,-15.443763,1.038385,0.8700045,0.1178975,0.336791,0.1295615,102.0095,89.85,5.332,0.9054985,13.7775935,0.321566,8.10475,7.711,7.7575,8.39375,8.793833,11.528,-24.707767,0,0,-2.101449,1.307692,303.656266,333.7422045,-0.012185
2,5.75,421.464175,7.754258,2483.5255105,1.238851,17.5402605,-23.457334,0.6149945,0.902524,0.113339,0.325884,0.129796,102.0235,89.841,5.186,0.879509,13.78998,0.323085,8.10425,7.685,7.741333,8.39,8.803333,11.5405,-22.579841,0,0,-2.028986,1.307692,305.4253445,333.2377855,-0.009687
2,6.25,418.918559,7.642265,2416.056557,1.421261,17.439009,-20.034001,0.139614,0.915832,0.114417,0.334624,0.125278,102.0425,90.5,5.024,0.8720595,13.560048,0.316736,8.1065,7.644,7.7275,8.3806665,8.8045,11.5405,-22.369588,0,0,-2.028986,1.2414345,306.636564,332.472127,-0.013323
2,6.75,420.057291,7.555623,2403.233957,1.064974,15.3253385,-10.905183,-0.764747,0.934715,0.111848,0.336949,0.121361,102.0715,90.9,5.006,0.856413,13.41102,0.3074115,8.10825,7.637,7.736,8.3658335,8.793167,11.5405,-19.8435945,2.5,0.425532,-0.253623,1.615385,306.318343,331.230077,-0.011359
2,7.25,421.664261,7.619849,2415.075531,1.375544,22.285785,-12.995335,0.341757,0.94288,0.110743,0.330149,0.133047,102.0965,89.9,5.189,0.965351,12.878587,0.331418,8.104,7.6436665,7.7266665,8.3625,8.786,11.5405,-4.017206,36.7708335,2.553191,18.188406,4.307692,308.2593305,333.7468265,-0.01161
2,7.75,424.649584,7.8797805,2449.701272,1.228171,29.075899,-7.5853725,13.989306,0.99596,0.138524,0.327222,0.167686,102.1135,87.1,6.3905,1.339102,13.313001,0.343561,8.0801665,7.567,7.6503335,8.3065835,8.7486665,11.5405,30.878444,127.916667,9.361702,67.717391,11.076923,310.5141185,340.188852,-0.023825
2,8.25,422.644777,8.563947,2284.849047,1.368027,34.200252,8.93506,29.532044,1.210795,0.194869,0.407022,0.229738,102.1375,81.8,7.781,1.861823,14.502118,0.402503,8.07425,7.538,7.571,8.2605835,8.7193335,11.5405,87.5323585,269.8958335,17.021277,141.9202895,17.5,314.942038,349.304164,-0.047738
2,8.75,420.054863,8.760937,2174.7838125,1.787665,36.0581145,28.199616,46.6262295,1.573248,0.240047,0.497939,0.293517,102.154,76.1675,9.14,2.712932,15.644652,0.4167515,8.072,7.601,7.5698335,8.2608335,8.7228335,11.5405,157.2452335,442.2408335,28.085106,233.3333335,25.6538465,313.570906,358.577061,-0.071402
2,9.25,418.972839,9.186694,2125.2438165,1.835178,37.0249935,68.386485,57.3783735,1.756105,0.284559,0.578524,0.319548,102.179,71.525,10.269,3.6372365,16.852197,0.4745055,8.08725,7.6145,7.57,8.2615835,8.7408335,11.5405,239.1557115,602.3958335,39.255319,337.0289855,34.1923075,312.910395,367.351797,-0.1021
2,9.75,419.045366,9.098973,2083.210373,1.493795,35.6410225,117.397746,58.587606,1.860134,0.304403,0.612826,0.345572,102.19,65.76,11.25,4.557184,17.668963,0.551169,8.1145,7.666667,7.613,8.2725,8.761333,11.5405,307.17984,773.71,51.866,423.768116,44.384615,312.457924,375.355049,-0.116899
2,10.25,417.3707885,9.1488935,2068.267322,1.725811,30.385981,156.317488,57.949565,1.8762445,0.3176255,0.661062,0.3665665,102.209,61.81,11.94,5.524608,18.321889,0.633545,8.125,7.714333,7.637667,8.265,8.747333,11.5405,361.798899,907.083333,62.765957,494.347826,54.461538,315.512137,383.932444,-0.1205455
2,10.75,415.645551,9.074049,2055.989261,1.778464,32.048199,182.850614,52.991623,1.919697,0.331691,0.685482,0.377041,102.206,58.45,12.59,6.235208,19.109751,0.698298,8.145,7.783667,7.669667,8.279667,8.784,11.5405,405.259743,1021.25,71.914894,551.086957,63.307692,318.554032,391.3881,-0.130399
2,11.25,413.5237405,9.1095815,2037.0766175,1.515699,34.6675335,225.7855145,49.40169,1.944366,0.325282,0.719446,0.375957,102.189,55.835,13.33,6.948634,19.819387,0.762854,8.1825,7.846,7.667,8.278,8.791,11.5405,432.084511,1115.416667,82.340426,597.826087,71.076923,320.453974,398.96962,-0.130166
2,11.75,411.865462,8.984806,2035.761875,1.8037635,37.888491,238.115654,48.736174,1.926888,0.332654,0.721081,0.386404,102.1545,52.793,13.86,7.5931345,20.493932,0.775004,8.2095,7.9513335,7.6778335,8.2931665,8.802167,11.5405,447.5910745,1169.791667,88.297872,625.724638,77.1923075,324.466378,405.692518,-0.13284
2,12.25,411.2961105,8.922518,2016.922884,2.4186125,42.754323,252.56404,46.6756995,1.9462155,0.337502,0.76351,0.3922885,102.116,50.8,14.42,8.272448,20.948736,0.7941,8.221333,8.06,7.688333,8.308333,8.808667,11.5525,453.728585,1190.208333,92.978723,636.231884,81.230769,326.485929,410.468499,-0.135388
2,12.75,410.739532,8.828452,2012.211555,1.788223,37.424421,262.374923,47.712249,1.9445695,0.3281875,0.772513,0.3909345,102.07,48.27,15.035,8.755215,21.47298,0.803696,8.24475,8.095,7.6996665,8.3258335,8.8138335,11.5405,446.1351445,1188.4375,95,631.521739,82.846154,326.5319205,413.9841315,-0.136529
2,13.25,409.839692,8.5997165,2005.851024,2.365359,36.2483735,268.971548,49.1020305,1.950979,0.321905,0.766486,0.384507,102.034,45.66,15.56,9.284166,21.811417,0.778911,8.279667,8.12,7.737,8.351667,8.826667,11.5405,427.872477,1157.291667,94.893617,612.318841,82.076923,328.685533,416.119173,-0.125665
2,13.75,409.594402,8.682392,2003.8603025,2.002983,37.091962,242.406031,44.593508,1.982574,0.331737,0.7751425,0.384494,102,45.35,15.81,9.8532745,22.22325,0.711861,8.283,8.1673335,7.801667,8.37975,8.8305,11.5405,396.480232,1086.875,91.702128,577.971014,79.615385,330.14508,416.1262795,-0.13351
2,14.25,408.768121,8.668493,2004.608775,1.964614,34.268707,221.8940395,46.8102325,1.989863,0.3300325,0.7602045,0.3962825,101.984,44.025,15.845,9.913078,22.4927845,0.664282,8.2885,8.197,7.8146665,8.3768335,8.8193335,11.5405,348.16161,988.020833,86.808511,525.2898555,74.560654,329.602315,414.9074725,-0.140371
2,14.75,408.4633095,8.709131,1997.892969,1.8327475,36.872199,173.798716,30.220902,1.95972,0.328692,0.735582,0.380086,101.966,45.315,16.075,10.1287275,22.599221,0.583791,8.2785,8.2176665,7.837,8.362,8.8135,11.5525,290.88697,859.6875,78.191489,455.3985505,66.4230765,329.346063,412.071337,-0.1293475
2,15.25,407.9149255,8.8743555,1994.124282,1.465237,33.9761115,141.276841,25.751366,1.7548055,0.304727,0.6965585,0.3562135,101.9455,44.5,16.13,10.483054,22.6354795,0.4843325,8.2755835,8.2445,7.8783335,8.3833335,8.8221665,11.5405,231.75335,719.6875,68.93617,384.4688405,58.153846,326.7723355,407.5374135,-0.112782
