DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,LW_IN,LW_OUT,VPD,CO2
11,18.25,1.1315892295,3.4471,0.384892857,0,-6.08138,0.68606425,89.9639,0.1470396135,100.33775,0.9333755,1.4609075,0.0411801,1.3854525,1.7718575,-4.11441,-3.881345,-4.668995,-3.9520725,-4.36528871075,-4.93277,271.8,292.215,1.0017,437.783275
11,18.75,0.94835386075,3.4301,0.308202403,0,-6.2044825,0.66748775,89.583575,0.141417,100.342,0.922165,0.782335,0.03952405,1.3830425,1.6560875,-4.0765025,-3.868065,-4.67474,-3.95251,-4.58628560675,-5.171381547,280,292.0675,0.9828875,437.6022
11,19.25,1.09,3.56359,0.134174216,0,-6.08851,0.6574555,89.65265,0.146987115,100.348,1.0335925,0.74158425,0.03618065,1.390405,1.7364,-4.0710425,-3.8662525,-4.678075,-3.9604975,-4.173024093,-4.928472084,273.895,291.6975,1.0961,438.215775
11,19.75,1.053336628,3.0922975,0.1305775905,0,-6.05343,0.65684975,89.42295,0.16162375,100.354,1.0181625,0.93798975,0.032404675,1.3987175,1.963475,-4.0481625,-3.844615,-4.6884225,-3.962915,-4.25323735825,-4.9668510035,283.61,290.055,1.2394,437.197675
11,20.25,1.05752350075,3.5788,0.697595,0,-6.141515,0.65648925,89.1642,0.1485795,100.37075,0.98111525,0.9203375,0.03338845,1.4010775,1.85108,-4.085745,-3.84364,-4.6879575,-3.9668425,-4.023336431,-4.76409100225,282.44,291.285,1.042175,435.235425
11,20.75,1.13386527575,3.42268525,0.372431,0,-6.1766,0.6729055,88.85395,0.15222,100.38,1.002123,0.69881325,0.03217185,1.399105,1.746325,-4.008925,-3.8273075,-4.64569,-3.9681725,-4.17362059975,-4.861880725,285.02,290.185,1.16885,435.66
11,21.25,0.999190975,3.663555,1.2475325,0,-6.146365,0.676325,89.3375,0.145276925,100.386,0.915375,0.51555,0.0314401,1.3925025,1.93266,-4.02371,-3.827135,-4.6427275,-3.96366,-3.9515845015,-4.70687319925,284.065,290.4975,1.152775,434.4237
11,21.75,0.934708,3.0792575,1.023186176,0,-6.6254925,0.679656,89.1005,0.155631109,100.3795,1.0755175,0.265853,0.032667,1.39818,1.858275,-3.9278675,-3.7635775,-4.690635,-3.9582425,-3.9384752335,-4.6951692625,282.62,291.5225,1.11785,440.2889
11,22.25,0.97138141,3.1213125,0.78302724275,0,-6.29602,0.672775,89.874,0.153519,100.391,1.0225175,0.29751,0.03768165,1.3953225,1.636835,-4.0029125,-3.7918725,-4.664925,-3.98063,-3.2758138405,-4.36047130425,276.895,291.0125,0.97477,441.16675
11,22.75,0.948205061,2.5760625,0.57722,0,-6.8234575,0.67754625,88.9945,0.13946694,100.3865,1.01473,0.497921,0.033796775,1.3889275,1.7169025,-3.89184,-3.697075,-4.679765,-3.9780275,-4.04691430325,-4.56382525825,278.15,290.0375,0.960675,443.5521
11,23.25,0.93547175,2.45434751975,0.777562925,0,-6.8586325,0.67318725,89.6257,0.1489225,100.38625,1.0149825,0.398512,0.03405195,1.3913025,1.7348475,-4.0247675,-3.8178625,-4.67628,-3.9775525,-4.04697948775,-4.70951699925,280.94,290.8525,0.861515,444.8597
11,23.75,0.9927935,3.6366,0.59089,0,-6.9299225,0.682746,89.72365,0.1445855,100.376,1.076725,0.6689005,0.02959555,1.40295,1.7390425,-3.3859125,-3.57875,-4.5716825,-3.93934,-3.98107699875,-4.7336125,275.71,291.305,0.748045,442.100175
12,0.25,0.8781384,1.6649475,1.37276,0,-9.98158,-0.0115361,85.3209,0.12937175,99.867175,0.747983,0.951483,0.0322115,0.062269,1.74622,-2.76085,-3.37906,-3.96613,-3.71233,-2.79853988,-4.282752814,259.01,261.86,0.317,459.0164
12,0.75,1.049498149,2.56937,0.6500635,0,-9.93639,-0.0264818,85.399,0.1553675,99.9171,0.799328,0.674814,0.034611,0.0299821,1.69054,-3.15866,-3.53907,-4.34211,-3.66301,-3.378693798,-4.54119,257.4975,263.6375,0.328635,462.9502
12,1.25,0.9846245,2.5800225,1.0770622255,0,-9.72497,-0.0341417,85.313275,0.14703575,99.93535,0.788829,0.784167,0.0340533,0.0323421,1.8372275,-3.28595,-3.87108,-4.48415,-3.59453,-3.39677,-4.955800066,258.36,263.4625,0.371695,460.4647
