DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,TA,T_CANOPY,RH,PA,T_SONIC,T_SONIC_SIGMA,CO2,H2O,FC,NEE,H,LE,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,SW_DIF,PPFD_IN,PPFD_OUT,NETRAD,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_4,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_A,TS_1_2_1,TS_1_2_2,TS_1_2_A
2,5.75,2.8906,0.55255,0.4235,0.2304,1.8195,1.423,79.805,97.57035,2.8026,0.4509,409.0388,8.4724,0.3893,0.3893,-20.3262,4.69735,0.20975,5.762,0.779,258.9,312.2,1.55,0,0,-59.11,-17.735,-28.945,-19.005,-27.845,-23.80375,5.809,4.76,5.21925,7.1625,6.949,7.064
2,6.25,2.8292,0.56925,0.4733,0.21785,1.492,0.989,80.7,97.5699,2.4868,0.4259,408.9141,8.5198,0.4816,0.4816,-25.57285,3.6342,0.2307,5.762,0.782,255.8,311.4,1.198,0,0,-61.456,-17.365,-28.06,-19.385,-27.38,-23.40125,5.705,4.635,5.1025,7.1545,6.8945,7.01
2,6.75,3.0903,0.54295,0.4504,0.23875,1.188,0.651,81.65,97.604,2.1137,0.42105,409.4118,8.466,0.5441,0.5441,-26.4039,3.383,0.20605,5.762,0.792,254,311,1.467,0,0,-59.646,-17.13,-26.56,-20.535,-27.12,-23.275,5.563,4.5605,4.98275,7.1155,6.842,6.967
2,7.25,2.97895,0.58535,0.4256,0.24035,1.2275,0.6575,80.04,97.63775,1.7343,0.4219,411.3984,8.3908,0.4611,0.4611,-23.144,8.42275,0.2263,5.762,1.576,257.7,311.4,3.349,4.845,0,-54.433,-17.405,-26.23,-21.22,-27.825,-23.265,5.416,4.5095,4.8625,7.0745,6.7875,6.9245
2,7.75,2.957,0.6029,0.4712,0.2684,1.7775,1.613,80.45,97.6788,1.5892,0.367,410.6055,8.4954,0.1237,0.1237,-16.1127,12.7897,0.2375,32.09,11.53,258.2,313.5,21,62.81,10.42,-23.95,-17.11,-26.265,-19.93,-28.33,-22.37375,5.2695,4.473,4.76575,7.0295,6.7305,6.87725
2,8.25,3.7542,0.7074,0.5456,0.2958,2.9485,3.231,76.25,97.7009,2.32345,0.3593,409.4087,8.5973,0.08315,0.08315,3.4151,23.8561,0.26575,118.8,30.84,259.5,322.6,43.57,238.1,36.79,22.092,-13.6,-21.655,-14.9,-22.97,-17.2775,5.156,4.4415,4.73175,6.986,6.677,6.83475
2,8.75,3.901,0.85095,0.61665,0.35655,4.305,5.354,70.875,97.74795,4.0556,0.321,407.3737,8.9161,0.0642,0.0642,28.057,39.3745,0.3128,201.6,50.01,261.6,334.6,55.15,490.6,55.17,82.56,-6.377,-13.43,-9.23,-13.935,-11.12665,5.06,4.434,4.7235,6.957,6.6215,6.78875
2,9.25,4.7304,0.9103,0.78985,0.40975,5.899,6.935,64.455,97.74975,5.13915,0.2841,406.6871,9.2083,-0.19955,-0.19955,62.75535,54.88635,0.38035,299.8,66.09,267.1,344.8,72.4,671.1,74.69,157.81,0.2915,-2.5295,-2.4425,-1.4815,-0.727,4.9625,4.4175,4.696,6.9365,6.5675,6.74325
2,9.75,5.06735,0.99125,0.88315,0.4181,6.5975,8.385,58.355,97.7622,6.0736,0.2295,405.54945,9.1325,-0.32805,-0.32805,96.0021,63.5628,0.3851,380.4,79.76,267.5,356.3,80.1,848,92.7,209.7,9.09,15.445,5.713,9.635,10.51415,4.9945,4.582,4.745,6.905,6.5105,6.6975
2,10.25,5.73425,1.03235,1.0093,0.43505,7.868,10.445,53.47,97.781,7.4958,0.2137,404.0629,9.233,-0.1573,-0.1573,130.8605,69.118,0.4228,477.3,94.7,272.2,368.2,86.2,1020,110.2,269.3999,17.65,28.475,14.93,22.235,23.21,5.084,4.837,4.9315,6.8665,6.4595,6.65425
