DOY2,HR2,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,TA_1_1_1,RH_1_1_1,CO2_1_1_1,H2O_1_1_1,WS_1_1_1,USTAR_1_1_1,TS_1_1_1,G_1_1_1,G_1_1_2,G_1_1_3,PA_1_1_1,FC_1_1_1,SC_1_1_1,LE_1_1_1,SLE_1_1_1,H_1_1_1,SH_1_1_1,NEE
2,3.75,0,0,0,1,272,306.1440581,-42.68509281,-0.78106,75.80354,405.7647745,4.260512,2.9,0.2839755,2.415754,-6.901324,-6.951088,-5.763738,98.73885,0.244712,0.076369,0.278561,-0.00622,-9.9979405,0.0063865,0.4538555
2,4.25,0,0,0,1,271,306,-39.12908428,-0.8106085,76.535,406.13894,4.1645635,2.942301,0.278117,2.3806,-7,-6.9482065,-5.982142,98.756735,0.282717,0.055252,0.2212325,0.018819,-8.7420245,0.015891,0.501075
2,4.75,0,0,0,1,270.6940489,305,-40.42306684,-0.913941,77.13451,406.0834215,4.194565,2.88,0.2692835,2.35429,-7,-6.965158,-6,98.7763,0.3079465,0.067677,0.3708855,-0.050131,-9.008182,0.0299155,0.5542
2,5.25,0,0,0,1,271,305,-37.21150052,-1.043,77.511385,406.0826245,4.202234,2.860561,0.279206,2.3302,-7,-6.987995,-6,98.789275,0.282714,0.0462825,0.187457,-0.091401,-8.694387,0.0295235,0.472151
2,5.75,0,0,0,1,271.956404,304,-34.76070782,-1.189469,78.18159,406.038873,4.1738295,2.84,0.271465,2.278625,-7,-7,-6,98.78771,0.272665,0.052148,0,0.112411,-7.876306,0.018804,0.514028
2,6.25,0,0,0,1,272,304.0750468,-35.36575818,-1.354,79.3,405.96714,4.174195,2.8914215,0.267009,2.2636,-7,-7,-6,98.799535,0.289003,0.107945,0.146345,0.1563035,-8.994555,0.0315455,0.5322815
2,6.75,1.01106358,0.031078,0,1,271.8318615,304,-33.882863,-1.442,79.41,406.17249,4.155433,2.824053,0.259039,2.2330815,-7,-7,-6.020676,98.80082,0.2920945,0.0859195,0.1243185,0.4779855,-8.999753,0.054688,0.5565725
2,7.25,21.0197,2,11.116171,3,272,304,-17.09059357,-1.472839,79.44,407.238273,4.1203485,2.81628,0.299028,2.2088015,-7.033579,-7.018831,-6.07965,98.815585,0.295387,0.073407,0.2656765,0.905353,-7.652772,0.074652,0.501165
2,7.75,95.9081893,8,51,7.824887,269,305,12,-1.34,78.62493,406.408319,4.114837,2.7880525,0.333857,2.167403,-7.023799,-7.235345,-6.085184,98.848665,0.340832,-0.0297825,1.224346,1.159966,-3.407742,0.080235,0.468102
2,8.25,206.6057,16.61190848,114.6374226,15,272.7116493,307,54,-1.18,77.3,407.29502,4.1540115,2.745413,0.380395,2.1544505,-7,-7.121408,-6,98.8765175,0.427126,-0.058083,5.259923,1.418312,8.9822695,0.077526,0.3977875
