DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_OUT,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,CO2,LW_IN,LW_OUT,VPD
2,5.25,0.247281,0.0661,-2.25017,0,-18.6305,-0.32311,75.8822,0.065,99.6978,0.341711,-1.725205,0.00078085,-0.401605,0.41265,-6.184125,-5.643315,-5.4322,-4.21264,-2.614455,-5.14685,418.414,213.41,225.895,0.20316
2,5.75,0.330555,0.12269,-2.698015,0,-18.5436,-0.319612,76.346,0.0696,99.72575,0.3488,-1.80939,0.00134275,-0.401528,0.412364,-6.213845,-5.64753,-5.42683,-4.20998,-2.6226125,-5.05348,418.05,217.34,225.88,0.184345
2,6.25,0.303893,0.214609,-2.78105,0,-18.224,-0.324146,76.2927,0.07455,99.7082,0.359978,-1.92663,0.00144941,-0.405915,0.4164335,-6.232175,-5.64824,-5.44517,-4.20018,-2.6257575,-5.071555,418.0425,218.565,225.23,0.19449
2,6.75,0.293885,0.1615697585,-1.5801020765,0,-18.393,-0.32512,76.1991,0.06515,99.71645,0.30305,-2.019885,0.00114073,-0.390979,0.407105,-6.20119,-5.68872,-5.44732,-4.18756,-2.629625,-5.12865,417.65,217.325,225.675,0.19655
2,7.25,0.3443396185,0.0133,-2.61818,0,-18.342,-0.31755,76.0574,0.07,99.6926,0.345428,-1.944415,0.00786392,-0.379688,0.4312565,-6.15847,-5.786215,-5.44271,-4.1825,-2.6332625,-5.18525,417.3,216.325,224.76,0.18831
2,7.75,0.297437,0.20852,-2.0351,0,-18.5112,-0.3229,75.7768,0.0731,99.66615,0.4849,-2.00482,0.043066,-0.39032,0.42488,-6.211275,-5.86814,-5.47231,-4.1795,-2.64273,-5.141424035,417,215.815,223.365,0.20061
2,8.25,0.3612745,0.00542,-2.596037131,0.138757,-18.8013,-0.3203405,75.30835,0.07456,99.681,0.8616565,-1.83304,0.91984,-0.386444,0.4266035,-6.233765,-5.86806,-5.511265,-4.187335,-2.6521325,-5.1435675,417.547,215.175,223.04,0.191505
2,8.75,0.320654,0.1157949445,-2.63578,2.366655,-18.1882,-0.3051045,75.62315,0.0665,99.6743,2.877375,-1.067675,7.72128,-0.374576,0.426145,-6.25108,-5.86223,-5.52068,-4.18271,-2.658755,-5.1774725,417.27,213.655,224.28,0.194315
2,9.25,0.343704694,0.112735,-2.537628839,8.74708,-17.17155,-0.29382,74.8438,0.0791,99.7104,7.817195,0.327199,24.7647,-0.364365,0.4360795,-6.276075,-5.86665,-5.553365,-4.182195,-2.6670825,-5.156415,417.5525,215.185,224.905,0.21238
2,9.75,0.27796,0.47644,-1.977365638,20.74545,-16.499,-0.24735,73.0227,0.09225,99.7439,15.7186,3.278415,50.67,-0.292008,0.554155,-6.28153,-5.8676,-5.53707,-4.1669,-2.67445,-5.10325,416.25445,220.37,228.135,0.23493
