DOY2,HR2,H,LE,WS,USTAR,VPD,SW_IN,NEE,FC,CO2,SW_OUT,LW_IN,LW_OUT,NETRAD,TA,RH,H2O,CH4,FCH4,SC,SLE,SH,SCH4,PA
2,1.75,-7.310515,-0.91,0.3483759,0.09145554,0.2066024,0,0.1782851745,0.1819006,432.3292,-0.06516666,227.2306,244.87255,-11.758415,-15.765995,84.125005,0.9890497,2072.407,2.553175,0.01088947,-0.024534665,-0.1424378,0.05101037,96.02156
2,2.25,-5.490208,-0.9569889,0.30419255,0.08702952,0.197589,0,-0.04903272,-0.020142816,431.2553,-0.082499995,228.6514,247.4037,-11.012605,-15.73417,84.86459,0.9766173,2082.404,1.13832935,-0.001493645,-0.0344822,-0.2754674,-0.0166624385,96.027875
2,2.75,-4.6977515,-0.7139195,0.260349584,0.092319775,0.19181125,0,0.066598185,0.07098402,431.2062,-0.08441666,229.3531,246.3077,-10.9545,-15.803,84.60001,0.9760764,2086.2515,0.2697096,0.010272385,-0.030433,-0.2023814,0.05064817,96.05329
2,3.25,-5.997352,-0.4470456,0.253778245,0.09381355,0.19011565,0,0.084912745,0.11682119,431.7791,-0.07425,223.6888,247.7364,-11.25633,-15.80333,83.96335,0.9836301,2084.286,2.330784,0.010160105,-0.046159995,-0.3202551,-0.06427938,96.02462
2,3.75,-6.9470325,-1.364303,0.2756219,0.0961726655,0.1962896,0,0.1494758,0.2113963,434.2591,-0.04316666,226.299,247.4415,-11.263,-15.94667,84.12666,0.9411199,2078.4915,1.958198,-9.23032e-05,-0.02255853,-0.2675933,0.02116262,96.00795
2,4.25,-6.56,-0.798497,0.3705359,0.0863344,0.2030891,0,0.2297221525,0.23,434.7114,-0.05825,238.6822,246.8287,-7.71675,-16.18667,85.15334,0.9735494,2073.4655,1.45150025,0.009393468,0.000300836,-0.11353419,0.009905661,96.02728
2,4.75,-4.7748,-0.3072184,0.40489146,0.0863,0.19923085,0,0.185593592,0.19820015,434.8827,-0.04,240.16,247.937,-9.962222,-15.74133,85.32666,0.9961997,2078.161,2.365084,0.0038737055,0.000230689,-0.066458515,0.01125571,96.06784
2,5.25,-5.006153,-0.364905,0.376616953,0.09657498,0.1962328,0,0.07390249,0.1041495,434.6761,-0.051,239.7285,248.6286,-8.60225,-15.75533,85.25667,1.010106,2075.112,0.59065565,-0.001308998,-0.0189983,-0.1425094,0.0080738115,96.03942
2,5.75,-4.20643,-0.4967543,0.3844051,0.08982102,0.1931475,0,0.0607,0.02508652,434.1327,-0.04941666,243.49015,249.70915,-9.218667,-15.68967,84.558335,1.0061025,2073.8025,0.2162985,0.001252549,-0.02131538,-0.073971175,-0.03525464,96.0255
2,6.25,-2.989829,-0.4750544,0.391866,0.093450105,0.19285,0,0.2098932,0.2670827,432.6258,-0.028374995,239.5858,249.40925,-9.287,-15.639495,84.798335,1.006626,2076.536,2.531984,0.009425061,-0.010276794,-0.10768201,-0.05423729,96.087785
