DOY2,HR2,TA,USTAR,WS,FC,H,LE,CO2,H2O,PA,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,RH,TS
3,2.25,-1.8848332835,0.113,0.950999975,-0.05375,-25.3035005,-0.308,414.1494897,4.405541776,95.684066775,-77.705002165,-3.8480000335,0.555166673,236.2166667,302.10000335,59.011666,3.3
3,2.75,-2.146583267,0.11575,1.04,-0.149,-22.419001,-0.261,413.96445925,4.5308072845,95.6566753375,-75.125,-3.793833317,0.51266666,232.29999835,301.26667335,60.155,3.29308333325
3,3.25,-2.36741665,0.096,0.784750015,-0.154,-20.26499925,-0.491,414.628502525,4.87491038325,95.6495075225,-75.189999835,-3.9484999835,0.505166665,232.39999665,300.483335,61.328332835,3.21558333325
3,3.75,-2.4224999835,0.102,0.83725,-0.1735,-19.351249,-0.671,414.2461301,4.575580709,95.64842415,-75.0533345,-3.62033335,0.500499995,233.34999835,299.69999665,62.67999967,3.19958333325
3,4.25,-2.44366665,0.101,0.942,-0.161,-19.2325,-0.337,414.8758719,4.783528854,95.62294769,-74.223334,-3.7936666835,0.50199997,233.93333665,298.85000165,62.721667335,3.17025
3,4.75,-2.792083317,0.1,0.7207499775,-0.2342499925,-18.5805,-0.18225,415.125942125,4.67448533925,95.6278553,-72.35499833,-3.5568334,0.50099999,235.51666665,298.1,63.1549995,3.1165
3,5.25,-2.7820000335,0.091,0.66900003,-0.178,-17.629,-0.057,414.541182725,4.64337129325,95.61716461,-73.5349995,-3.6165000165,0.5053333235,232.6,297.53333665,63.42000067,3.1
3,5.75,-2.9175,0.09,0.659500005,-0.1725,-18.912,-0.37599999,414.83748145,4.618942123,95.6422939275,-67.369999,-2.2723333135,0.5326666635,236.05000165,297.16666665,63.85166683,3.1
3,6.25,-3.1676666335,0.089,0.79500002,-0.073,-19.74899925,-0.1870000025,414.8657114,4.591229242,95.675281525,-51.848333335,0.2611666685,1.180333345,235.4000033,297.333335,64.05333317,3.09
3,6.75,-2.93833329975,0.096,0.790000005,-0.097,-16.7860005,-0.226,416.1224108,4.713659897,95.65280533,-18.304833185,10.0154999815,2.2051666,234.74999665,298.94999835,63.8641662525,3.00500000025
3,7.25,-2.6579999915,0.091,0.70050001,-0.131500005,-8.744,-0.1205,415.370409475,4.50789741525,95.643360135,8.7858334665,25.018333835,2.9269999835,231.7999983,302.41665665,60.2008343325,2.99583333325
3,7.75,-2.1159582835,0.1,0.64,-0.053,-2.461,0.14425,415.0839837,4.66181797,95.6158790625,25.38666692,48.384999415,6.66799998325,237.075,307.41667,57.7875002525,2.92708333325
3,8.25,-1.49170834175,0.122,0.596000015,-0.265,0.4867500075,3.662,414.8283053,4.69484763525,95.61754608,46.02583442,76.92,9.653666617,240.858341675,310.2166708,54.13499942,2.9
3,8.75,-0.8439583345,0.168,0.70025,-0.7307500075,12.392,6.477,415.671421,5.0604950675,95.606204985,85.1066651675,123.208334325,13.9475000025,240.64166665,314.908342475,47.6791660825,2.9
3,9.25,-0.18158334175,0.209,0.889,-0.58899999,20.773,12.594,415.213663075,4.9664293105,95.56772995,102.566666075,143.183340825,17.9291665825,246.69166,319.650002525,43.5133337525,2.9
3,9.75,0.210874998,0.2755,1.0205,-0.77425,28.395,15.3525,413.8962275,4.903834887,95.5474948875,141.0999967,185.16667,21.794999835,251.06667165,324.83332835,40.5450005825,2.9
3,10.25,0.62125000475,0.3177499925,1.219,-1.452,46.0499995,13.80925,413.9725672,4.736287262,95.56685829,141.533335,202.76666665,25.0949995,257.28334,327.283335,38.5166661675,2.9
3,10.75,1.29712498875,0.342999995,1.369,-1.31,43.59525075,17.6495005,414.48409815,4.77873923025,95.55341339,161.96667,215.08332665,29.376666165,260.59999,331.9500033,36.61999975,2.915
3,11.25,1.6849166665,0.34625,1.381749925,-0.930999995,44.702999,14.5075,414.279477825,4.900768844,95.54296112,161.6083317,219.6166667,29.9183330025,262.733336675,335.291675825,33.74916575,2.94725
3,11.75,2.10225000525,0.356999995,1.569,-0.877,54.543,16.7575,414.49468545,5.0344391945,95.529766085,180.3249933,231.741666675,30.763333335,263.750000025,337.675000825,31.8850004975,2.94450000025
