DOY2,HR2,CO2,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,PA,RH,TA,VPD,TS_1,TS_2,TS_3,TS_4,TS_5,NETRAD,PPFD_IN,PPFD_OUT
2,15.75,405.882176,9.283474,1970.2395505,0.647439,25.8733735,31.226557,48.1620875,2.475102,0.2916775,-0.1106585,0.740156,0.35926,19.9076705,0.253505,101.695,49.1,15.865,9.273357,11.8266665,11.615,11.55,11.72,11.86,140.84007,606.977084,42.481203
2,16.25,406.102098,9.487268,1972.4575535,0.5638215,21.8888605,14.633762,40.128381,2.340753,0.280126,-0.097938,0.6431175,0.325215,19.7511115,0.196267,101.695,50.37,15.59,8.924633,11.856667,11.635,11.66,11.76,11.865,58.873239,396.679317,32.988722
2,16.75,407.511009,9.735544,1978.9588005,0.673629,23.418798,1.428532,31.399717,2.0746445,0.2344875,-0.073226,0.5536095,0.2901215,19.332657,0.203918,101.68,52.67,15.345,8.4231005,11.865,11.615,11.69,11.76,11.86,1.429227,224.50805,20.488722
2,17.25,408.3472575,9.744777,1993.863023,0.5385245,16.7305615,-4.685188,15.3480205,1.903177,0.182664,-0.049993,0.491827,0.257866,18.939261,0.2427175,101.685,57.735,14.435,7.0914335,11.8783335,11.635,11.703333,11.75,11.865,-42.957746,76.207513,8.646617
2,17.75,410.220401,9.904015,2030.712488,0.721993,15.946886,-8.777036,7.9379315,1.607217,0.144687,-0.0346355,0.452775,0.205997,18.449971,0.3130165,101.69,62.73,13.455,5.814072,11.86,11.65,11.7,11.775,11.875,-70.443542,9.677419,0.93985
2,18.25,412.07823,10.0744175,2063.883749,0.787664,15.911906,-9.380134,7.145687,1.497356,0.149648,-0.031766,0.432197,0.190065,17.5706185,0.305542,101.7,68.295,12.41,4.4692425,11.77,11.65,11.735,11.8375,11.885,-74.225352,0.189753,0
2,18.75,415.478861,10.012209,2078.1258,0.932141,21.173327,-10.230782,7.02627,1.496686,0.147924,-0.031143,0.4636305,0.1901445,17.096567,0.3016,101.7,71.74,11.78,3.7888885,11.75,11.63,11.75,11.85,11.905,-73.802817,0,0
2,19.25,418.775146,10.1462165,2099.642175,0.868089,18.346906,-9.426111,7.183635,1.506138,0.1543235,-0.0372935,0.507142,0.204913,16.640233,0.298889,101.705,74.705,11.26,3.3322435,11.74,11.64,11.715,11.83,11.88,-72.5244305,0,0
2,19.75,420.820904,10.125237,2103.165024,0.835076,18.476872,-8.872805,7.2134845,1.5491685,0.163401,-0.037742,0.488736,0.206907,16.215456,0.288116,101.72,76.605,10.835,2.940357,11.68,11.62,11.69,11.825,11.85,-71.950551,0,0
2,20.25,421.095946,10.080083,2094.5484265,0.964675,20.922183,-10.9375775,6.427432,1.721083,0.165579,-0.054307,0.470795,0.249424,15.921999,0.265897,101.725,78.1,10.635,2.8016885,11.65,11.63,11.705,11.835,11.85,-70.915493,0,0
