DOY2,HR2,CO2_1_1_1,FC_1_1_1,G_1_1_A,H_1_1_1,LE_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,T_SONIC_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TAU_1_1_1,USTAR_1_1_1,W_SIGMA_1_1_1,WS_1_1_1,T_CANOPY_1_1_1
10,18.75,435.725,12.099875,1.74825,27.83575,25.0725,81.425,95.2215,14.729,10.6225,15.935,0.01,0,-0.0590000000000003,336.7725,368.56725,-21.60275,13.717,13.538,13.25775,11.43925,10.124,10.364,0.0743725875,0.79164775,0.9571084675,3.14169,11.173
10,19.25,441.025,12.8614025,0.733999999999992,-0.475,26.7925,81.413,96.2545,13.46375,10.606,14.5565,0.01,0,-0.0195000000000002,333.853,365.28875,-17.3140000000001,13.464,13.504,12.9795,11.34875,10.1305,10.3635,0.0393582899999999,0.90074395,1.06552669225,3.86584925,10.454
10,19.75,444.44,9.61831275,-0.508000000000006,2.32049999999996,29.815,81.42,96.3595,13.13,10.112,13.73,0.01925,0,-0.0190000000000003,332.39175,363.48525,-17.207,12.92025,13.104,12.37375,11.23475,10.12625,10.354,0.031844975,0.71195,0.915459616,3.086562,10.16125
10,20.25,445.925,12.97934,-1.13825,3.19299999999996,21.13075,81.4125,97.034,13.31575,9.38,13.961,0.02,0,-0.0367500000000003,325.11125,362.05025,-20.80925,13.21825,13.194,12.757,11.13025,10.127,10.354,0.0326951,0.7769136,1.155142142,3.4461545,10.0415
10,20.75,445.94,10.428575,-2.2045,3.99349999999999,29.8939999999999,81.398,96.30125,12.409,9.224,13.552,0.01,0,-0.0715000000000001,330.5155,361.94,-13.318,12.5845,12.6425,12.262,11.003,10.127,10.3395,0.0619727299999999,0.8843118,1.124589118,3.537292,9.7535
10,21.25,445.885,11.0447875,-3.47,1.93,31.1729999999999,81.39,96.52125,12.696,9.365,13.859,0.02,0,-0.102,314.968,359.344,-15.256,11.934,12.0145,11.8375,10.862,10.128,10.334,0.0256101,0.861331799999999,1.14016972,3.782459,9.196
10,21.75,446.865,10.604545,-4.185,2.6,26.1257499999997,81.394,96.16,12.02775,8.87,12.51,0.03,0,-0.129,312.9575,356.2025,-14.3317500000001,12.1405,12.129,11.9335,10.72475,10.13,10.332,0.012030315,0.8977728,1.114428462,3.960148,8.72075
10,22.25,446.4125,8.7599075,-5.421,18.444,19.184,81.40125,95.9825,10.986,8.43200000000001,12.00425,0.04,0,-0.143,312.2525,353.0885,-22.2375,11.9385,12.08125,11.888,10.609,10.137,10.338,0.02969201,0.77342805,0.975315298500001,3.262944,8.02
10,22.75,446.68,9.884855,-4.16500000000001,-1.02974999999999,18.87,81.394,96.092,11.32775,8.788,12.323,0.0377499999999999,0,-0.1345,320.083,352.31425,-10.7832500000001,11.4555,11.5225,11.43575,10.44225,10.1455,10.32425,0.01290518875,0.7587364,0.925968122999999,3.152991,8.447
10,23.25,446.6375,9.79429974999998,-4.60800000000001,11.474,17.78,81.373,96.9425,11.262,8.5105,12.18325,0.03,0,-0.16275,329.417,351.76575,-6.95350000000001,10.8445,10.9,10.77375,10.29275,10.1545,10.32075,0.0323489599999999,0.797268575,0.97008558625,3.14960025,8.24725
