DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,H2O,NETRAD_1_1_1,NETRAD_1_2_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,PPFD_BC_IN,TA_1_1_1,TA_1_2_1,TA_1_3_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
1,23.75,0.51,0.49,0.4,-23.364,0.475,0.024,406.625,389.24,389.675,3.9635,-21.7,-2.254,-0.653,0,269.5,292.9,0,0,0,-3.991,-4.155,-4.183,85.9,87.9,89.5,2.2845,99.203,0.445,-0.089,0.091,0.793,2.285,4.032,-0.0645,0.133,0.428,0.969,2.202,4.2755,-2.403,-2.367,0.5781,0.86425
2,0.25,0.3945,0.3095,0.3105,-21.159,0.455,0.03,402.19,389.935,389.07,3.484,-32.14,-2.941,-0.8195,0,259.55,293.05,0,0,0,-4.015,-4.371,-4.4155,82.3,85.85,87.9,2.083,99.243,0.169,-0.2635,-0.2115,0.328,1.4755,2.9945,-0.351,-0.1785,-0.157,0.212,1.2645,3.02,-1.396,-1.729,0.5086,0.8136
2,0.75,0.409,0.3055,0.244,-22.13,0.4415,0.0515,402.08,390.41,389.24,3.445,-29.205,-3.213,-0.8375,0,262.6475,293.1,0,0,0,-3.981,-4.199,-4.4425,82.3,85.95,88,2.1025,99.243,0.1735,-0.264,-0.211,0.329,1.473,2.9965,-0.3495,-0.177,-0.157,0.212,1.2665,3.0285,-1.3895,-1.7455,0.52495,0.8255
2,1.25,0.259,0.104,0.19,-20.9535,0.4345,0.052,403.8435,390.31,389.36,3.382,-27.17,-3.198,-0.838,0,262.3,292.65,0,0,0,-3.97,-4.21,-4.5035,83.1,86.3,88.25,2.079,99.231,0.166,-0.263,-0.214,0.3275,1.473,2.995,-0.346,-0.177,-0.1555,0.205,1.2655,3.029,-1.405,-1.7465,0.50755,0.7949
2,1.75,0.3715,0.3115,0.1555,-19.893,0.426,0.017,402.092,390.405,388.985,3.394,-28.02,-3.2235,-0.846,0,260,293.25,0,0,0,-4.052,-4.323,-4.4505,83.3,86.7,88.3,2.0865,99.232,0.163,-0.264,-0.215,0.329,1.4685,2.996,-0.346,-0.1765,-0.1555,0.212,1.262,3.0255,-1.418,-1.7465,0.51935,0.8118
2,2.25,0.416,0.3025,0.056,-19.974,0.44,0.049,402.067,390.875,389.04,3.418,-26.145,-3.2025,-0.8695,0,264.3,292.6,0,0,0,-4.081,-4.395,-4.64,84.2,86.7,88.2,2.077,99.233,0.1575,-0.264,-0.2145,0.329,1.468,2.994,-0.353,-0.1805,-0.155,0.21,1.263,3.0215,-1.42,-1.754,0.51785,0.8069
2,2.75,0.445,0.312,0.111,-21.6675,0.4585,0.055,402.01,391.28,389.71,3.456,-26.2075,-3.315,-0.701,0,263.9,292.1,0,0,0,-4.17,-4.365,-4.6095,84.5,87,88.2,2.0795,99.226,0.159,-0.264,-0.211,0.3265,1.4695,2.993,-0.355,-0.1825,-0.156,0.2165,1.263,3.0195,-1.468,-1.778,0.5147,0.8168
2,3.25,0.403,0.315,0.151,-22.1765,0.443,0.036,402.312,391.255,388.759,3.42,-25.65,-3.269,-0.737,0,262.95,291.45,0,0,0,-4.263,-4.522,-4.7535,84.7,86.35,88.3,2.095,99.206,0.156,-0.266,-0.212,0.3275,1.4685,2.993,-0.3575,-0.181,-0.1595,0.216,1.256,3.0255,-1.464,-1.791,0.5204,0.828
2,3.75,0.461,0.3435,0.0625,-22.6895,0.438,0.037,402.284,391.255,389.05,3.424,-27.335,-3.3015,-0.75,0,261.65,290.75,0,0,0,-4.413,-4.599,-4.867,84.6,86.6,88.35,2.098,99.199,0.1445,-0.2645,-0.216,0.3265,1.465,2.9955,-0.367,-0.181,-0.1595,0.2085,1.259,3.0255,-1.467,-1.792,0.5129,0.791
2,4.25,0.441,0.32,0.1725,-21.947,0.413,0.012,402.296,390.965,389.535,3.428,-25.855,-3.2495,-0.735,0,263.05,290.45,0,0,0,-4.494,-4.528,-4.9775,84.9,86.7,88.6,2.0885,99.198,0.14,-0.2645,-0.216,0.327,1.4605,2.9925,-0.371,-0.1845,-0.1615,0.213,1.2585,3.024,-1.463,-1.8135,0.5042,0.787
2,4.75,0.4745,0.377,0.11,-22.056,0.417,0.071,402.592,391.005,390.44,3.457,-27.05,-3.152,-0.6095,0,263.15,290.55,0,0,0,-4.62,-4.624,-5.0505,85.2,87.1,88.85,2.04,99.201,0.139,-0.2645,-0.213,0.3275,1.46,2.994,-0.372,-0.19,-0.158,0.213,1.2555,3.018,-1.4615,-1.803,0.4995,0.79525
