DOY2,HR2,CO2,H2O,FC,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,NETRAD,PPFD_DIF,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
2,5.75,519.70423055,13.180408775,5.90799905,-0.427538849999998,9.10072857499998,42.6189699749999,7.34769667499999,0.542959699999999,0.01107395,1.13890065,0.666479625,102.853,100.085,13.504,5.152022875,21.095553875,1.124369875,12.92575005,12.914583475,12.992417,13.276833525,13.449333,-1.161388,0,0,0,-0.225056,1.866667,366.205624,370.678041
2,6.25,507.169359,14.67897,6.16860865,-0.0587305500000037,4.6960805,50.932772,7.59696104999999,0.532524099999999,0.00328064999999999,1.14437375,0.656369549999999,102.863,100.0625,13.5215,4.8225845,21.12376485,0.779155,12.9273334,12.9196668,12.9866668,13.2166666,13.4433332,-0.361552,0,0.2777775,0,-0.075019,2.333333,364.97104,370.999114
2,6.75,498.703386,13.6815474,7.17806275,1.12986054999998,3.803362,48.6312501,7.32895079999999,0.5536999,0.00414679999999999,1.2406648,0.667524649999999,102.89,100.1,13.5545,4.6214149,20.71346855,0.785193,12.9253332,12.9073332,12.976667,13.1779998,13.4380002,-0.134656,16.012324175,20.8888888,1.048218,12.228057,4.666667,365.936497,371.365826
2,7.25,501.5320208,14.1509098,5.753768625,1.33232787499999,7.8419586,43.27618565,7.87668635,0.5689494,0.004668,1.1023387,0.6392711,102.89825,100.0875,13.616,4.6330801,20.67983155,1.02032195,12.9126666,12.9,12.971333,13.1693332,13.4353332,16.069396,69.102112825,113.555555225,7.54717,74.868717,20.6,366.402791,370.978928
2,7.75,525.4687668,13.9854656,5.298778,2.71266735,16.4741979,67.1560416,7.53287214999999,0.568272449999999,0.000848949999999999,1.0935703,0.6255636,102.931,100.1,13.813,5.7259766,20.98667,1.078083075,12.84675005,12.858875,12.95649995,13.153166525,13.42199995,55.233496,149.25176025,288.8277781,16.771488,170.592648,47.6,366.333456,371.599793
2,8.25,536.2813556,14.2080836,10.4324705,5.37762775,35.601715,86.7476993999999,7.974995,0.5451238,0.000900000000000009,1.250503,0.626678,102.951,99.935,14.60675,6.44451955,21.34067,1.13364285,12.8071667,12.82775,12.948333,13.144,13.399667,133.37981145,221.985034975,486.75555535,27.8826,281.6222805,71.431666675,368.285136075,378.600305075
2,8.75,506.7134148,14.9137716,4.2693675,10.156912625,66.5083432,103.912533,8.2368218,0.613037400000001,0.0027684,1.2519402,0.673676,102.95825,98.49,14.9915,7.10729065,21.7870186,0.8201826,12.97383315,12.86691685,12.93800015,13.14150015,13.3951667,201.313413025,325.5545774,652.15555575,35.46121555,377.843211175,92.890000325,369.9878107,379.45556445
2,9.25,480.56614325,15.610202225,5.4061419,19.873127375,105.3752937,125.71483035,8.6369434,0.637788,0.00110580000000001,1.5340642,0.7440764,102.96275,97.655,15.834,7.764984875,22.5507036,0.7209405,13.203,13.0575,12.9751667,13.1371667,13.352167,260.91145435,518.85123285,831.8000002,43.83123725,465.812077675,111.846666675,370.16419245,385.681218375
2,9.75,501.270617775,15.0952951,8.01178025,36.206139625,137.1051463,143.270728025,9.1752456,0.6564256,-0.0028022,1.525186,0.798664,102.97825,96.6825,17.195,8.7559038,22.560574,0.7631516,13.5836667,13.27625,13.10216685,13.221167,13.39600015,324.310082,690.64260525,992.511110675,53.249476,547.636909,127.4,379.343223,394.830146
2,10.25,483.7975912,15.2057129,5.301446,53.1804952,173.946147575,179.79204025,9.120412125,0.690774125,0.001833625,1.470839375,0.819932,102.981,96.6825,17.915,10.02466005,22.942686375,0.849552475,13.888416825,13.514875,13.199166825,13.19908335,13.40083335,370.8570337,814.5862672,1137.2222219,61.5828091,625.61890465,144.6199997,378.72129535,404.08073015
