DOY2,HR2,CO2,H2O,FC,SC,G,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_2_1_1,TS_3_1_1,PPFD_IN,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT
8,1.25,428.7545,25.356,4.471,0.995,1.6425,-16.542,-0.405,1.687,0.277,0.581,0.4265,0.303,100.665,91.9,23.04,2.386,25.549,0.182,24.43,24.275,24.23,0.08,-41.2775,-2.293,1.198,409.7885,442.4995
8,1.75,431.325,25.408,4.125,0.995,1.393,-17.366,-0.548,1.638,0.26,0.57,0.4355,0.278,100.646,91.9,23.04,2.386,25.478,0.178,24.43,24.275,24.23,0.079,-40.6435,-2.19,1.2035,410.4165,441.1385
8,2.25,434.3215,25.278,4.255,1.35,1.218,-16.008,-0.612,1.679,0.263,0.5565,0.42,0.2985,100.635,93.1,22.78,1.8735,25.247,0.169,24.405,24.215,24.185,0.079,-41.0315,-2.209,1.1425,408.233,440.278
8,2.75,435.3075,25.166,4.177,1.35,1.0455,-15.089,-0.915,1.694,0.273,0.573,0.45,0.295,100.627,93.1,22.78,1.8735,25.191,0.169,24.405,24.215,24.185,0.081,-38.706,-2.096,1.1165,409.535,439.2845
8,3.25,438.3695,25.136,3.899,0.694,0.9055,-13.92,-1.064,1.625,0.251,0.531,0.434,0.279,100.634,94.35,22.455,1.482,24.997,0.168,24.335,24.175,24.17,0.076,-39.0475,-2.057,1.125,408.6495,439.111
8,3.75,440.754,25.1685,4.123,0.694,0.762,-14.534,-1.563,1.677,0.243,0.524,0.396,0.253,100.63,94.35,22.455,1.482,24.824,0.156,24.335,24.175,24.17,0.077,-39.1085,-2.003,1.1195,409.1235,437.458
8,4.25,441.017,25.0985,4.398,0.908,0.654,-15.367,-1.217,1.585,0.252,0.527,0.414,0.262,100.632,95.65,22.25,1.152,24.767,0.157,24.285,24.18,24.115,0.08,-38.2605,-2.087,1.0975,406.615,438.336
8,4.75,445.4835,25.018,4.4015,0.908,0.51,-14.952,-1.406,1.561,0.249,0.531,0.389,0.268,100.6405,95.65,22.25,1.152,24.771,0.15,24.285,24.18,24.115,0.076,-37.517,-1.8975,1.147,407.542,436.805
8,5.25,447.9055,24.9815,4.501,0.683,0.39,-14.3165,-1.536,1.532,0.2515,0.511,0.413,0.26,100.645,96.55,22.155,0.8975,24.7355,0.1545,24.23,24.105,24.06,0.0755,-36.541,-1.957,1.113,405.81,436.818
8,5.75,450.8395,24.9825,3.9465,0.683,0.287,-13.3895,-1.333,1.5285,0.2495,0.52,0.401,0.27,100.652,96.55,22.155,0.8975,24.541,0.158,24.23,24.105,24.06,0.087,-38.578,-2.027,1.048,405.799,435.844
