DOY2,HR2,FC,LE,H,CO2,PA,TA,RH,PPFD_IN,SW_IN,NETRAD,TS_1_1_1,TS_1_2_1,USTAR,WS,NEE
4,8.25,-2.449,48.129,104.217,385.4205,89.8695,5.333,59.595,943.122,433.194,263.5,5.651,6.434,0.27,1.145,-2.8895
4,8.75,-2.695,59.283,145.182,384.935,89.865,6.091,57.051,1170.67,538.687,343.4,6.295,6.414,0.3005,1.0875,-3.023
4,9.25,-2.949,71.836,173.32,384.72,89.8535,6.701,56.001,1313.9,612.843,385.02,6.576,6.658,0.365,1.4405,-3.2725
4,9.75,-3.062,71.888,189.6275,384.526,89.8,7.27,54.174,1397.86,674.798,426.29,8.052,6.78,0.3895,1.516,-3.341
4,10.25,-3.2765,81.774,199.257,384.305,89.833,7.53,52.471,1581.27,735.432,475,10.1,7.08,0.408,1.689,-3.381
4,10.75,-3.0605,83.035,223.638,384.2325,89.812,7.98,51.015,1597.4,783.499,502.1,11.1,6.901,0.4095,1.969,-3.352
4,11.25,-2.883,88.671,232.325,383.98,89.7915,8.353,49.638,1763.03,838.108,547.9,12.39,7.13,0.439,1.846,-3.1495
4,11.75,-3.029,88.379,242.187,383.8945,89.7405,8.7,47.28,1730.45,845.443,542.572,13.552,7.387,0.456,1.982,-3.171
4,12.25,-3.1435,95.101,263.646,383.8585,89.718,9.276,46.14,1720.6,850.435,535.871,14.304,7.514,0.514,2.579,-3.554
4,12.75,-2.973,95.75,251.833,383.649,89.717,9.341,44.91,1780.66,859.306,533.105,15.18,7.883,0.5185,2.4825,-3.193
4,13.25,-2.953,85.8355,253.184,383.4275,89.714,9.653,45.5155,1720.6,812.193,516.652,16.001,8.302,0.546,2.742,-3.2815
4,13.75,-3.239,87.7095,248.191,383.547,89.6965,9.885,45.778,1661.065,762.157,489.9,16.356,8.53,0.562,2.974,-3.4005
4,14.25,-3.482,78.274,223.046,383.359,89.677,10.3885,45.447,1520.8,711.505,451.3885,16.8965,8.746,0.579,2.976,-3.518
4,14.75,-3.003,75.5555,193.2995,383.079,89.67,10.374,46.719,1327.2,597.396,382.0775,16.6715,8.9565,0.5785,3.0485,-3.1875
4,15.25,-2.776,68.944,155.4345,382.717,89.6715,10.6245,47.7715,1095.22,494.599,314.3,16.4105,9.299,0.604,3.17,-3.1095
4,15.75,-2.665,61.524,119.6995,382.59,89.686,9.861,52.1665,844.532,401.08,227.3245,15.852,9.4205,0.577,3.18,-3.0185
4,16.25,-2.7155,54.1725,111.125,382.583,89.701,9.659,51.398,843.743,392.366,212.726,15.335,9.619,0.567,3.069,-2.598
4,16.75,-1.919,42.8315,71.812,382.669,89.727,9.469,53.19,573.675,257.096,131.904,14.56,9.57,0.5255,2.9115,-2.0525
4,17.25,-1.298,35.8195,34.8145,382.799,89.753,8.7895,55.598,382.305,205.8135,61.81,12.967,9.61,0.476,2.657,-1.6
4,17.75,-0.708,30.187,7.681,382.735,89.783,8.0975,59.3315,222.2765,104.116,18.76,11.6885,9.72,0.4465,2.6055,-0.5515
4,18.25,-0.0405,18.77,-16.864,382.615,89.828,7.5205,62.6435,81.1955,37.317,-15.544,10.702,9.827,0.4135,2.3215,0.3845
