DOY2,HR2,TA,RH,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,WS,TS_1,TS_2,G_1,G_2
3,15.75,0.57829,69.5845,352.385,171.53,313.04765,374.76675,52.836,802.025,491.93,4.19735,-0.63371,-0.55161,0.20802,0.40408
3,16.25,0.474335,68.7005,288.96,134.875,311.31255,367.8618,30.7147,649.55,369.87,4.069,-0.62564,-0.57771,0.20723,0.41205
3,16.75,0.2047595,68.3055,209.515,90.853,310.0877,359.98995,13.85225,472.195,254.68,3.813,-0.62913,-0.56973,0.19392,0.42513
3,17.25,0.019925,69.895,119.535,58.966,307.50005,362.3888,2.87065,274.46,164.42,3.6459,-0.62683,-0.57924,0.20664,0.0043928
3,17.75,-0.424641,71.5675,61.572,27.915,305.39325,353.485,-18.078,138.99,74.791,2.982,-0.6148,-0.56866,0.12851,-0.13947
3,18.25,-0.5736,74.078,18.6535,9.7248,303.3725,350.39815,-45.89375,47.909,16.152,3.0426,-0.62273,-0.57125,0.11457,-0.36155
3,18.75,-1.4531,77.015,1.38995,1.4505,300.97795,342.7981,-63.2829,6.4124,0.96114,2.7878,-0.62364,-0.58753,0.12805,-0.41706
3,19.25,-2.50625,78.391,0,0.676175,300.03465,342.741,-62.44125,0.113365,-0.011141,2.4336,-0.62054,-0.59869,-0.035797,-0.25663
3,19.75,-2.81885,79.763,0,0.524195,298.79065,339.22735,-55.7558,0.015631,-0.035212,2.525,-0.6281,-0.59542,-0.29727,-0.20832
3,20.25,-2.82415,80.431,0,0.893645,296.2481,331.70575,-52.78715,0.0118265,-0.034902,2.8982,-0.63567,-0.58679,-0.14663,-0.16303
3,20.75,-3.0402,80.212,0,0.60388,294.44815,330.29435,-48.6105,0.0106225,-0.038504,2.982,-0.63193,-0.55307,-0.32353,-0.24141
3,21.25,-3.18595,80.5375,0,0.72352,294.41005,330.19155,-43.21,0.012317,-0.039937,3.0671,-0.62983,-0.56322,-0.39287,-0.49931
3,21.75,-3.22415,82.602,0,0.62567,293.4327,328.2595,-34.36145,0.011311,-0.041031,2.9638,-0.6286,-0.56839,-1.6342,-0.47688
3,22.25,-3.2643,83.3235,0,0.635315,292.45635,327.55985,-29.23665,0.0099787,-0.038087,2.7579,-0.62708,-0.55109,-1.8693,-0.75058
3,22.75,-3.6519,84.052,0,0.62659,292.80885,325.533,-30.9941,0.0079882,-0.03909,2.2768,-0.62671,-0.5517,-1.7298,-1.0298
3,23.25,-3.94795,84.707,0,0.710365,294.0004,323.49605,-29.75445,0.0094815,-0.038879,2.6549,-0.62692,-0.54807,-1.6981,-1.1015
3,23.75,-4.2907,84.8995,0,0.621935,294.3212,322.36315,-27.35725,0.013001,-0.037733,2.2473,-0.62411,-0.54866,-1.3956,-1.1691
4,0.25,2.571,76.35,0,1.47035,314.40985,388.74585,-71.79305,0.0156895,-0.0378405,1.8484,-0.071599,0.340215,-2.3185,-4.8135
4,0.75,2.38085,78.4195,0,1.45025,313.939,381.88415,-69.412,0.0157745,-0.0362575,2.1291,-0.072486,0.264575,-3.06985,-4.3892
4,1.25,2.48425,78.4465,0,1.33335,313.5816,376.302,-67.7738,0.014984,-0.035041,1.9928,-0.0613705,0.21309,-2.58555,-4.09345
4,1.75,2.07295,77.566,0,1.19755,313.19305,373.99295,-61.37515,0.016682,-0.0360105,1.8666,-0.059651,0.15396,-2.99965,-4.1526
4,2.25,1.7864,77.387,0,1.19465,312.05705,373.51185,-60.4497,0.0202735,-0.0394625,1.948,-0.0660335,0.114325,-3.32795,-3.65395
4,2.75,1.40295,76.9485,0,1.3642,311.15815,372.0456,-58.70655,0.0174415,-0.0389065,1.8742,-0.0658305,0.0707655,-2.25705,-3.25635
4,3.25,0.901225,79.381,0,1.4591,310.191,366.89025,-53.2373,0.0174375,-0.0412935,1.8775,-0.061713,0.0553365,-1.7612,-2.9562
4,3.75,0.58463,80.659,0,1.4058,309.65175,364.9087,-47.4757,0.01742,-0.0421385,1.7355,-0.061143,0.03866615,-2.0226,-2.157
4,4.25,0.5165,81.3555,0,1.5288,309.05155,362.02,-44.5426,0.0170295,-0.040288,1.9091,-0.06289,0.0216005,-2.1293,-1.7866
4,4.75,0.480085,83.077,0,1.4699,309.61515,360.98865,-40.09555,0.0224745,-0.035904,1.6617,-0.072858,0.0101185,-2.1885,-2.21635
4,5.25,0.380115,82.687,0,1.693,309.97425,362.2374,-43.69175,0.459665,0.010000855,1.6439,-0.062771,0.0026995,-2.45145,-2.28015
4,5.75,0.5577,83.5045,3.7638,2.76045,309.83495,361.2922,-35.03755,11.985,1.2466,1.6697,-0.072072,-0.0157415,-2.23845,-4.02045
4,6.25,0.847365,81.761,37.4065,11.523,313.24575,364.09035,-14.35575,72.191,7.84835,2.0204,-0.0805675,-0.02796885,0.14723,-2.43075
4,6.75,2.05535,79.6505,89.887,21.53,316.3413,378.6502,12.4729,179.16,21.59,2.6109,-0.082935,-0.0376585,0.439155,0.260965
4,7.25,2.9572,74.858,153.055,29.1225,321.6035,395.88435,52.979,338.415,34.1205,2.6239,-0.087398,-0.0455745,0.79782,0.5685
4,7.75,3.75495,71.968,222.635,34.831,328.48185,407.92125,108.28125,516.84,48.1705,3.2988,-0.105672,-0.049163,2.6352,0.90153
4,8.25,4.60405,69.069,324.995,43.273,334.35285,414.8673,174.5115,745.13,63.842,3.3882,-0.11716,-0.0594205,12.999,4.4599
4,8.75,5.4538,66.2645,392.54,47.513,340.0044,431.2054,231.34985,930.2,75.848,3.5251,-0.12671,-0.080466,14.185,9.3194
4,9.25,6.29625,64.708,460.745,57.7,349.7626,441.6391,299.37865,1068.1,91.5295,3.4401,-0.1276,-0.0881015,26.423,17.622
