DOY2,HR2,FC,LE,H,G_1_1_1,G_1_1_2,G_1_1_3,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,G_2_1_1,G_3_1_1,NEE
2,2.25,0.555,0.265465,-5.308,-4.256,-4.1041,-2,414,4.9955,89.93063,-0.49,0.3,-0.70597,-1.47967,-1.24,85.2,0,0,0,276.55,306.968335,-32.535,-0.0135,0.483,1.555,2.48,3.2145,4.1205,0.16,0.7159825715,0.7,0.20186,1.17,-5.12699,-2.0033,1.0075
2,2.75,0.5673835,0.5271,-7.509,-3.878,-4.5,-2,413.365,4.939832259,89.89243,-0.4,0.294915171,-0.9755,-1.357,-1.164,85.151665,0,0,0,275.085,307.3,-32.8467,-0.03,0.4425,1.5055,2.466,3.1555,4.096,0.15329,0.6702,0.7067,0.2,1.17,-5.1304,-2.0033,0.894
2,3.25,0.589669,0.28899,-7.52,-3.55,-5.1,-2,413.269,4.9663,89.89,-0.51,0.3,-0.960125,-1.32533,-1.06,85.53333,0,0,0,277.035,307.435,-33.98335,-0.0635,0.422,1.5,2.4785,3.1835,4.099,0.185,0.6417,0.703165,0.2,1.21,-5.1325,-2.0036,0.9735
2,3.75,0.60909,0.55,-7.865,-4.14992,-4.7,-2,412.5,4.9,89.87,-0.485775,0.3,-0.894495,-1.466,-1.3,85.9333,0,0,0,274.5,306.93,-37.063,-0.078,0.41,1.45,2.432,3.197,4.086,0.16,0.67208,0.66,0.21,1.28,-5.1325,-2.004,0.7465
2,4.25,0.46,0.412,-6.95975,-4.25633,-5,-2.00175,412.87759325,4.9,89.875,-0.793055,0.287774655,-1.052545,-1.625835,-1.495,85.98333,0,0,0,273.66667,306.666665,-35.57,-0.09,0.39,1.39,2.42,3.238,4.12,0.15,0.6336,0.68,0.1913,1.17436,-5.1325,-2.004,0.693
2,4.75,0.48,0.288,-4.27,-4.2563,-4.85,-2.00175,412.9,4.9,89.88913,-0.952855,0.28,-1.21869,-1.827165,-1.67915,85.9485,0,0,0,276.8,306.09835,-29.825,-0.07,0.38,1.36,2.402,3.25,4.11,0.145745,0.57,0.68,0.19,1.13976,-5.161,-2.004,0.824
2,5.25,0.349,0.221175,-6.5585,-4.256305,-4.1043,-2,414.0075,4.8,89.861,-1.06384,0.29,-1.10254,-1.79,-1.719,85.666665,0,0,0,276.115,304.815,-30.7,-0.13,0.37,1.294,2.3555,3.252,4.105,0.159,0.6124,0.67,0.19,1.15,-5.1325,-2.004,0.705
2,5.75,0.39,0.339,-4.99,-4.25723,-4.1043,-2.002,413.3,4.9,89.8905,-1.11922,0.30845,-1.36551,-1.92,-1.8453,85.7,0,0,0,275.3,304.9333,-27.67,-0.134,0.365,1.265,2.3455,3.2595,4.0925,0.15188,0.6799,0.665,0.187298779,1.136555,-6.1522,-2.0038,0.728
2,6.25,0.43,0.3483030125,-5.2319,-4.25756,-4.60215,-2.00265,414.181,4.7,89.92,-1.17,0.31,-1.4923,-2,-1.8313,86.119,0,0,0,274.4,304,-28.01333,-0.141,0.35,1.23,2.3,3.21,4.083,0.15693,0.651735,0.635835,0.19635,1.16278,-6.15064,-2.0036,0.77
2,6.75,0.30397,0.46,-3.23,-4.258235,-4.4769,-2.0033,413.95,4.73365,89.9,-1.14,0.290875,-1.458935,-2.027,-1.85,85.56667,0,0,0,273.6,303.9,-31.64,-0.183,0.32,1.19,2.269,3.234,4.095,0.1382,0.62,0.64,0.181765,1.13,-6.1522,-2.0039,0.741
2,7.25,0.21,0.78363,-5.04435,-4.258335,-4.8,-2.0021,413.78034,4.9,89.895,-1.24,0.28303,-1.449585,-2.05,-1.79,86.1,12.57,2.0023,0.394756,271.6,304.6,-27.95,-0.21,0.31,1.135,2.23,3.225,4.0765,0.1495,0.605,0.63487,0.1758,1.157275,-6.1522,-2.004,0.4835
2,7.75,0.17322,1.421750685,-2.316,-4.257575,-4.1043,-2.0009,413.378,4.902495,89.92,-1.0254374515,0.31,-1.1527,-1.881,-1.59,83.6,69.207,34.3,14.14,271.9,306.33333,-2.72,-0.22,0.31,1.03,2.052,3.0355,4.015,0.1595,0.56,0.6,0.19,1.02625,-5.30177,-2.004,0.3285
2,8.25,0.06,3.4408,-0.163765,-4.256405,-3.1,-2.0009,411.30293,5,89.955,-0.23,0.3320848365,-0.40026,-1.25,-0.855,79.96,172.47,87.07,25.605,275.885,308.97,28.13,-0.141,0.3,0.9335,1.9225,2.955,3.993,0.16,0.585,0.6173974315,0.196455,0.87,-4.1029,-2.0041,-0.155
2,8.75,-0.14,10.3645,10.69,-3.37023,-2.9881,-2.00135,409.9,5.157805,89.886,0.76,0.35741,0.440365,-0.331835,-0.01,74.574835,280.148335,146.123315,34.203335,271.768335,314.75,66.921665,-0.0995,0.301,0.917,1.852,2.927,3.95,0.2,0.64,0.65,0.29,0.985512219,-2.05097,-2.0032,-0.1705
2,9.25,-0.82205,14.6689769,32.939,-2.34143,-2.1,-2,407.447,5.3,89.88,1.83,0.36,1.400105,0.477,0.98,69.4185,435.771835,223.60165,38.98,272.78333,320.60165,121.163335,0.083,0.355,0.9335,1.868,2.92,4.01,0.24,0.68714,0.6790501315,0.36,1.14,-1.70909,-2.0025,-0.279
2,9.75,-1.1212545,20.984,54.74452217,-2.12705,-2.1,-2,406.4,5.1359601025,89.88,2.74,0.37,2.50244,1.36,1.8365,65.398335,546.251665,279.818335,45.887,275.016665,326.351665,173.16,0.3485,0.48,1.0135,1.905,2.95,4.02,0.27474,0.79,0.74813,0.4,1.32552,-1.26425,-2.002,-0.289
2,10.25,-1.052,24.4978,77.87,-2.1,-2,-1.3002,405.15,5.1,89.934345,3.65,0.39,2.8501,1.82,2.5,62.72,635.3,331.57,50.79,276.4,329.815,195.475,0.628,0.645,1.049,1.93,2.9715,4.0595,0.31,0.84,0.84,0.43,1.345,-0.49554,-2.0016,-0.521
2,10.75,-1.15,27.957,94.73,-2.1,-1,-1,404.65,5.004018211,89.92925,3.724634444,0.434355,3.07714,2.25,2.93,59.9985,766.8,398.37,57.62667,276.35,334.631665,247.851665,1.447,0.8195,1.1635,1.93,3.024,4.076,0.33796,0.975,0.92946,0.47,1.52,0,-2.0014,-0.4725
2,11.25,-1.24,32.928985,106.32,-1.063805,-1,-1,404.2,5.003285,89.89647,4.4298,0.44,3.6862,2.6125,3.4,58.096665,854.3085,450.216665,61.6715,279.4,337.98335,281.37,2.29,1.33,1.223,1.9025,3.0865,4.0585,0.36899,1.01,1.03,0.51,1.68,0,-2.0006,-0.506
2,11.75,-1.26,32.082,107.9979,-0.709475,-1,-1,403.55095575,5.0509,89.86843,4.78525,0.44,4.16988,3.1497,3.84,56.97,896.3333,469.5,64.83165,280.87,341.56667,296.86,3.327,1.91,1.53,2.094,3.198,4.2275,0.39886,1.13,1.12,0.55,1.7864,0.54617,-2.0006,-0.4405
2,12.25,-1.568545,37.9144,125.925,0.833175,9.2,-1,403.8,5.00558,89.83721,5.12344,0.42,4.5904,3.34,4.0847,55.66,935,486.57,66.26,278.67,345.03,315.93333,4.36,2.631,1.635,2.0625,3.1915,4.2385,0.409325,1.17,1.2,0.55979,1.8523,0.0683,-2.0006,-0.3275
