DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,H2O,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_5_1,G_1_1_1,U_SIGMA,W_SIGMA,V_SIGMA
2,23.25,0.149,0.1475,3.077,-9.075,0.2375,-0.006,429.584,4.929,-45.082,0,-1.719,0.016,246.566,299.041,-3.0435,82.25,2.282,99.1515,-0.093,-0.1045,0.1235,1.2355,-4.4575,0.6652,0.3536,0.6924
2,23.75,0.1625,0.191,3.356,-9.96,0.237,-0.0015,429.675,5.02,-32.064,0,-1.256,-0.006,251.602,300.264,-3.1565,82.4,2.361,99.106,-0.093,-0.1045,0.1245,1.2335,-4.762,0.70425,0.35935,0.6745
3,0.25,0.054,-0.01,0.6605,-9.727,0.1605,0.007,429.93,6.27,-53.825,0,-1.933,0.108,260.167,314.731,0.496,78.155,1.9535,99.2065,1.062,2.237,1.682,2.647,-8.884,0.48425,0.28515,0.5724
3,0.75,0.388,0.389,5.103,-10.2975,0.169,0.017,430.11,6.496,-57.424,0,-1.821,0.136,258.766,313.772,0.222,77.395,2.064,99.205,1.016,2.124,1.6,2.65,-8.612,0.46895,0.25735,0.5287
3,1.25,0.3705,0.3445,5.065,-10.353,0.1955,0.019,430.1845,6.5085,-52.39,0,-1.832,0.112,263.527,313.728,-0.009,78.07,2.267,99.213,0.98,2.031,1.58,2.654,-7.994,0.54525,0.27475,0.55155
3,1.75,0.365,0.307,2.551,-10.9585,0.1945,0.0125,430.5775,6.332,-53.007,0,-2.095,0.117,258.835,314.043,-0.018,79.455,2.023,99.215,0.938,1.865,1.551,2.657,-8.002,0.5492,0.29545,0.62115
3,2.25,0.395,0.3035,1.538,-12.918,0.1895,-0.001,430.017,6.366,-51.559,0,-1.565,0.121,270.974,312.765,-0.198,78.355,1.8215,99.1925,0.864,1.807,1.513,2.661,-7.95,0.5052,0.2867,0.557
3,2.75,0.3775,0.28,2.6,-9.837,0.189,0.016,430.448,6.1475,-45.625,0,-1.815,0.163,272.47,313.931,-0.441,79.05,1.859,99.202,0.827,1.725,1.478,2.665,-7.6245,0.5552,0.283,0.5715
3,3.25,0.212,0.258,3.515,-7.998,0.14,0,430.89,6.164,-44.314,0,-1.795,0.133,265.564,311.897,-0.442,82.25,1.6945,99.2,0.79,1.465,1.476,2.663,-7.395,0.44405,0.23755,0.5292
3,3.75,0.2335,0.227,3.701,-7.909,0.146,0.0145,430.491,6.021,-43.665,0,-1.773,0.147,264.357,311.913,-0.548,81.1,1.5145,99.206,0.761,1.375,1.475,2.669,-7.355,0.5125,0.24365,0.5254
3,4.25,0.191,0.2085,0.8945,-6.705,0.136,0.014,431.078,6.165,-35.386,0,-1.256,0.158,275.505,311.339,-0.611,80.1,1.34,99.209,0.736,1.289,1.387,2.67,-7.2445,0.4604,0.2123,0.5142
3,4.75,0.179,0.1445,2.206,-8.675,0.134,-0.002,431.097,6.0075,-42.884,0,-1.472,0.12,270.992,312.095,-0.537,79.65,1.293,99.209,0.712,1.286,1.366,2.664,-7.108,0.4113,0.2096,0.5353
