DOY2,HR2,LE,H,FC,G_1_1_1,G_2_1_1,G_2_1_2,NETRAD,T_SONIC,TA,RH,VPD,PA,USTAR,WS,CO2,H2O,TS_1_1_1,SW_IN,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_3_1_1,TS_3_2_1,TS_3_3_1
2,0.75,-2.3506670795,-48.692338445,-0.263011311,-22.39796,-24.5418125,-6.803178501,-79.3289025,-13.82354,-14.03233,56.73914922,0.266345953,65.26561,0.494913125,6.023235,395.53152835,2.102556787,-8.428169,0,-6.4115,-5.6825,-4.9895,-6.43975,-5.631,-4.885
2,1.25,-1.350326212,-49.78550823,-0.211470323,-22.26089,-24.3218025,-7.244515497,-79.170885,-13.7208075,-14.20649,55.677531035,0.266110305,65.25242,0.4867084,6.1304745,395.41293885,2.132471388,-8.484206,0,-6.522,-5.714,-5.0085,-6.535,-5.722,-4.937
2,1.75,-1.7629841765,-50.58419017,-0.276306204,-21.61344,-24.8422575,-7.277574788,-80.01378,-13.88437,-14.2950175,57.10129055,0.268933366,65.236995,0.49249185,6.5077925,395.28641365,2.116690792,-8.628767,0,-6.595,-5.769,-5.0305,-6.6135,-5.7775,-4.9445
2,2.25,-0.89604657375,-50.21347605,-0.26369033425,-20.98029,-24.1402,-7.351996443,-80.598975,-13.87553,-14.30115,55.8088794975,0.286840528,65.2373675,0.51609795,6.42358275,395.33966365,2.150202331,-8.72277775,0,-6.65575,-5.81625,-5.044,-6.659,-5.84825,-4.9615
2,2.75,-0.884369352,-50.588197925,-0.26571988175,-20.655765,-23.683995,-7.195277858,-81.006055,-13.97024,-14.29437,56.33525957,0.2841063665,65.21894,0.5150463,6.803981,395.3583303,2.11782503275,-8.786256,0,-6.7365,-5.866,-5.07175,-6.737,-5.903,-4.975
2,3.25,-0.485783769,-54.3010978575,-0.236784342,-20.88679,-24.61849,-7.154508793,-80.652425,-13.932795,-14.584005,55.7592303,0.28541751575,65.232265,0.51186615,6.5953015,395.3958215,2.05750479,-8.84494825,0,-6.79975,-5.935,-5.079,-6.794,-5.97475,-4.9955
2,3.75,-0.927455029,-55.7417686375,-0.220882138,-21.16261,-24.30509,-6.982320696,-79.66987,-14.071785,-14.738715,56.49083417,0.2910295965,65.223645,0.4850815,6.8458945,395.432964,2.0357177995,-8.92805825,0,-6.8435,-6.0065,-5.092,-6.85575,-6.0225,-5.0055
2,4.25,-0.943354754,-54.1936981,-0.245543862,-21.5756625,-24.316575,-6.917223216,-80.029945,-14.171025,-14.808755,57.8207167325,0.28996727275,65.20428,0.499266625,6.85124425,395.47791055,2.049483071,-9.029484,0,-6.92,-6.07875,-5.111,-6.92025,-6.05675,-5.056
2,4.75,-0.522412355,-57.4208789325,-0.163667011,-21.3084825,-23.68972,-7.280706786,-81.41838,-14.13865,-14.7424475,57.2524227225,0.2985792595,65.20309,0.50221085,6.632594,395.482954875,2.02813224725,-9.06528775,0,-6.935,-6.157,-5.11675,-6.966,-6.104,-5.062
2,5.25,-0.807648019,-54.76133593,-0.195592467,-21.87251,-23.26144,-7.304482496,-82.287665,-14.3280225,-14.8352,57.19694855,0.29176693375,65.214235,0.53094795,6.6422285,395.2950867,1.998559729,-9.126232,0,-6.962,-6.2265,-5.12975,-7.01275,-6.15,-5.08475
2,5.75,-0.738813241,-58.49851942,-0.2547061925,-22.09624,-23.4815675,-7.044779553,-81.5731125,-14.3789475,-14.6979725,54.7528416475,0.301130673,65.23487,0.50914145,7.16322775,395.188142975,1.95471085775,-9.192718,0,-6.96875,-6.28675,-5.1935,-7.065,-6.19325,-5.06225
2,6.25,-1.3855482995,-60.35844649,-0.119144505,-22.03995,-24.5316625,-6.832362606,-82.9644275,-14.26704,-14.59946,53.69509401,0.303568175,65.25777,0.486368125,6.9094735,395.14903405,1.973961079,-9.217805,0.01387425025,-7.021,-6.3575,-5.21425,-7.15775,-6.25075,-5.078
2,6.75,-0.492990704,-59.884901725,-0.16769006275,-21.23984,-23.99543,-6.52271631,-80.07434,-14.333475,-14.59301,54.738563775,0.3102664725,65.266555,0.47634225,6.6348545,395.5174596,1.942794667,-9.2855795,1.85359866675,-7.08475,-6.3705,-5.2215,-7.21875,-6.2995,-5.07125
2,7.25,-0.23261311275,-52.798505615,-0.18845632,-19.76585,-21.80705,-6.360074095,-66.44316,-14.268015,-14.33524,56.05737772,0.311178934,65.27975,0.459145325,6.01305,395.5259698,1.9234897735,-9.271226,21.531151,-7.15175,-6.39925,-5.225,-7.2425,-6.33075,-5.09
2,7.75,0.342728667,-44.176168055,-0.15140557575,-16.01714,-19.38652,-5.460131954,-39.9132675,-13.947435,-14.1320775,52.01164715,0.3271553355,65.29559,0.47576375,6.15761125,395.3528054,1.933849392,-9.373849,68.08302958,-7.1825,-6.4435,-5.23775,-7.2595,-6.365,-5.115
2,8.25,2.069673385,-32.36290207,-0.059688534,-10.99539,-14.65932,-4.131305868,-16.74343,-13.815095,-13.897085,51.27768745,0.336263227,65.300225,0.457981825,6.543049,395.43275545,1.965005012,-9.42179975,125.194216475,-7.2035,-6.4645,-5.261,-7.28475,-6.428,-5.1195
2,8.75,2.9282133025,-21.40950792,-0.0518798095,-6.622465,-8.32217,-2.59062116,-2.079553,-13.776645,-13.75604,52.197135225,0.346515456,65.288935,0.46138355,6.499181,395.3966318,1.98249291425,-9.367858,207.7005264,-7.23075,-6.50725,-5.27475,-7.3075,-6.49375,-5.1475
2,9.25,6.00073167325,-12.326800665,-0.042938131,-4.348454,-6.16349,-1.400040488,8.5394675,-13.536995,-13.48211,51.79668734,0.366717863,65.30508,0.4604788,6.5912095,395.492648975,2.041523279,-9.259172,258.7227669,-7.22475,-6.54975,-5.27275,-7.28475,-6.506,-5.15
2,9.75,7.561240673,-3.88178506275,-0.03061383475,-1.73946775,-2.76446275,-0.282744927,21.75297,-13.1930775,-13.200595,49.9098925675,0.3883299465,65.3021,0.44877095,6.25166075,395.53905165,2.05843733,-9.022853,296.466024975,-7.26525,-6.57675,-5.286,-7.229,-6.522,-5.19525
2,10.25,8.720064273,2.51840821425,0.081780065,-0.706342875,-1.21478175,0.698050332,32.63313,-13.15514,-13.008295,48.048050275,0.408329377,65.31868,0.4602841,6.570479,395.62663055,2.046244461,-8.910648,367.318316675,-7.2425,-6.5785,-5.29575,-7.12325,-6.5365,-5.1875
2,10.75,11.2169944925,5.56044029725,0.0566736995,1.29081,0.47639545,1.597622754,42.792545,-12.89425,-12.68253,49.829524385,0.43660465925,65.31829,0.4622126,5.870011,395.949671525,2.09077329,-8.6376975,399.8885833,-7.09575,-6.574,-5.31825,-6.98625,-6.504,-5.19425
2,11.25,12.02711891,11.57304364,0.0344555605,4.14084775,4.26053,3.171793303,57.04873,-12.70722,-12.37613,50.4150640825,0.438600023,65.32611,0.44903865,5.7098145,395.99066805,2.195840067,-8.2688705,420.7655833,-6.92525,-6.53,-5.332,-6.8045,-6.4335,-5.23325
