DOY2,HR2,FC,LE,H,G_1_1_1,G_2_1_1,G_3_1_1,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS
9,9.25,-0.7275,62.575,240.5757475,76.44718,98.597805,2.3993025,411.975,11.4634,90.29,20.8490925,0.7471825,22.242175,19.53,19.382,55.475,1190.6916675,592.5416675,69.44,338.7235,447.201665,395.4,18.0275,16.4575,15.565,16.4225,17.2,16.09,0.43019,1.14398098025,1.0897675,0.56,1.6966746765
9,9.75,-0.643,67.515,266.1248875,87.443855,103.8484,3.678695,410.009425,11.3,90.28,21.85613026,0.767345,23.88927,20.71,20.42,51.88,1330.725,665.5425,75.84125,343.731665,460.05,451.25,19.7,17.2375,15.805,16.36,17.22,16.12,0.4610775,1.14,1.22,0.58,2.02
9,10.25,-0.4425,69.62,297.44,93.01208,110.66605,4.048005,409.121875,11.2,90.26854,22.91043,0.83359721575,24.846585,21.7215025,21.42,48.63333,1456.1,725.35835,83.03333,346.6,474.075,500.8735,21.5125,18.48,16.315,16.42,17.21,16.14,0.530105,1.3025,1.348882141,0.638850294,2.1425
9,10.75,-0.2,70.720745,314.9075,102.5694,121.477125,4.344545,408.00213,10.9902525,90.24,23.7,0.86024506375,25.8273875,22.701665,22.337,45.97975,1542,767.85,88.585,350.671665,484.928335,533.129165,23.35,19.76,16.79,16.44,17.22,16.1775,0.565615,1.38,1.44316095375,0.68085,2.5697275
9,11.25,0.19398835,69.766,335.245,103.792675,124.547675,4.9912025,407.8086175,10.756455,90.225,24.3741691675,0.8788,26.6878125,23.453335,23.1175,43.696825,1592.2,800.0165,91.765,353.125,492.861665,555.155,25.31,21.21,17.28,16.53,17.2225,16.195,0.64,1.544789959,1.564635,0.76,2.7945699885
9,11.75,0.32,65.20039,335.11672,101.817,118.87065,4.997845,407.325,10.6700925,90.19975,25.04373833,0.89,27.727695,24.23665,23.875,42.397925,1626.975,818,93.3175,355.63,499.2075025,568.38,29.38325,23.94,18.0075,16.65,17.26,16.27,0.68409,1.54,1.62,0.8136,3.1325
9,12.25,0.5,63.9836375,343.49145,97.4844,105.0032,5.4,407.02932,10.55749,90.18759,25.68334,0.876594947,28.71207,24.97,24.61665,41.452,1626.3,816.7,93.2500025,357.5667,506.66667,565.34,33.59,26.97,19.0325,16.7125,17.2275,16.24,0.719,1.67,1.6864227945,0.86,3.499647466
9,12.75,0.5649403,66.77805,337.4524,90.822545,91.72948,5.986335,406.967525,10.53954,90.187,26.34423802,0.8550375,28.834045,25.724835,25.233,40.1125,1602.016665,806.3725,92.6075,360.983335,509.1833,552.683335,35.8,29.2575,20.26,16.85,17.2,16.23,0.725,1.65503447725,1.7067225,0.86506249875,3.52
9,13.25,0.58,61.349,328.85693,80.3,68.36716,5.9882275,407.30302,10.5,90.16,26.7627975,0.83557,28.9715,26.0099975,25.3275,38.995,1544.025,781.16667,89.53,362.6,509.335825,532.3525,36.34,30.73,21.305,17.0375,17.1625,16.26,0.751365,1.722635,1.77109248825,0.92,3.61
9,13.75,0.7916108,53.533985,305.04925,71.93261,37.175,5.989135,406.90974,10.58711,90.15,26.9904127075,0.80591155875,28.94383,26.24,25.90165,38.69,1461,738.5125,85.1608325,363.97,505.9,495.63333,35.38,31.28,22.355,17.33,17.2175,16.31,0.79977891275,1.774205,1.76,0.9546525,3.932408955
9,14.25,0.7621,51.094845,290.150806175,63.59725,16.6574925,5.9904975,407.04664,10.515675,90.1358575,27.1626704175,0.75,28.7353275,26.26667,25.8315,38.45,1366.6750025,683.0833225,80.412,362.57,501.44,450.03333,33.17,30.39,23.085,17.5975,17.2075,16.3175,0.809,1.810132983,1.7905,0.98,3.965
9,14.75,0.70426935,43.7632,256.86,45.84786,11.238865,5.99061,406.8,10.6633911225,90.1275,27.1351231225,0.7,28.5263625,26.41025,25.87425,39.48425,1220.5,616.57,74.0966675,361.7475025,495.192525,397.60725,30.77,28.75,23.18,17.7875,17.185,16.28,0.834295,1.814121533,1.75,0.98835,4.0227609135
9,15.25,0.58215,41.0271,216.5329825,35.9,11.4,5.989925,407.1602,10.860455,90.12075,27.0448,0.62,28.2984875,26.12333,25.88,41.7925025,1077.0333,544.36,67.5625025,361.07,485.63,338.95,29.3425,27.68,23.125,18.09,17.22,16.28,0.80572,1.79,1.7010075,0.9810425,4.04928012925
