DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,CO2
2,5.75,0,-8.489997,-41.901605,-1.57728716655,-39.30095,-1.2813,57.3327,0.0273406725,96.89145,-1.061488083225,-29.269595,-0.95385786155,-1.68445,0.0349345525,-10.868845,-11.67215,-12.5487116655,-12.389395,-10.7653745,-11.5156975,418.8475
2,6.25,0,-5.5121185,-38.9192625,-2.118305,-39.28965,-1.33135,57.02561,0.02838422,96.7971675,-1.62445,-29.7838,-0.88849979145,-1.6965,0.02284,-10.887745,-11.6058,-12.5340716655,-12.264395,-10.78266525,-11.4729641645,416.048
2,6.75,0,-7.232963,-50.4198825,-1.65131783345,-39.32185,-1.3518,55.899195,0.0300975,96.719,-1.16549116645,-30.46069,-0.88330802345,-1.77328166645,0.0265175,-10.8922,-11.568155,-12.5317783345,-12.198795,-10.77916725,-11.442916671,416.96125
2,7.25,0,-5.58937875,-37.114815,-1.649141,-39.53655,-1.35865,54.7066833345,0.02507765,96.6955,-1.474755,-29.731855,-0.9280456564,-1.6982,0.045597615,-10.89786,-11.565995,-12.4808616655,-12.2879,-10.7886305,-11.4313475,416.708
2,7.75,0,-10.854509032575,-44.117978117,-1.71171666645,-39.8243,-1.30245,55.330895,0.03082,96.7171975,-1.671095,-31.2127883355,-0.8701264575,-1.70575,0.0304146,-10.873395,-11.56845,-12.4958,-12.4189,-10.803697,-11.4546025,417.345
2,8.25,0,-8.64913625,-58.05246,-1.56042116645,-40.035,-1.29355,55.3635616655,0.029975,96.7617525,-0.7438151,-30.7595116655,-0.8582479,-1.72235,0.0398625,-10.880395,-11.573145,-12.54915,-12.434145,-10.813098,-11.5290558355,416.542
2,8.75,0,-5.30695125,-36.3485292495,-0.7554799999,-39.94685,-1.23125,55.78986667,0.0302759275,96.772805,-0.035425,-33.3161166645,-0.63036517495,-1.7187,0.033155,-10.89715,-11.623055,-12.5853,-12.47205,-10.84473725,-11.617695,417.0105
2,9.25,0,-3.764286,-30.024383775,-0.018135,-39.42885,-1.4115,55.71925,0.028849005,96.825025,1.14670216655,-34.881545,0.22689355,-1.83105,0.037680275,-10.851955,-11.67505,-12.566995,-12.388645,-10.83538225,-11.6746730855,417.173
2,9.75,0,-4.406055235575,-29.855155276,1.0587405,-37.6699,-1.6033,55.00065,0.0242008,96.875,5.3286855,-46.50915,2.507019,-1.977,0.04064545,-10.885995,-11.73906,-12.63481,-12.554955,-10.9230625,-11.857655,417.313
2,10.25,0,-6.4203175,-29.9095905275,2.55026,-35.24855,-1.6949,54.27144,0.02645,96.87403,12.89475,-63.56065,6.9530105,-2.09365,0.0557875,-10.87155,-11.77675,-12.61989,-12.611855,-10.98340025,-12.008055,417.452
2,10.75,0,-8.3242385268,-28.7521722275,4.617891,-31.86655,-1.73565,51.30706,0.029138065,96.834865,21.26749,-80.47855,12.50605,-2.10565,0.0766225,-10.825305,-11.761045,-12.6616,-12.58665,-10.9215475,-12.16307,417.4985
2,11.25,0,-4.409360638,-27.371099093,6.221045,-30.3085,-1.69935,46.7604666655,0.0330475,96.87147,30.09596,-95.2265,16.35985,-2.06415,0.1238093775,-10.78145,-11.74785,-12.63419,-12.5699,-10.9231025,-12.4099175,418.335
2,11.75,0,-3.3871825,-27.648665,7.8863445,-28.7911,-1.5326,43.95251,0.0296214625,96.8981675,40.5419883345,-114.9236,19.858715,-1.85125,0.2225315,-10.79736,-11.77445,-12.695955,-12.566005,-10.8788525,-12.5047775,417.387
2,12.25,0,-4.1891535,-22.62595,9.142045,-27.62205,-1.3327,41.48765,0.030065,96.9357825,41.1682283345,-123.8535,22.277165,-1.8123,0.2693368,-10.77745,-11.85209,-12.7251,-12.582005,-10.82552,-12.5260725,417.3
2,12.75,0,-3.183621,-24.487,12.12544,-26.63035,-1.30775,40.863105,0.0355375,96.9410325,51.6031616655,-127.27805,27.66016,-1.79115,0.35593,-10.697295,-11.9097,-12.734455,-12.547145,-10.722275,-12.4888475,417.3245
2,13.25,0,-2.043366,-23.8512248815,12.718665,-27.5561,-1.628325,38.58034250175,0.0298,96.968,47.69029,-130.52965,24.73043,-2.018275,0.21593775,-10.7571,-13.9258325,-13.99755,-14.441035,-11.0497705,-14.22740125,417.689
2,13.75,-0.0166,-5.74775125,-27.5241,10.17018175,-27.0806,-1.563725,37.46597500175,0.032125,96.9554925,44.6805575,-140.0415,23.847985,-2.000675,0.307156,-10.7773425,-13.9208325,-14.2286,-14.3805175,-11.05451875,-14.4172875,417.7435
2,14.25,0,-2.51441209675,-23.636567534,10.22535575,-26.757275,-1.549675,36.04123250175,0.035565,97.0064,40.60872500175,-119.106775,22.50456,-1.992925,0.2691987,-10.804315,-13.9075575,-14.4704925,-14.36014,-11.05290425,-14.59865875,417.64
2,14.75,-0.030788425,-3.656644,-26.4208875,7.30173675,-26.49055,-1.544525,34.37916749825,0.0296,96.93,36.5600825,-100.344825,16.80873,-1.99765,0.198845108,-10.8439925,-13.89524,-14.52817499825,-14.34925,-11.05719625,-14.775395,416.8
2,15.25,0,-3.6703725,-32.580847339,5.48565925,-26.790175,-1.5007,34.4900425,0.032925,96.93501,25.46193249825,-77.14477499825,12.1534175,-1.963675,0.14243598375,-10.8635425,-13.8577075,-14.5717425,-14.3391575,-11.07525,-14.95672875,416.265
2,15.75,-0.0142986875,-5.0793065,-24.4519,4.21864075,-29.515125,-1.389425,34.98981750175,0.0299424,96.9275,17.37025749825,-64.55307500175,9.1264885,-1.99165,0.111678,-10.8785825,-13.8106325,-14.55329249825,-14.320335,-11.08317,-15.02431375,416.1
2,16.25,0,-9.747984298,-27.990864646,2.14422575,-32.126475,-1.34505,37.30282583175,0.028035,96.93,8.04772925,-51.25718249825,5.00884,-1.998625,0.0741525,-10.89504,-13.78164,-14.51173249825,-14.3078325,-11.10391204325,-14.94402875,416.882
2,16.75,0,-8.1430564913,-33.8296534875,0,-33.541625,-1.396775,41.95399999825,0.026125,96.92601,1.55597575,-48.6220675,0.9799119,-1.956025,0.041525,-10.9406175,-13.8323325,-14.49180749825,-14.2864825,-11.17990416825,-14.78056,417.7145
2,17.25,0,-7.5483224952,-30.951935,-0.165319324825,-34.97085,-1.313,44.5020075,0.020775,96.9,-0.000839999999999999,-49.59751,0.02623733775,-1.83025,0.03575,-10.9417075,-13.879825,-14.430325,-14.2718675,-11.2109487115,-14.582255,417.45475
2,17.75,0,-6.717681134925,-38.38615,-0.90886333335,-36.163575,-1.24075,50.0638,0.0251922375,96.9,-1.65701416665,-46.10925000175,-0.73247915,-1.78415,0.0473876075,-10.9618425,-13.9322,-14.33228249825,-14.254035,-11.209507875,-14.4759,416.514
2,18.25,0,-7.9969735,-38.326456603,-1.735838333175,-36.79805,-1.305525,53.88088333175,0.0199325,96.885,-2.3838815,-45.55474999825,-0.7882367,-1.85,0.039395,-10.93911,-13.9809175,-14.16821750175,-14.24129,-11.200204625,-14.31762,416.9735
2,18.75,0,-4.82797,-40.0568575,-2.692168333175,-36.959525,-1.4342,54.28389083175,0.024095,96.90275,-1.840122500175,-39.46969166825,-0.81024299125,-1.97345,0.03241,-10.90505,-14.027975,-13.9968575,-14.230535,-11.17732870675,-14.1657175,417.7375
2,19.25,0,-9.0611425,-37.9549375,-2.0601535,-37.552725,-1.474025,52.68638416825,0.0273925,96.9183425,-1.4743325,-38.54161750175,-0.857653825175,-1.963875,0.0233576625,-10.91055,-14.0867175,-13.82631750175,-14.2204325,-11.189994625,-14.00746125,416.618
2,19.75,0,-7.6303125,-39.9004524455,-1.9754215,-37.824325,-1.48615,52.82047583175,0.026328175,96.912475,-1.0895675,-37.58278333175,-0.865312246825,-1.9163,0.03635,-10.851825,-14.0859425,-13.65152499825,-14.1989,-11.202631625,-13.84270875,416.802
2,20.25,0,-5.840528,-34.0061,-1.63614483315,-38.137675,-1.5647,54.38481666825,0.03169338,96.8475575,-0.88534415,-37.5974,-0.930235025,-2.0002,0.02275296,-10.838635,-13.960775,-13.4751,-14.19245,-11.207747125,-13.679405,416.899
2,20.75,0,-7.55441525,-39.97998,-1.643513333475,-38.826925,-1.563225,54.7196825,0.02360096,96.85,-0.988249325175,-36.25916,-0.83434398,-1.951325,0.03552,-10.7866,-13.889235,-13.3630925,-14.1863175,-11.20116575,-13.53185,417.0825
2,21.25,0,-8.143425,-56.1271,-1.80007,-39.3327,-1.610775,53.1037575,0.02954,96.8275,-0.877326825,-38.6047925,-0.9161166,-2.0031,0.02828,-10.7561325,-13.8142925,-13.27495833175,-14.18306,-11.167275375,-13.46256625,416.8205
2,21.75,0,-8.006138742975,-43.2159775,-1.3419266667,-39.254125,-1.6614,53.3758825,0.034972325,96.805,-0.759675675,-37.128275,-0.9428594,-2.1318,0.02502,-10.6719925,-13.708425,-13.28537500175,-14.178265,-11.138956625,-13.4082575,417.417
2,22.25,0,-5.293893345,-31.809625,-1.50323425,-39.189875,-1.695225,54.8876175,0.0304547,96.7825,-1.2343715,-32.64295,-0.941575425,-2.186025,0.0275418125,-10.710665,-13.599735,-13.31828333175,-14.1748425,-11.114815,-13.35998625,417.3575
2,22.75,0,-8.394148,-40.10235,-1.6282585,-38.789,-1.5743,55.43845,0.0267139975,96.7513275,-1.104606083475,-33.120685,-0.81759075,-2.0151,0.03353,-10.674065,-13.044435,-13.2354816685,-13.469865,-11.08979,-13.09041,417.332
2,23.25,0,-5.06078,-54.10724159625,-1.968816083475,-38.274475,-1.453175,56.7457,0.0329973925,96.765855,-1.31518525,-32.312775,-0.868294675,-1.852425,0.0266459975,-10.659325,-12.5281475,-13.0212775,-12.951425,-10.826872375,-12.76716375,416.91
2,23.75,0,-6.134604,-39.577991323,-1.781106667,-38.3958,-1.408875,61.2797225,0.0215975,96.817805,-1.684188,-31.944675,-0.878424975,-1.82905,0.0210825,-10.5782275,-12.5056475,-13.02402,-12.926525,-10.846106375,-12.67591625,416.83
