DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,PPFD_IN,PPFD_DIF,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,FC,SC,NEE,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TA_1_1_1,RH_1_1_1
7,12.25,1.1379575,29.4396,6.495865,357.445,546.89125,97.6785,99.555,403.769,26.92505,2032.15,1114.875,750.908,977.9855,142.597,427.719,477.3165,-3.3847125,1.5447,-1.80938750000001,21.084,21.119275,20.4,19.008625,17.17605,16,12.983425,10.8674,26.890375,88.908375
7,12.75,1.16362,29.772,6.586885,338.178,558.8955,96.004,99.555,402.92275,27.0967,2041.2375,1115.27,745.241,980.22775,142.183,426.81475,480.269,-3.81722,1.551265,-4.34621500000002,21.237075,21.15335,20.41865,19.0174,17.1928,16,12.98385,10.85165,27.03975,91.345875
7,13.25,1.137525,30.1078,6.541245,365.878,567.86875,96.1185,99.53685,402.7615,27.0234,2004.28,1085.52,739.4955,974.60175,142.2335,429.282,480.3005,-3.68888749999999,2.1861725,-3.08678500000002,21.553,21.3097,20.4347,19.0042,17.183,16.0067,12.983,10.883,27.656,92.96995
7,13.75,1.1803775,30.46225,6.5188025,355.156,528.004,97.21975,99.5,402.62125,27.09275,1981.91,994.19375,724.012,955.8375,140.256,426.8135,483.217,-1.75726,2.40065,-1.4670875,21.76985,21.425,20.455025,18.995075,17.14575,16,13,10.851275,28.5055,92.75995
7,14.25,1.1738125,30.4212,6.7577875,353.092,577.2745,96.189475,99.5,402.4425,27.407775,1926.095,1024.42,696.131,924.43675,136.47,426.1775,482.59275,-3.8103575,2.48345,-3.56011,21.77,21.5122,20.5195,19.00125,17.15845,16,13.00085,10.8703,28.4659,91.7881
7,14.75,1.1464025,30.570775,6.6704175,326.69,535.976,96.578375,99.5,401.974,27.105425,1824.915,979.810499999999,671.172,887.05,134.02,429.19125,483.57,-3.13074,2.318345,-3.84138,21.748625,21.687425,20.60375,19.026275,17.167,16,12.969475,10.88555,28.47105,89.29995
7,15.25,1.169405,30.759925,6.870685,303.162,504.2045,95.4183,99.5,402.5115,26.721,1717.04,931.75425,611.754,829.53,126.49,424.5565,480.99625,-1.9696875,2.33957,-3.7646475,21.775,21.9195,20.6678,19.008,17.1504,16,13.017,10.8525,28.5065,89.26305
7,15.75,1.1840625,30.5505,6.769675,246.639,463.60825,95.7161,99.5,402.26,26.4418,1590.205,849.15375,576.94,779.14,120.53,422.97,480.21,-2.73972000000001,3.03334,-3.5713,21.815625,22.02585,20.76865,19.02585,17.183,16,13.017,10.867,28.71095,85.5731
7,16.25,1.19042,30.714725,6.77336,219.02,432.20425,93.82225,99.47165,402.556,26.6633,1417.925,733.32925,497.54,693.61,109.35,421.59,480.05,-1.894805,2.971435,-1.66630000000001,21.743625,22.125,20.8703,19.025,17.14365,16,12.98385,10.8678,28.1285,87.8619
7,16.75,1.14472,30.1777,6.238485,191.7875,406.7775,92.077275,99.41815,401.7765,27.22295,1253.3,639.0875,433.36275,615.881,100.781,420.56475,476.71325,0.530578499999997,2.474655,1.01542599999999,21.673125,22.178125,21.017825,19.0502,17.158225,16,13,10.85125,28.246,87.5569
7,17.25,1.05015,29.7863,6.2226625,133.732,339.12025,92.183,99.4,401.72625,27.2806,1085.5,556.415,360,532.836,88.855375,420.56,473.43,1.48075,3.9991125,2.01532749999999,21.660625,22.197,21.050825,19.067825,17.133625,16,13.000425,10.883425,27.91355,85.91505
7,17.75,1.053295,29.5325,6.08364,97.4465,274.167,93.111225,99.4,401.76375,26.70315,905.49,460.12,270.79,432.519,76.8655,417.63,470.18,2.19071999999999,4.8963675,3.10875,21.611375,22.258,21.1,19.1,17.15,16,13,10.867,27.4595,90.9569
7,18.25,0.944154,29.11025,5.737925,60.7840999999999,212.488,94.1695,99.4,401.703,26.71085,731.22,386.7225,199.16625,342.99825,64.6554,417.8015,466.15425,4.3495,4.831515,4.674775,21.538875,22.22855,21.1674,19.1424,17.1502,16,13.000425,10.867825,27.07905,96.41005
7,18.75,0.89199125,28.723375,5.517775,29.7333,165.2345,94.109875,99.4,402.2085,26.85685,522.791,287.373,118.27625,247.2795,52.94195,420.061,462.56675,4.80414,6.10695,6.1190825,21.500625,22.29325,21.2025,19.150825,17.1502,16.001675,12.983425,10.883425,26.859,97.97305
7,19.25,0.87002,27.9765,5.3633,22.78325,107.34,96.4466,99.4,402.735,26.36275,326.89,202.675,54.87355,156.2005,40.6629,417.382,457.764,5.8938875,7.79044499999999,8.87935,21.456375,22.2924,21.251675,19.175,17.1502,16,12.983425,10.883425,26.83795,97.67695
7,19.75,0.81003625,27.407875,5.1874,7.94225999999999,76.57315,97.31805,99.4,403.76925,26.5884,158.71,106.325,7.71953,78.02855,25.95025,416.703,451.2445,6.78234,9.47385,9.8474,21.348875,22.275425,21.3174,19.183425,17.133625,16,13.000425,10.900425,25.9585,97.82005
