DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
4,7.75,0.7995,8.8625,3.859,-0.748,-0.116,-0.071,86.636,39.569,61.29175,5.02725,-10.8575,4.1665,5.52375,57.6875,78.0075,392.746,7.0575,247.9,770.35,401.525,31.9125,243.65,347.625,6.2,207.05
4,8.25,0.87,9.58,4.13275,-2.43,-1.913,-0.04,145.082,29.5185,81.92325,2.279,-8.5525,4.33825,5.47325,51.16,78.0325,391.855,7.9725,345.225,967,511.75,42.8725,243.45,359.35,6.1805,249.9
4,8.75,0.932,10.16,4.28325,-3.802,-3.486,-0.033,215.4605,18.48125,105.88275,1.01575,-4.04325,4.6625,5.46125,47.615,78.0475,391.29,8.8775,451.85,1187.75,642.625,54.535,248.1,371.2,5.96975,310.475
4,9.25,1.02875,10.91,4.408,-4.158,-4.021,-0.038,277.89475,14.877,126.73425,1.546,1.311,5.23225,5.46075,45.4675,78.0625,390.615,9.6525,533.675,1383.5,745.7,65.3,251.475,381.7,5.85175,305.55
4,9.75,0.9845,11.51,4.66775,-4.3285,-4.25,-0.0065,307.559,11.052,129.883,1.457,19.46,6.402,5.49325,43.1625,78.075,390.3415,10.185,611.325,1564.5,839,75.565,254.1,393.15,5.788,315.2
4,10.25,1.05325,12.175,4.60725,-5.03025,-4.9275,0.015,343.479,10.786,138.453,1.599,21.1275,7.48125,5.65925,41.045,78.0825,390.1305,10.6775,672.825,1746,921,85.15,258.8,404.375,5.69,354.875
4,10.75,1.0495,12.68,4.79,-5.35725,-5.32575,0.06375,381.4385,10.48575,161.387,1.70575,33.67,8.975,6.0225,38.78,78.09,389.8645,11.3,721.7,1876,984,92.7,263,415,5.847,379.4
4,11.25,1.0795,13.14,4.682,-5.528,-5.6015,0.07175,415.005,9.2345,167.054,1.874,54.14,10.59,6.44975,37.535,78.07075,389.7525,11.895,760.2,1959.5,1032,97.275,265.6,421.7,5.656,436.025
4,11.75,1.07775,13.415,4.63225,-5.686,-5.852,0.12,451.251,8.3065,168.455,2.259,70.725,12.345,7.01475,36.165,78.0575,389.9725,12.1625,775.2,2013,1054,100.425,267.7,428.9,5.714,476.125
4,12.25,1.113,13.72,4.717,-5.94575,-5.9615,0.1115,457.369,6.4165,171.953,1.91,77.9775,13.3725,7.6965,35.48,78.0375,389.9545,12.43,797.1,1976,1079,101.75,270.5,431.6,5.51625,495.525
