DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,TA,PA,RH,VPD,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,PPFD_IN
1,5.25,-0.018,-10.11005,-0.23855,4.72722,1.947,0.1532,17.6885,16.4473,100.208,100,0.47725,429.4005,15.44965,0.5105,0.4767,0.209568,0.2365,0.00435,0.1082,0
1,5.75,-0.0192,-8.95956,-0.4449,5.1229,2.0786,0.1578,17.5871,16.3036,100.2325,100,0.31985,433.564,15.65905,0.528649,0.4439,0.2172,0.2327,0.0044,0.10025,0
1,6.25,-0.0279,-11.06545,1.29488,4.413125,2.0183,0.1703,17.6402,16.2506,100.2155,100,0.113931,427.7495,15.44955,0.569111,0.4712,0.2373,0.227311,0.00365,0.1416,0
1,6.75,-0.0341,-6.25448,11.6613,0.78789,2.142005,0.1750935,17.6503,16.32765,100.213,100,0.3698,425.656,15.5247,0.58945,0.5042745,0.2461,0.25685,0.00505,0.24815,60
1,7.25,-0.052,1.405505,30.26645,0.5705,2.498495,0.2103755,18.5052,16.9332,100.228,100,1.1692,423.6355,15.7399,0.7093635,0.544488,0.279871,0.296678,0.0043,0.2557,206
1,7.75,-0.081,9.80449,55.67085,-0.3549,2.99034,0.2629,19.5067,17.6816,100.293,96.7386,2.69515,418.199,15.9184,0.793,0.661132,0.3229,0.3433,0.0027,0.35395,385
1,8.25,-0.103447,25.3412,82.5003,-3.42157,3.356955,0.2976985,20.20055,18.534,100.2935,90.4521,3.756315,409.476,15.8678,0.9155345,0.702458,0.3706265,0.4003275,0.00275,0.40105,617
1,8.75,-0.119945,39.6998,111.026,-6.0812,3.48035,0.321311,21.0341,19.5308,100.3,88.0148,5.22869,404.747,16.2206,0.9359,0.7882,0.4032565,0.4333805,0.0024,0.4663,820
1,9.25,-0.1445475,60.3613,139.7485,-7.716905,3.773855,0.3501255,21.92055,20.27795,100.3,84.0785,5.68878,399.675,16.78805,1.02403,0.88225,0.4183155,0.4755,0.00225,0.47945,1073.4
1,9.75,-0.129454,69.6854,169.301,-10.40325,3.7472,0.3545,22.727,21.0761,100.271,82.14505,7.175845,397.1335,17.1466,1.0713,0.939009,0.424,0.5114,0.002,0.5435,1262.25
1,10.25,-0.151229,76.85065,194.168,-10.2748,3.85314,0.3596045,23.4959,21.8431,100.2745,78.9029,8.58767,394.524,17.2626,1.07874,0.97596,0.4193215,0.5243485,0.00225,0.6091,1429
1,10.75,-0.151,96.1727,225.3325,-11.7798,3.83883,0.3579,24.355,22.5784,100.254,76.0183,9.685,393.161,17.23075,1.0753,0.9981,0.4393,0.551247,0.0024,0.6573,1600
1,11.25,-0.15588,105.5345,249.716,-12.9554,3.873615,0.3722145,25.0085,23.12485,100.235,73.2161,11.1023,391.607,17.0313,1.125075,1.0452,0.438533,0.5972815,0.0026,0.7783,1753
1,11.75,-0.160275,110.565,276.452,-12.7389,3.834835,0.3735785,25.6205,23.6231,100.23,71.01825,11.81485,390.429,17.1378,1.157135,1.105535,0.4481195,0.606323,0.0026,0.8168,1874
