DOY2,HR2,FC,FCH4,LE,H,PPFD_IN,TA,TS,RH,VPD,USTAR,WS,V_SIGMA,TAU,T_SONIC,CO2,H2O,U_SIGMA,W_SIGMA,PA,LW_IN,LW_OUT,NETRAD,SW_IN,SW_OUT
11,7.75,0.011533,87.37405,28.823,9.217175,318.6,16.21,16.88,75.079,4.65636,0.199303,1.9571430365,0.347206,-0.0743717,18.45135,427.038,7.19944,0.6245695,0.286571,102.3565,330.490960989534,275.469373219373,163.618292889754,206.410256410256,49.8978260869565
11,8.25,-1.118603,81.722,39.501,23.54655,480.8,17.30435,16.865,72.8795,5.721275,0.247831,2.30029,0.494925,-0.0846926,19.3833,425.255,7.29143,0.70555,0.302128,102.399,319.91151284491,281.275641025641,247.956619201711,314.478129713424,65.4291604197901
11,8.75,-1.9936215,81.905,60.076,41.853,629.1359976,17.7032,16.83,69.8865,6.66483,0.282759,2.546149225,0.563622,-0.0973606,19.9291,417.872,7.094505,0.767656,0.327888,102.414,307.913415794481,287.417378917379,331.647526915275,413.336349924585,80.5547226386806
11,9.25,-2.92619,82.372,73.083,75.03125,766.5,18.4114,16.84,66.809,7.558595,0.307118,2.67405,0.6498015,-0.1266835,20.37515,415.2105,6.76119,0.7886055,0.3500105,102.4245,310.406279733587,294.712250712251,401.066389881982,493.820512820513,90.5322338830585
11,9.75,-3.2799935,86.2355,82.324,107.789,894.6686408,19.265,16.85,62.7045,9.031725,0.324476,2.85569,0.729044,-0.136889,21.3133,415.623,6.28831,0.862247,0.375222,102.458,313.539486203616,299.950854700855,461.499193841993,563.348416289593,98.2331334332834
11,10.25,-3.485696,72.3397,81.8165,122.919,994.59888,19.8,16.995,59.3747,9.7523,0.3208,2.870119653,0.783941,-0.1580885,22.0233,412.4975,6.33607,0.874694,0.392026,102.4535,314.343482397716,307.212962962963,519.610726311053,624.622926093514,104.071964017991
11,10.75,-3.686977,76.181,92.48005,142.811,1055,20.885,17.185,57.168,11.23382,0.330701,2.8749,0.82709,-0.1413465,21.8449,413.535,6.54693,0.88611,0.404232,102.4255,316.881541389154,312.628561253561,563.67876242874,674.530542986425,107.733133433283
11,11.25,-3.924163,72.0154,97.4863,152.36,1141.85,21.63845,17.4,55.0745,11.92116,0.349384,2.93391,0.894463372,-0.1565235,22.1058,411.0755,6.95611,0.8770665,0.413682,102.403,317.267840152236,316.112891737892,593.445597902406,709.041101055807,108.404797601199
11,11.75,-4.0015505,78.8817,102.874,158.811,1152,22.21385,17.77,53.1675,13.0328,0.3597,2.920513043,0.898741,-0.161631,21.9966,410.858,6.41788,0.896816,0.405148,102.363,318.092293054234,319.195868945869,606.75241564738,722.965309200603,108.737631184408
11,12.25,-3.8553895,72.152,104.369,156.342,1143,22.04195,17.92,51.1825,13.89136,0.3425065,2.935336065,0.854344,-0.1491325,22.7854,410.1415,6.864795,0.908663,0.394395,102.3005,320.230256898192,315.316951566952,599.979290897538,711.546757164404,106.667916041979
11,12.75,-3.58884,67.349,95.234,145.909,1097,22.11085,18.28,49.8089,14.456865,0.3253,2.952455415,0.911554637,-0.167255,22.8351,409.16,6.47791,0.890178,0.374836,102.245,321.282588011418,316.371082621083,583.361320470986,691.625188536953,102.735382308846
11,13.25,-3.8489195,69.5021,101.448,138.859,1031.2,22.34965,18.435,49.295,14.877095,0.344947,3.06103,0.887628,-0.145535,23.3258,408.816,6.58211,0.899258,0.391964,102.213,322.244529019981,311.972222222222,552.640579031751,655.147812971342,97.0022488755622
11,13.75,-3.622748,71.5975,92.9961,118.951,944.65,22.47,18.49,48.1365,14.91709,0.3452805,3.005625,0.8770205,-0.14965,23.2637,408.733,6.29344,0.882657,0.388407,102.209,321.861084681256,309.415954415954,505.636135552133,600.883861236802,89.3185907046477
11,14.25,-3.0944975,72.057,73.911,89.452,824.55,22.6014,18.79,46.874,15.04283,0.359915,3.036635202,0.7701615,-0.159122,23.2414,408.459,6.42124,0.8571825,0.39468,102.183,325.609895337774,309.890313390313,434.546839702321,524.685520361991,77.5907046476762
11,14.75,-2.7240225,73.293,73.0482,66.511,675.65,22.5,19,50.382,14.28068,0.3360195,2.938433489,0.7528712355,-0.136599,23.4908,406.928,6.42106,0.847584,0.377223,102.167,328.068506184586,303.716524216524,363.336999486682,436.511312217195,65.859820089955
11,15.25,-1.80896,68.122,60.748,41.57815,518.05,22.07,19.11,50.719,13.75939,0.3135235,2.7732361425,0.662206,-0.121438,23.5505,406.079,6.31878,0.821303,0.361412,102.17,324.152235965747,299.928062678063,289.464216986529,353.878582202112,54.4799100449775
11,15.75,-1.059724,66.47,43.35825,10.00525,374.5,21.8223,19.24,52.281,13.05769,0.289856,2.6315672125,0.573365728,-0.100958,23.1154,406.528,6.4329,0.746904,0.321984,102.189,322.162702188392,296.802706552707,199.872119257114,247.303167420814,40.1556971514243
11,16.25,-0.113675,53.51575,27.051,-8.97367,198.85,20.8498,19.27,56.09,11.17376,0.230206,2.30454,0.432338,-0.0641017,22.873,407.103,6.81119,0.653082,0.282965,102.201,319.380589914367,291.305555555556,106.565916476151,132.10407239819,23.2056971514243
11,16.75,1.042155,56.122,15.61935,-12.3043,72.58178804,19.29,19.15,61.9928,8.78084,0.1581,1.788277782,0.341104348,-0.0270029,22.8678,407.636,7.03286,0.480289,0.182673,102.201,318.261655566128,283.110398860399,33.4159358895213,41.8968325791855,8.17098950524738
11,17.25,1.7104,53.697,7.94107,-15.7256,10.69,18.1607,19.03,66.278,6.33281,0.1359825,1.69778,0.280936976,-0.02140905,22.5661,407.348,7.26485,0.384778,0.147301,102.197,314.824928639391,277.064102564103,-1.84817773240076,-0.408212669683258,1.59718890554723
11,17.75,1.892675,56.135,5.1165,-17.34505,0,17.4403,18.82,69.3269,5.62105,0.1366815,1.5318,0.2722258235,-0.0200954,21.5802,410.017,7.24294,0.39533,0.16268,102.198,317.843006660324,273.829772079772,-4.38454657286741,-2.68441930618401,1.6456371814093
