DOY2,HR2,FC,H,LE,CO2,USTAR,TA,RH,PA,WS,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT
3,11.25,-17.755,68.6775321,371.25092655,379.2961081,0.463268773,27.09,75.55,99.28295982,2.0845,484.8,599.8,68.8,439,468.7
3,11.75,-18.21733142,68.07487256,390.2937211,378.0965627,0.467944506,27.39,74.695,99.252,2.187,493.8,617.45,70.615,441.6,470
3,12.25,-16.43345767,68.955746275,384.705,377.9,0.46068,27.46,73.585,99.20825043,2.152,481.75,610.55,70.57,441.75,470.85
3,12.75,-17.593,60.099,377.27,375.01,0.464935094,27.34,73.3,99.148,2.12,462.4,580.3,66.19,441.535,471.5
3,13.25,-16.53625673,58.034,361.80262515,374.5667338,0.448384493,27.53,72.52,99.088043305,2.13,423,542.4,64.02,440.4,471.5
3,13.75,-15.009,43.632,328.3311301,373.615,0.43888,27.25,74.1,99.013,2.118,382.9,478.6,56.36,439.2,469.6
3,14.25,-15.28,37.05355037,320.99719465,372.36,0.409174709,27.25,74.43,98.95479782,2.006,364.3,475.5,54.95,438.1,468.3
3,14.75,-12.61895301,30.3795,254.78,371.65,0.387709176,27.3,75.78,98.912,1.862,271.1,372.7,41.87,436.4,467.9
3,15.25,-11.370626375,21.248303015,225.03,371.49,0.36886294,27.23,76.01,98.8774756,1.781,218.9,286.6,34.09,434.5,464.4
3,15.75,-8.7479904685,11.533,181.3158275,371.6644138,0.340901115,26.79,78.58,98.85008506,1.729,178.3,237.55,27.69,432.25,461.65
3,16.25,-6.2573,4.540912165,142.99,370.7649732,0.302780103,26.58,79.965,98.835509675,1.614,120.3,178.2,21.095,429.4,460.15
3,16.75,-3.494286519,-1.000939812,101.50493945,371.15,0.27170228,26.24,81.2,98.829,1.4675,69.28,120.67833335,14.82,426.2,457.21333335
3,17.25,-1.38865,-4.2038,54.5825,371.9296692,0.2235452185,25.75,83.1,98.83805328,1.43,24.765,71.13,9.385,423.75,453
3,17.75,0.530874344,-4.55482051,23.903,374.50864145,0.1799198455,25.31,85.45,98.85203863,1.351,-7.3565,26.275,4.4665,421.6,449.3
3,18.25,0.4630631175,-4.488799793,10.66652364,375.985,0.14256635,25.16,87.2,98.8755,1.394,-28.21,1.5445,1.317,419.9,446.3
3,18.75,1.123725192,-3.7967,5.476313668,379.47074805,0.1394,24.715,88.4,98.906,1.363,-29.655,0,0,419.1,445.35
3,19.25,0.76983,-2.99060565,4.3202,380.52357895,0.13566,24.605,88.5,98.9535,1.4075,-28.96,0,0,418.35,443.8
3,19.75,1.17,-4.364570986,3.2751969655,382.9393792,0.129678404,24.345,89.8,98.99719741,1.411,-28.58,0,0,419,442.4
3,20.25,0.761553417,-3.400123005,2.127301696,384.91,0.12923343,24.11,90.15,99.0325,1.41,-27.65,0,0,419.3,441.65
3,20.75,1.301288163,-3.8054,2.339874422,387.9,0.13352146,24.03,90.3,99.06565275,1.3815,-27.07,0,0,420.27,441.3
3,21.25,1.5619,-3.569418206,1.773165862,389.765,0.13358,23.82,91,99.106,1.441,-25.31,0,0,419.8,440.6
3,21.75,1.8924213095,-4.0217,0.9512,390.51,0.128582187,23.77,91,99.150360275,1.427,-26.13,0,0,421.25,440.15
3,22.25,1.906477474,-3.504272057,0.939545,394.2904883,0.12597,23.67,91,99.17122848,1.371,-23.745,0,0,422.45,439.35
3,22.75,1.775305749,-3.45587859,0.71279,395.80332495,0.124020294,23.51,91.2,99.1895,1.337,-22.13833333,0,0,423.15,439
3,23.25,1.83985,-3.2053,0.62498,397.0018614,0.11632,23.405,91.65,99.18331113,1.365,-21.34,0,0,423.75,438.45
3,23.75,1.9428875985,-2.8259998975,1.1838389245,398.84,0.1240886835,23.24,92,99.162,1.333,-21.215,0,0,424.55,438.05166665
4,0.25,2.45565,-2.303431749,-0.4909,402,0.112810392,23,92.95,99.1938928,1.241,-22.5,0,0,427.5,437.6
4,0.75,2.88245,-3.352972489,0.13009,403.86,0.11066,22.96,93.1,99.1655274,1.237,-22.57,0,0,427.1,437.4
