DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,TS_2_1_1,WS,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,SG_1_1_A,SG_2_1_A,CO2
3,6.25,0.0875,0.806994,-24.4086,0.352748,-16.99,-1.378,70.56,0.1651,92,1.03715,-14.8299,0.4629147,-0.0235,2.5485,-0.6165,-0.999,-0.6155,-3.649,-0.874,-2.2285,409.5
3,6.75,0.0981,0.7149945,-23.5426,3.37767,-16.81,-1.3705,71.02,0.169338,92,6.575565,-15.281135,5.797615,-0.023,2.7105,-0.5955,-1.0045,-0.617,-3.698,-0.8775,-2.2685,409.5
3,7.25,0.06675,0.965041,-21.50285,18.89155,-16.455,-1.37,70.515,0.153576,92,18.5337,-18.1003,22.3247,0.005,2.389,-0.608,-1.0085,-0.6835,-3.6805,-0.89,-2.289,409.35
3,7.75,0.0711,0.7153725,-24.748,41.7949,-16.3,-1.3735,70.685,0.1602575,92,42.79555,-19.1274,58.7614,-0.005,2.365,-0.6065,-0.98,-0.607,-3.67,-0.85575,-2.27125,409.35
3,8.25,0.02419015,1.16067,-20.7673,60.7518,-16.29,-1.375,69.97,0.1573275,92,65.78039,-22.2978,112.1701,0.002,2.535,-0.4195,-0.867,-0.5185,-3.652,-0.82,-2.15425,409.9
3,8.75,0.0143,0.7278825,-20.0957,96.3206,-16.295,-1.3685,69.425,0.1665965,92,98.14515,-27.62255,170.977,0.022,2.3465,-0.2785,-0.8335,-0.3875,-3.649,-0.70975,-2.0245,409.95
3,9.25,0.0829843,0.956802,-18.6559,135.27145,-16.06,-1.3425,68.985,0.1711765,92,141.11845,-33.84945,242.519,0.017,2.265,-0.2765,-0.7845,-0.1805,-3.679,-0.697,-2.06425,409.5
3,9.75,0.06358305,1.000868,-17.5296,175.0514,-15.8,-1.33,68.745,0.164337,92,189.60915,-38.40195,296.947,0.034,2.4165,-0.253,-0.796,-0.212,-3.7115,-0.701,-2.02775,409.75
3,10.25,0.089,0.8142625,-15.6078,203.9475,-15.44,-1.309,67.99,0.154555,92,222.843,-50.8826,347.7785,0.0535,2.1585,-0.28,-0.843,-0.243,-3.714,-0.7825,-2.06775,408.9
3,10.75,0.0212,1.09897,-15.3506,226.0765,-14.925,-1.3065,67.615,0.1633355,92.05,259.7395,-56.41449,394.849,0.044,2.416,-0.3125,-0.8765,-0.235,-3.673,-0.79425,-2.0995,408.2
3,11.25,0.07525,1.12607,-12.0611,262.0074,-14.375,-1.284,67.34,0.1499875,92,292.0865,-64.6881,448.369,0.0545,2.303,-0.3305,-0.8895,-0.2925,-3.691,-0.816,-2.0745,408.9
3,11.75,0.05045405,1.32749,-10.49555,270.892,-13.83,-1.2835,66.745,0.1366035,92.1,323.9183,-70.251365,495.1305,0.078,2.0795,-0.363,-0.9005,-0.274,-3.7605,-0.85125,-2.1535,409
3,12.25,0.0552,1.54584,-9.786595,311.116,-13.185,-1.2875,66.28,0.1387675,92.1,342.0823,-74.91175,532.4863,0.058,2.2445,-0.3895,-0.922,-0.334,-3.774,-0.86925,-2.149,408.45
