DOY2,HR2,FC,H,LE,TAU,TA,RH,NETRAD,SW_IN,SW_OUT,PPFD_IN,WS,USTAR,PA,G,TS_1_1_1
3,7.75,-0.99,-29.56,1.95,-0.5376,-10.1325,48.15,-0.14,11.945,1.4525,21.2275,1.086,0.1115,95.03375,-33.2075,1.545
3,8.25,-1.6625,-17.7875,4.625,-0.6222,-9.485,43.19,9.6075,25.9375,3.1,48.995,1.7645,0.143,95.015,-32.15,1.545
3,8.75,-3.92,-2.945,5.74,-0.6462,-9.07,37.5575,18.7725,37.3225,5.0525,68.335,1.9995,0.17,94.9995,-26.4275,1.5225
3,9.25,-6.47,-11.135,7.975,-0.699,-8.735,33.6225,23.565,31.11,3.7875,57.6625,1.4075,0.1615,94.98725,-26.4225,1.5225
3,9.75,-1.8775,-4.975,3.96,-0.792,-8.455,29.69,26.085,32.675,3.4875,65.305,1.17,0.2,94.98475,-21.01,1.5225
3,10.25,-4.15,-7.58,7.05,-0.6825,-7.965,26.9125,33.8625,47.045,4.455,94.52,1.8385,0.13125,95.00925,-16.545,1.5225
3,10.75,-5.755,-5.03,9.39,-0.6942,-7.575,25.4375,42.6675,58.59,5.88,111.96,1.3495,0.18225,95.0415,-17.685,1.6
3,11.25,-5.9,-2.47,16.4075,-0.7182,-7.185,23.7225,22.875,34.325,3.8,74.81,1.1015,0.13375,95.11575,-12.2925,1.6225
3,11.75,-15.93,0.15,7.625,-0.684,-6.85,22.125,45.615,63.9075,6.42,122.1325,0.616,0.2,95.14125,-10.9725,1.6225
3,12.25,-7,3.0575,10.655,-0.6924,-6.56,19.9125,57.1775,78.37,8.0025,150.435,1.055,0.1715,95.15025,-9.355,1.6225
3,12.75,-3.12,4.535,10.35,-0.6204,-6.3375,18.7725,55.8125,75.18,7.6875,144.1075,1.12975,0.173,95.14025,-6.8975,1.6225
3,13.25,-5.68,7.185,10.545,-0.5988,-6.06,17.8925,66.225,91.1975,11.4525,178.54,1.1465,0.173,95.10025,-7.5175,1.745
3,13.75,-1.9,0.805000000000001,12.5,-0.5844,-5.76,16.8025,43.5925,58.7975,7.2625,113.99,0.84425,0.171,95.06125,-7.4,1.745
3,14.25,-3.8275,0.3875,13.1975,-0.5502,-5.6375,16.295,44.53,65.0125,8.28,119.58,1.42,0.1715,95.0235,-9.055,1.745
3,14.75,-2.32,2.98,7.895,-0.6354,-5.505,16.98,52.475,76.7375,11.0375,140.19,1.435,0.15,95.009,-9.61,1.745
3,15.25,-1.78,3.75,7.0025,-0.627,-0.84,16.8,41.54,65.94,8.5725,116.92,1.3125,0.09625,95.04,-8.8525,1.745
3,15.75,-0.9875,0.875,6.25,-0.5838,-5.84,16.7075,34.875,63.7375,8.14,106.065,1.324,0.12175,95.04475,-14.3725,1.8225
3,16.25,-0.7875,1.0525,8.325,-0.5466,-6.33,16.435,15.64,39.8875,5.25,71.4825,1.30175,0.1415,95.078,-17.7325,1.8175
3,16.75,-2.445,0.0625,6.0875,-0.4986,-6.2125,17.3425,4.9425,30.29,3.3275,58.5325,0.951,0.0845,95.21225,-17.215,1.8225
3,17.25,-0.5,-19.35,3.3,-0.4899,-6.325,18.4275,1.1,24.1925,3.205,46.8125,0.998,0.08175,94.9915,-23.0875,1.9
3,17.75,-0.67,-39.745,3.1,-0.5742,-6.3825,19.68,-27.41,12.225,1.5,22.095,1.0205,0.1015,95,-26.8525,1.9225
3,18.25,-0.3,-58.9125,-0.6725,-0.6093,-6.6175,23.3675,-66.05,2.04,0.135,2.42,0.6155,0.06025,95.0625,-31.945,2
3,18.75,-0.67,-62.76,-7.85,-0.459,-6.63,26.5025,-70.9625,0,0,0,0.844,0.04875,95.06575,-35.865,2
3,19.25,-1.05,-62.9,-4.365,-0.4872,-6.6975,29.5825,-67.3425,0,0,0,0.63,0.04,95.0745,-39.87,2
