DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,H2O,NETRAD,PPFD_IN,PPFD_OUT,PPFD_BC_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,W_SIGMA,V_SIGMA
6,18.75,1.72825,0.849,45.014,-0.353,0.587,1.1485,421.549,402.2,19.59625,30.12075,261.42077965,17.366,9.914,130.886,33.423,422.896,432.6085,23.855,78.125,3.2955,101.4,18.2525,17.4425,16.6025,15.9725,14.535,12.2325,18.745,18.2325,17.33,15.99,14.34,12.2025,8.946,10.899,8.778,9.492,0.7433,1.146
6,19.25,3.603,2.288,26.84775,-5.57925,0.4945,1.742,422.82925,403.95,19.534,-5.5355,139.9935108,0,5.83025,57.61475,18.53525,420.0955,428.9675,23.34,80.15,3.064,101.4,18.21,17.4625,16.66,15.9925,14.55,12.24,18.685,18.2025,17.33,16.0125,14.34,12.2,8.295,10.185,8.085,8.61,0.6375,0.981
6,19.75,5.47625,3.9515,16.577,-6.0235,0.4405,2.36125,424.782,407.95,19.3245,-28.054,67.3007985,0,1.457,14.7875,6.907,416.8375,425.5705,22.775,83.05,2.931,101.4,18.1625,17.4625,16.6625,15.995,14.5425,12.2425,18.6325,18.1725,17.34,16.0325,14.34,12.2,7.539,9.471,7.392,7.854,0.5709,0.9255
6,20.25,6.621,5.05125,12.74175,-5.20625,0.38725,2.51675,426.27,411.35,19.012,-32.308,21.04951985,0,0.111,-0.3545,2.392,415.985,422.414,22.08,85.2,2.7875,101.4,18.08,17.455,16.67,16.0125,14.55,12.2425,18.53,18.1125,17.345,16.0425,14.3575,12.2025,6.909,8.61,6.699,7.014,0.48405,0.8518
6,20.75,6.5155,5.34,9.483,-3.775,0.393,2.38925,427.433,416.9,19.005,-31.6045,0,0,0.051,-1.666,2.02975,413.648,419.6595,21.74,86.8,2.79475,101.4,18.0025,17.4575,16.675,16.0225,14.54,12.25,18.385,18.0625,17.3575,16.0625,14.355,12.2,6.174,7.791,6.006,6.216,0.47625,0.787175
6,21.25,6.58925,5.5155,8.675,-4.95025,0.36975,1.994,428.28125,420.05,19.0695,-29.1085,0,0,0.043,-1.483,2.115,411.6085,417.99,21.43,86.9,2.786,101.4,17.91,17.4125,16.69,16.04,14.54,12.25,18.3,17.9925,17.345,16.07,14.3575,12.2025,5.586,7.077,5.418,5.586,0.472825,0.764275
6,21.75,6.225,5.8365,8.68825,-5.667,0.376,1.817,429.5095,422.15,18.958,-30.07125,0,0,0.043,-1.486,2.153,410.355,416.401,21.29,88.55,2.8255,101.4,17.855,17.385,16.6925,16.04,14.54,12.245,18.1925,17.9275,17.34,16.0825,14.36,12.2025,5.019,6.363,4.935,4.998,0.488925,0.834375
6,22.25,6.78025,5.77,7.27525,-5.69425,0.375,1.826,430.58975,424.75,18.94625,-28.88625,0,0,0.043,-1.321,2.046,408.8705,416.8205,21.19,90.2,2.87825,101.4,17.7725,17.4,16.7025,16.06,14.5375,12.2425,18.075,17.8825,17.33,16.0925,14.36,12.21,4.599,5.691,4.515,4.515,0.4814,0.7983
6,22.75,6.588,6.075,8.6975,-6.265,0.408,1.76825,431.925,427.2,18.93375,-28.328,0,0,0.043,-1.362,2.06075,407.68775,415.80325,20.9925,90.05,2.985,101.4,17.72,17.3425,16.7025,16.06,14.54,12.2425,17.945,17.7975,17.3125,16.105,14.3675,12.21,4.137,5.2185,4.074,4.2,0.5128,0.8857
6,23.25,6.448,5.921,7.95275,-7.933,0.428,1.78675,431.58525,428.95,18.758,-28.01675,0,0,0.035,-1.355,2.01875,406.7165,415.23275,20.93,90.175,2.9985,101.4,17.6425,17.3125,16.6925,16.07,14.5425,12.25,17.82,17.7225,17.285,16.135,14.36,12.2025,3.948,4.83,3.6855,3.864,0.5192,0.9219
6,23.75,6.95,6.0875,8.54625,-8.39325,0.47,1.678,432.3965,429.15,18.84175,-25.7625,0,0,0.034,-1.3425,1.9505,405.9515,415.8385,20.7275,90.725,3.05925,101.4,17.6,17.28,16.6825,16.0825,14.55,12.2525,17.72,17.645,17.2425,16.1325,14.36,12.205,3.57,4.536,3.528,3.5385,0.5667,0.9383
