DOY2,HR2,CO2,FC,G_1_1_1,G_2_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TAU,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD,V_SIGMA,WS,W_SIGMA,TA_2_1_1,TA_1_1_2,TS_1_5_1
1,21.25,383.0538777,0.497805765,-6.847,-4.1742,-13.22916386,3.712072433,3.974423643,262.3,294.3,-23.77,99.19020244,0.0115,0,83.3,-0.000817149,-0.186668719,-0.0540613115,-0.643,0.538,-0.096468744,-4.477,-0.225,-0.033,0.841,1.791,3.1165,-0.474,-0.5,0.6,1.8,6.516,-3.459,-3.651160607,0.273224928,0.744854328040054,0.722466161,0.570717741970582,3.447037212,0.325322991809678,-5.768,-1.9075655,3.95
1,21.75,383.0643848,0.3597563225,-6.849,-4.1503,-12.68428237,3.6412234185,4.588568397,262.7,292.6,-24.36,99.190603425,0.0155,-5e-04,83.7,0.00044755,-0.224200695,-0.051412882,-0.687,0.548,-0.094434417,-4.586,-0.2005,-0.042,0.842,1.767,3.1,-0.483,-0.5,0.6,1.8,6.5335,-3.6905,-3.6821932895,0.2704424545,0.743900972199147,0.693792393,0.563731358211607,3.2309861715,0.311870372774622,-5.7,-1.995413,3.95
1,22.25,382.7443405,0.4247145215,-6.8495,-4.1357,-13.02920467,3.630858972,4.8040710335,260.6,292.4,-24,99.19002454,0.013,0,84,0.003726419,-0.223347559,-0.044331263,-0.777,0.581,-0.095493281,-4.971,-0.259,-0.0335,0.8335,1.7845,3.1,-0.484,-0.5,0.6,1.8,6.509,-3.7875,-3.939994276,0.27159948,0.738921481620341,0.6390801765,0.553447899986982,3.339922629,0.327213794024641,-5.9475,-2.08618,3.9415
1,22.75,382.5080844,0.4354163315,-6.8045,-4.1128,-10.952226735,3.553886097,3.939646169,259.7,291.6,-22.22,99.19006274,0.012,0,83.8,-0.00028009286,-0.273690991,-0.064527742,-0.853,0.629,-0.090980634,-5.174,-0.2825,-0.066,0.833,1.799,3.1,-0.5,-0.5,0.6,1.8,6.5335,-4.1605,-4.4056608435,0.2671032845,0.692516885364984,0.657875579,0.552418526167219,3.2480980135,0.319321184410828,-5.992,-2.111035,3.9415
1,23.25,382.5922044,0.490921704,-6.809,-4.121545,-10.10844159,3.607447234,3.539904868,258.7,291.4,-23.54,99.19008588,0.013,-0.003,84.1,0.004977363,-0.210615096,-0.0477115085,-0.826,0.603,-0.099112258,-5.334,-0.2915,-0.059,0.8255,1.8,3.1,-0.5,-0.5,0.6,1.8,6.5255,-4.379,-4.66336323,0.279528914,0.710788597967075,0.652806208,0.590991450022756,3.310686247,0.315798484796872,-5.978,-2.124733,3.95
1,23.75,383.5038138,0.438123906,-6.71346,-4.30459,-10.17310388,3.542766789,3.896333002,258.1,290.7,-25.82,99.19020858,0.012,-5e-04,83.55,0.0069506085,-0.2011100135,-0.0463711375,-0.781,0.672,-0.091167064,-5.481,-0.3,-0.058,0.841,1.7495,3.1,-0.5,-0.5,0.584,1.8,6.5,-4.405,-4.808912341,0.271105858,0.730783573980696,0.62763199,0.540956758900376,3.200831189,0.307720839398309,-5.9525,-2.1524715,3.8335
2,0.25,390.50625955,0.5104131405,-6.81,-4.957,-9.633181482,4.173568612,4.086301109,268.35,301.1,-27.665,99.08479932,0.0045,-0.003,86.25,0.008773349,-0.2049038385,-0.021405926,-0.9065,0.638,-0.069104446,-3.0625,-0.2,0.175,0.9,1.509,2.283,-0.217,-0.4,0.6,1.3175,5.9,-1.6585,-2.340834826,0.231860106,0.692995577186464,0.7389556995,0.493197725055581,2.966470453,0.2722529816182,-0.636,-2.592458,2.9755
2,0.75,390.3742572,0.4535722655,-6.09,-5.036,-9.527377742,4.206847732,3.0653530435,268.15,299.75,-30.955,99.090377,0.002,-0.003,85.65,0.001863312,-0.121016317,0.00988862,-0.9865,0.721,-0.06498612,-3.0645,-0.2,0.1915,0.9,1.5085,2.2755,-0.217,-0.4,0.6,1.3245,5.9,-1.963,-2.281756241,0.224531648,0.632166470164307,0.730508764,0.473235225865531,2.940748088,0.258279517190195,-0.8195,-2.806563,2.9835
2,1.25,390.5796414,0.367106131,-5.868,-4.601,-8.9835125505,4.236054046,3.5134974995,265.45,298.8,-30.86,99.094847695,0.0025,-0.003,85.55,0.0071804195,-0.156640781,-0.048318332,-1.0155,0.6955,-0.05671761,-3.3005,-0.2,0.1835,0.9,1.517,2.283,-0.2325,-0.4,0.6,1.325,5.9,-1.9035,-2.5283140475,0.2118273265,0.617960793565562,0.7353642775,0.469910628899513,2.931539618,0.262660206070903,-1.198,-2.8911605,2.9835
2,1.75,390.99604785,0.438816892,-5.835,-4.65462,-9.922641737,4.1961150415,2.401626923,268.7,299.45,-24.295,99.097423,0.003,-0.003,86.55,0.0151423425,-0.1569769245,-0.024961814,-0.9945,0.7105,-0.0679486745,-3.319,-0.2,0.175,0.8915,1.5255,2.275,-0.2325,-0.4,0.6,1.333,5.9,-1.9985,-2.4945920355,0.2348241825,0.655861360324079,0.720823303,0.487360160928372,2.927962853,0.268045845711479,-1.6835,-3.161372,2.9915
