DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2_1_1,WS,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2,TS_1,TS_2
2,1.75,1.7331145516,15.7355472225,23.8567875,0.2774,-2.4535,-2.736,91.235,0.430339499999999,92.16,0.699250000000001,4.15315,0.549071625,0.4645051,-3.0708,9.31,-0.631150000000001,-0.5207,0.35405,-0.553049999999999,-0.424499999999999,-0.41385,430.875,-11.979,-11.36875
2,2.25,3.53117600000001,19.76055,31.1564425,0.33925,-2.73605,-2.8008,91.045,0.4348025375,92.16,0.8392,6.36149999999997,0.5342718,0.5329951,-3.1886,8.57,-0.6682875,-0.5104125,0.35405,-0.55465,-0.414975,-0.3924,424.14,-12.03625,-11.51025
2,2.75,2.852657644625,15.008825,28.658731785,0.364874999999999,-2.3865,-2.8546,92.03,0.4189873725,92.155,0.7474,2.1935,0.5105278,0.477188775,-3.3414,8.65,-0.71735,-0.517075,0.355,-0.55765,-0.462549999999999,-0.3928,426.7825,-12.08525,-11.5475
2,3.25,1.906569828,23.59162,13.44774,0.29995,-2.41045,-2.821,92.2,0.4500217468,92.165,0.85145,5.05792499999998,0.555847149999999,0.542686074999999,-3.3052,8.67,-0.729975,-0.524487500000001,0.3531,-0.5639,-0.534649999999999,-0.44295,426.9275,-12.0325,-11.50925
2,3.75,5.07733834279999,24.95715,25.019905525,0.341099999999999,-2.69265,-2.8436,91.7,0.4353608,92.165,0.90075,5.74827499999999,0.53694255,0.514207725,-3.2784,8.54,-0.7260125,-0.4822625,0.3522,-0.57155,-0.561049999999999,-0.48745,426.7375,-11.985,-11.44725
2,4.25,2.870895974425,18.028835,21.001298958,0.380899999999996,-2.26185,-2.7684,91.515,0.42850725,92.13,1.01365,3.73185000000001,0.465916299999998,0.486797625,-3.2148,8.64,-0.728125000000001,-0.4867125,0.35415,-0.5667,-0.611649999999999,-0.539699999999999,448.5475,-12.00975,-11.53725
2,4.75,2.316495022375,15.41435,29.9421254325,0.324399999999999,-2.6613,-2.8252,91.705,0.4064765694,92.13,0.72395,2.00259999999999,0.44677685,0.469261575,-3.1734,9.31,-0.727300000000001,-0.500162500000001,0.3541,-0.5647,-0.63915,-0.552049999999999,478.8625,-11.98,-11.4205
2,5.25,1.813228357,19.789965,17.313938732,0.2228,-2.78374999999999,-2.814,92.32,0.3916477,92.065,0.7581,2.059,0.53615535,0.51010815,-3.2238,9.52,-0.727062500000001,-0.48425,0.35205,-0.563449999999999,-0.6656,-0.548249999999999,499.325,-12.006,-11.3305
2,5.75,2.39940547425,18.7847749999999,34.174195,0.2606,-2.6949,-2.8134,92.915,0.4246991,92.035,0.8711,4.026,0.50536325,0.451222675,-3.3036,9.09,-0.725925000000002,-0.47465,0.35115,-0.558949999999999,-0.65975,-0.543249999999998,471.0825,-12.0135,-11.37425
2,6.25,2.197,19.4326,11.5215175,0.33545,-2.55385,-2.8532,92.32,0.4272361299,92.03,0.79865,4.74067500000001,0.536026875,0.493494449999999,-3.3184,9.26599999999999,-0.722212500000002,-0.473950000000001,0.353,-0.557699999999999,-0.6616,-0.541599999999999,445.2925,-11.98725,-11.4975
