DOY2,HR2,H,SH,LE,SLE,FC,SC,TAU,CO2,CO2_SIGMA,H2O,H2O_SIGMA,U_SIGMA,V_SIGMA,W_SIGMA,WS,USTAR,T_SONIC,T_SONIC_SIGMA,TA,RH,PA,VPD,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_1_2_1,SW_IN,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT
7,4.25,-23.314972905,-1.98324,-1.17945113625,-2.0949275,-0.020651104,-0.0484,-0.074825,378.62493235,0.58663212,16.24355,0.0937251685,0.43736,0.3800875,0.125336,1.744764421,0.12350625,22.5214725,0.26600275,20.3625,35.8125,85.3,8.04711477,19.495,18.2275,22.885,-33.74181,-31.28645,-0.001411717,-0.0551917625,-60.0745,1.79e-05,-0.174959775
7,4.75,-23.778875,-1.9976575,-1.118812696,-1.6966275,-0.006445,-0.05845,-0.05935,378.90075,0.5855965,15.937825,0.09264545,0.4304645,0.394125,0.12572175,1.56105604875,0.1185415,22.34325,0.275409,20.11,36.435,85.3,7.73574926025,19.315,17.94,22.76,-33.3848625,-30.9744625,0.0307325,-0.041359975,-58.969,0.0666413475,-0.14924705
7,5.25,-19.69845,-1.30723,-1.13037,-1.429155,-0.0080926885,-0.051375,-0.058575,378.54925,0.5416591375,16.008575,0.10149944025,0.42223875,0.37992325,0.12587775,1.561395,0.11081275,22.362925,0.2682585,20.055,36.7375,85.3,7.50679967975,19.005,17.685,22.64,-33.359715,-30.550015,3.975375,0.7905842,-53.4645,8.63377875,0.8943129
7,5.75,-17.048075,-1.4185875,-0.702588799,-1.303135,-0.00896,-0.07095,-0.0623,378.61575,0.533677355,15.950725,0.11713910925,0.43357675,0.3987825,0.137432,1.449735,0.1175432,22.437275,0.263696,20.435,36.72,85.4,7.3661312935,18.81,17.61,22.48,-31.0560775,-28.80625,31.7539425,7.20278425,-34.085,68.718195,7.88749375
7,6.25,-8.2717050705,-1.30606,4.26768,-0.72482075,-0.3415835,-0.074875,-0.078,378.9045,0.465732652,16.29655,0.14044958375,0.4890585,0.3606315,0.14613375,1.2551540505,0.13187615,22.6693,0.24808625,21.63,34.12,85.4,7.94755594975,19.375,18.38,22.3,-26.3505275,-24.823,86.73046,18.8461025,6.415,183.843525,21.181255
7,6.75,0.8366265,0.571013,10.1797910325,0.059075,-0.7798745655,-0.096712,-0.101538,379.47725,0.43373988225,16.434125,0.15138879875,0.48333475,0.43510125,0.198934,1.092010497,0.16182725,23.2599725,0.23537075,22.795,32.665,85.4,8.7908471955,20.27,20.605,22.715,-19.616145,-18.984,148.2625,29.93238,53.599095,315.67105,36.8262175
7,7.25,16.923125,1.605935,15.8547821175,-1.431465,-1.22443,-0.10522275,-0.1323675,378.885361375,0.553983385,16.28835,0.14771798875,0.51941225,0.490113,0.25446925,1.1374925,0.180207425,23.765775,0.2974905,23.2625,30.555,85.4,10.72432934,21.515,23.23,22.88,-8.915689,-13.1895,228.1,46.0947925,117.25,491.313275,60.0345275
7,7.75,40.271725,1.2643025,20.956421585,-3.0415475,-1.40686880425,-0.049625,-0.14547625,378.7817804,0.6665092125,16.447575,0.1536775465,0.60848,0.609208,0.31280725,1.2830375,0.2006245,24.44686,0.373682,23.88,28.8175,85.4,11.481,23.48,25.305,23.055,-4.455825,-7.4424805,329.273825,67.2807525,189.9,711.79785,83.840175
7,8.25,66.49117137,1.3467375,26.789240065,-2.317795,-1.5510225,-0.023475,-0.15691625,378.84618065,0.78170128575,16.240275,0.15201929825,0.7276745,0.7038515,0.350732,1.33574,0.2226404,24.93307,0.45378,24.71,27.7825,85.4,12.9735999175,25.64,27.76,23.215,-2.062963,5.46332925,430.8125,89.9895025,264.25,915.6996,116.047975
7,8.75,98.331794595,1.4872725,28.3189,-2.1802775,-1.711425,-0.00714,-0.176611,379.26525,0.9023719175,16.202575,0.1622303005,0.8201095,0.83700575,0.40022925,1.32516342425,0.2343398,25.482475,0.5515285,25.425,25.9075,85.4,14.23203541,27.87,29.955,23.495,0.5561282,15.07203,520.571125,104.610075,336.2,1143.864,140.169075
7,9.25,120.2435714,1.51267,30.291583495,-2.3440025,-1.95322,0.0112,-0.189169,379.84225,1.003406617,15.8268,0.150327911,0.91614,0.900878,0.4218245,1.3914575,0.24780875,25.96246,0.6276205,25.88,25.1925,85.4,15.5395,30.195,31.985,24.065,7.3371,31.2063375,609.844925,125.6404,409.55,1341.63275,171.433225
7,9.75,151.356,1.51299,33.3938,-2.49211,-2.106625,-0.00719,-0.2117705,379.906,1.08412876,15.6033,0.1490590065,1.0005125,0.998106,0.441047,1.43287,0.274919,26.47027,0.7163905,26.56,23.49,85.4,16.7525,32.645,34.165,24.55,12.384,43.827815,722.975175,147.28475,470.77995,1588.425,203.142025
7,10.25,179.676,1.670485,33.367,-2.82517,-2.303043847,-0.008595,-0.225414,380.065,1.18273386,15.2526,0.154606934,1.10061,1.12194,0.474603,1.50012,0.268393,27.2395,0.800473,27.165,22.395,85.4,18.0485,34.8325,36.09,25.3325,7.1329,52.645745,763.44055,161.02005,508.72875,1631.97075,222.484675
