DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2,H2O,NETRAD,PPFD_IN,PPFD_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
2,9.25,-0.261375,-0.234875,-1.2949,-37.94685,0.0438,-0.50695,391.0894,0.7711,-24.599,58.5501,4.0586,-15.477,56.931,0.1575,96.57,-3.2959,-2.2859,-1.8971,-1.3896,-0.131875,1.366,-10.51,-2.46665,-2.7584,-1.7142,-0.40445,1.5454,-10.8,-16.2575,0.11497,0.22472
2,9.75,-0.4188,-0.6376,-0.459325,-28.1496,0.068,-0.56155,391.62725,0.8132,-27.735,75.8544,5.23105,-14.302,56.244,0.2352,96.6,-3.261,-2.38,-1.90015,-1.47725,-0.246175,1.455875,-10.49,-2.4607,-2.89995,-1.6612,-0.1981,1.55455,-8.33,-13.615,0.16129,0.26305
2,10.25,-0.6157,-0.562875,-1.0215,-28.828725,0.117875,-0.531975,391.171425,0.803325,-22.186,100.7712,7.27905,-13.67375,53.31025,0.387725,96.7091,-3.1442,-2.314175,-1.87765,-1.68805,-0.1854,1.500175,-10.48025,-2.3501,-2.9386,-1.5042,-0.262225,1.445925,-7.418675,-11.405,0.20041,0.333495
2,10.75,-0.551725,-1.153875,0.189125,-19.85325,0.115625,-0.56165,390.48325,0.776875,-24.29,116.24365,8.6595,-13.1015,50.96225,0.57335,96.7147,-3.091075,-2.256325,-1.873025,-1.619,-0.069225,1.4731,-10.47025,-2.22395,-2.8046,-1.445725,-0.29715,1.515775,-6.9722,-9.738,0.2358675,0.399105
2,11.25,-0.8424,-1.08325,1.21365,-23.138375,0.140375,-0.51875,390.12275,0.78325,-17.2715,139.033725,9.576,-12.68575,49.28825,0.664175,96.9,-3.08605,-2.274025,-1.817475,-1.538525,-0.06565,1.276325,-10.46,-2.207625,-3.157,-1.6844,-0.27665,1.3967,-6.588975,-8.414,0.26818,0.475365
2,11.75,-0.9247,-1.3797,0.666,-25.84885,0.1364,-0.34665,390.0254,0.755125,-21.1235,153.3086,9.98275,-12.334,49.254,0.6979,96.9675,-3.05615,-2.269075,-1.82655,-1.6406,-0.0331999999999999,1.37205,-10.4605,-2.21955,-2.666425,-1.618675,-0.2013,1.4377,-6.115,-7.15825,0.27476,0.5262325
2,12.25,-0.9477,-1.5129,0.608600000000001,-14.6936,0.1273,-0.3331,389.9821,0.776925,-14.245,146.879,10.0485,-12.14675,48.747,0.743,97.07,-2.981025,-2.211075,-1.7802,-1.607375,-0.16975,1.387375,-10.45025,-2.29935,-2.6236,-1.5906,-0.21305,1.45895,-5.63265,-6.508,0.277505,0.534875
2,12.75,-1.2009,-1.77545,-0.391,-10.7888,0.139825,-0.36035,390.288875,0.738,-15.088,147.6623,10.98,-11.9965,46.94625,0.73155,97.1835,-2.995,-2.212275,-1.79025,-1.516075,-0.2473,1.512725,-10.44225,-1.9186,-2.48865,-1.266,-0.2504,1.5569,-5.19285,-5.9934,0.282525,0.47676
2,13.25,-1.141475,-1.52555,-0.0975,-17.27425,0.138875,-0.28755,389.9442,0.78415,-2.39475,146.948125,10.145,-11.7,47.5875,0.83275,97.2,-2.972,-2.2,-1.701,-1.51425,-0.1617,1.404,-10.43,-1.957,-2.601,-1.3168,-0.233,1.421,-4.73885,-5.844475,0.31778,0.52654
2,13.75,-1.23405,-1.109375,1.0616,-11.96925,0.15775,-0.3359,389.6934,0.790175,-5.651125,118.325,9.4325,-11.46775,46.4375,0.78455,97.14785,-3.0035,-2.18805,-1.745,-1.67805,-0.2501,1.479,-10.43,-1.8868,-2.505,-1.2163,-0.0925,1.44915,-4.3589,-5.52065,0.299145,0.532315
