DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,SC,G,H,LE,PA,RH,T_SONIC,T_SONIC_SIGMA,TA,VPD,TS_1_1_1,TS_1_2_1,TAU,U_SIGMA,USTAR,W_SIGMA,WS
2,14.75,386.8648974,1.7405454025,7.9609597765,0.0258187525,-4.5965667315,0.0651271435,19.49,178.18743885,99.392679395,99,43.331672145,21.192505735,0.414456022,16.24547418,10.117868925,17.36,15.55,-0.5032065075,1.30475692,0.64529,0.767314518,2.754
2,15.25,386.7286455,1.447819735,7.910694054,0.024027637,-4.279317422,0.0936510895,18.72,153.5617394,95.212552545,99,42.661634635,21.49991607,0.360257522,16.552823255,10.31185584,17.125,15.545,-0.470548425,1.274392297,0.624003909,0.7395135245,2.581
2,15.75,386.2207506,1.21030499,7.999166078,0.025004088,-4.046365372,0.0848074725,16.59,121.6546609,89.58399686,99,41.894864275,21.608374655,0.329164175,16.77670815,10.419832175,16.21,15.215,-0.467094889,1.251105119,0.617023505,0.732115735,2.6205
2,16.25,386.5642026,0.840851007,8.052580467,0.0222679,-3.1707943535,0.0412199885,13.28,76.024629765,74.26771509,99,41.54041245,21.548798735,0.2443582395,16.68590615,10.427283105,15.965,15.285,-0.399878056,1.177603599,0.57355,0.674703399,2.5295
2,16.75,386.0060292,0.537212477,8.144967563,0.0219871305,-2.2707577795,0.002793893,10.13,40.68693231,68.699661105,99,41.773257875,21.46801433,0.187261366,16.506789515,10.50302956,15.84,15.35,-0.33940127,1.075663803,0.52888391,0.609440585,2.289
2,17.25,385.687466,0.283330369,8.2607507385,0.022748279,-1.406285001,-0.020388263,6.592,3.16966373,53.41348918,99,42.63448319,21.46373488,0.127601125,16.47816141,9.96441319,15.74,15.29,-0.290796324,1.023150757,0.487793709,0.572243151,2.216
2,17.75,385.9849096,0.2122580965,8.273189622,0.017617672,-0.478412165,-0.070240173,3.657,-15.640264675,36.052147875,99,44.02427494,21.176226935,0.153704417,16.34810167,9.58336956,15.225,14.945,-0.1862223475,0.870419579,0.3934189445,0.46770668,1.9915
2,18.25,386.28183005,0.3542972285,8.151029271,0.009431497,0.1239538855,-0.1820728415,1.494,-28.25637637,22.08630962,99,46.24486114,20.701611095,0.213532851,15.703780995,9.31514644,14.6,14.565,-0.093883373,0.685644577,0.2836121435,0.3720275575,1.918
2,18.75,386.80714895,0.449825736,8.385533703,0.005769611,0.312308515,-0.193888872,-0.813,-35.4221651,13.696501595,99,47.59847335,20.18243914,0.227554458,15.028051735,8.555223905,14.11,14.43,-0.058310996,0.55545316,0.22134316,0.297572561,1.975
2,19.25,386.8973926,0.554619848,8.4146024735,0.005581766,0.401375337,-0.198918469,-3.017,-33.26353696,9.861447883,99.1,48.23717889,19.89585923,0.235803294,14.71135549,8.33435645,13.825,14.33,-0.063958124,0.545351973,0.2310854895,0.2809148665,2.0615
