DOY2,HR2,USTAR,TA,WS,NEE,FC,H,LE,TS_1_1_1,TS_1_2_1,RH,PA,CO2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,SC,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1
2,12.25,0.72841,-4.99345,3.239,0.60408,0.762,142.62,9.198,0.381,0.358,67.648,98.344,408.56,233.741,697.129,347.75,70.229,260.63,300.72,3.049,-0.40207,0.525,0.78333,1.425,1.8,3.6833,5.05
2,12.75,0.7395,-4.84985,3.31325,0.549275,0.793,149.82,9.82,0.395,0.362335,65.522,98.3185,408.21,235.79,733.88,357.87,70.316,262.1615,301.454,3.043,-0.35108,0.525,0.79167,1.425,1.8,3.7,5.05
2,13.25,0.735395,-4.5406,3.3351,0.67657,0.732315,148.121,10.357,0.404,0.358,63.9215,98.323,407.98,224.49,697.8725,335.39,68.9805,260.41,302.19,3.05205,-0.27922,0.525,0.8,1.425,1.8,3.7,5.05
2,13.75,0.75583,-4.34185,3.318,0.61963,0.7285,142.474,9.305,0.388,0.375,63.123,98.313,407.81,218.558,660.365,334.44,65.778,261.641,302.03,3.02375,-0.30443,0.50833,0.78333,1.425,1.8,3.6833,5.05
2,14.25,0.733,-4.229,3.403,0.58363,0.673645,132.5105,8.6485,0.393,0.367,62.48,98.3,407.46,188.18,602.9365,289.18,58.634,262.01,302.195,2.981,-0.169305,0.525,0.8,1.425,1.8,3.667,5.0167
2,14.75,0.71911,-4.1333,3.36475,0.69151,0.721,114.17,8.4217,0.409,0.371,63.328,98.301,407.46,163.545,526.9549675,257.43,51.329,264.195,302.53,3.0087,-0.073477,0.51667,0.8,1.4167,1.8,3.6667,5.0167
2,15.25,0.70651,-4.1215,3.4097,0.655335,0.690265,90.0585,7.5405,0.438,0.359,62.5305,98.3065,407.365,131.33,442.78,218.57,45.029,263.44,302.12,2.988,-0.078518,0.49167,0.78333,1.4167,1.833,3.7,5.033
2,15.75,0.712105,-4.15095,3.31035,0.71317,0.684,75.997,6.3188,0.432,0.367,62.8035,98.313,407.19,104.64,355.365,174.28,37.765,261.165,302.28,2.9639,0.061113,0.50833,0.78333,1.425,1.8,3.667,5.05
2,16.25,0.6775,-4.22045,3.1766,0.60978,0.584,51.8155,4.51095,0.449,0.354,63.103,98.3155,407.16,63.328,259.8915,129.0275,27.5525,261.55,301.4,2.9565,0.11115,0.50833,0.79167,1.425,1.8,3.667,5.05
2,16.75,0.644185,-4.406,3.1455,0.66526,0.523,29.4115,3.20835,0.456,0.3665,64.7775,98.3135,407.15,28.382,167.6285695,82.28,18.3035,260.885,301.1,3.008,0.209825,0.50833,0.79167,1.425,1.8,3.6833,5.05
2,17.25,0.61335,-4.5355,3.0663,0.66669,0.51105,12.631,1.932,0.458,0.354,66.3525,98.3135,406.98,2.7072,91.531,45.763,11.3595,261.51,300.53,2.9773,0.25085,0.5,0.76667,1.425,1.8,3.667,5.0333
2,17.75,0.5585,-4.815,2.8567,0.661,0.41311,-2.45315,0.524,0.462,0.358,67.973,98.319,406.92,-22.099,27.254,12.021,4.117,261.335,299.117,2.997,0.34714,0.51667,0.78333,1.425,1.8,3.7,5.05
2,18.25,0.51463,-5.0754,2.7646,0.65648,0.35445,-10.067,0.0758915,0.454,0.358,69.022,98.333,407.12,-33.475,2.583,0.20182,1.2119,260.71,300.175,3.0034,0.384365,0.49167,0.79167,1.425,1.8,3.6833,5.0333
2,18.75,0.48462,-5.333,2.749,0.665,0.35929,-11.071,-0.10906,0.458,0.3625,69.972,98.33,407.09,-31.99,0.037,-1.029,0.61763,257.27,296.709,3.0496,0.32917,0.5,0.8,1.425,1.8,3.667,5.0333
2,19.25,0.4605,-5.587,2.6829,0.628855,0.378505,-11.594,-0.12186,0.457,0.3625,70.792,98.349,407.02,-32.9625,0.013,-1.129,0.52727,256.773,296.75,3.031,0.25983,0.49167,0.79167,1.425,1.8,3.667,5.0333
2,19.75,0.461585,-5.838,2.70745,0.589925,0.31729,-12.0085,-0.12635,0.445,0.35,72.936,98.348,407.03,-34.212,0.013,-1.0687,0.54024,255.8305,295.11,3.058,0.24911,0.48333,0.79167,1.4167,1.8,3.667,5.0333
2,20.25,0.479195,-5.955,2.7575,0.526,0.339595,-12.563,-0.171635,0.445,0.3665,73.417,98.356,407.34,-34.098,0.013,-0.90385,0.52938,256.19,296.045,3.0872,0.15399,0.5,0.79167,1.425,1.8333,3.667,5.0333
2,20.75,0.462,-6.152,2.832,0.500495,0.3072,-12.9445,-0.18,0.44,0.358,74.793,98.351,407.3,-33.599,0.012985,-0.97,0.53553,256.495,294.405,3.0826,0.156575,0.5,0.79167,1.4083,1.8,3.667,5.05
2,21.25,0.4575,-6.189,2.7135,0.581645,0.35715,-14.012,-0.163,0.436,0.354,74.906,98.359,407.38,-31.221,0.013,-0.91922,0.542705,257.59,295.055,3.1271,0.19183,0.5,0.79167,1.4167,1.8,3.6667,5.033
2,21.75,0.43529,-6.307,2.7062,0.59301,0.34308,-13.6875,-0.15481,0.428,0.358,75.83,98.344,407.55,-34.276,0.013,-0.92281,0.52315,260.165,294.84,3.123,0.1694,0.5,0.775,1.425,1.8,3.65,5.0167
2,22.25,0.422,-6.545,2.762,0.5774,0.3608,-13.64,-0.207,0.422,0.371,77.063,98.344,407.65,-30.888,0.013,-0.940805,0.466895,258.18,293.88,3.103,0.105825,0.5,0.8,1.4167,1.8,3.667,5.0333
2,22.75,0.44746,-6.613,2.755,0.54582,0.37844,-12.484,-0.18546,0.429,0.375,77.252,98.339,407.76,-29.267,0.0133235,-0.8587,0.40756,258.57,294.08,3.085,0.15199,0.49167,0.80833,1.4167,1.8,3.6667,5.0333
2,23.25,0.456115,-6.6923,2.83905,0.567,0.38663,-13.2545,-0.194,0.429,0.375,77.4595,98.331,407.925,-29.568,0.014,-0.88995,0.472375,259.39,294.48,3.07745,0.144615,0.49167,0.79167,1.425,1.8,3.667,5.033
2,23.75,0.45945,-6.8672,2.75045,0.55263,0.35,-12.936,-0.14716,0.392,0.367,77.679,98.325,408.07,-30.342,0.014,-0.896,0.520895,256.36,294.32,3.1251,0.12346,0.495835,0.775,1.4292,1.8,3.667,5.0167
3,0.25,0.373,-2.291,2.745,0.63685,0.461945,-17.538,-0.024,0.419,0.425,74.386,98.51,409.27,-62.3145,0.0122955,-2.0666,0.714,248.085,306.24,3.894,0.12913,0.51667,0.61667,1.1917,1.5,3.0333,4.3
3,0.75,0.366,-2.4325,2.757,0.64818,0.49684,-18.026,-0.092,0.439,0.425,74.837,98.503,409.54,-60.44,0.013,-2.09,0.67206,249.7965,305.61,3.93,0.0949345,0.504165,0.6125,1.1875,1.5,3.025,4.29165
3,1.25,0.36849,-2.487,2.7742,0.695,0.49,-18.616,-0.12617,0.436,0.425,76.323,98.507,409.58,-58.4245,0.013,-1.953,0.63273,247.26,305.29,3.936,0.092514,0.504165,0.60833,1.1833,1.5,3.025,4.29165
3,1.75,0.36184,-2.511,2.7564,0.639,0.44409,-16.0335,-0.174915,0.44,0.425,76.878,98.505,409.62,-58.923,0.013,-1.97915,0.61435,247.93,304.64,3.961,0.0707435,0.50833,0.60833,1.1917,1.5,3.00835,4.3
3,2.25,0.352,-2.648,2.6823,0.687,0.441,-16.739,-0.187,0.429,0.425,77.152,98.49,409.71,-56.877,0.013,-1.904,0.60901,249.82,304.789,3.9791,0.11291,0.504,0.61667,1.1875,1.5,3.025,4.2833
3,2.75,0.351265,-2.81125,2.66865,0.67,0.481135,-17.191,-0.24127,0.429,0.425,77.79,98.4795,409.67,-56.625,0.013,-1.9115,0.605875,249.61,304.79,4.019,0.11392,0.50833,0.60833,1.1917,1.5,3.0333,4.29165
3,3.25,0.353045,-2.769,2.682,0.66118,0.462,-17.654,-0.087552,0.428,0.425,78.184,98.469,409.88,-54.9975,0.013153,-1.86095,0.59267,249.5,303.391,3.97675,0.099682,0.508165,0.6125,1.1917,1.5,3.025,4.2833
3,3.75,0.349285,-2.794,2.78235,0.63673,0.45443,-16.588,-0.012803,0.436,0.425,78.586,98.46,409.86,-54.545,0.013,-1.821,0.594635,250.85,304.91,3.92,0.146085,0.504165,0.6125,1.1833,1.5,3.0333,4.3
3,4.25,0.35918,-2.75,2.731,0.6671,0.4515,-16.7235,-0.148,0.435,0.425,79.162,98.472,410.06,-51.392,0.013,-1.63075,0.577,248.385,304.61,3.9696,0.140655,0.508165,0.61667,1.1917,1.5,3.0333,4.2833
