DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,H,LE,FC,TS
4,20.25,0.53,4.3,25.215,25.72,35.905,-5.4475,0.495,-87.2925,-9.14,3.735,0.81,31.28
4,20.75,0.5175,4.15,24.495,24.9675,38.34,-5.305,0.475,-85.26,-10.74,4.47,0.895,30.59
4,21.25,0.49,3.765,23.93,24.375,38.8575,-5.48,0.3525,-83.5475,-9.34,3.7,0.86,29.95
4,21.75,0.51,3.66,23.375,23.95,40.71,-5.505,0.36,-82.585,-9.72,4.83,0.755,29.38
4,22.25,0.485,2.9,23.0425,23.725,41.37,-5.645,0.5325,-80.7475,-8.41,7.54,1,28.87
4,22.75,0.445,2.71,22.755,23.29,43.92,-5.635,0.515,-79.48,-6.705,4.63,0.74,28.44
4,23.25,0.3975,2.575,22.32,22.74,45.12,-5.5925,0.575,-78.395,-5.3125,4.92,0.79,28.02
4,23.75,0.4,2.77,21.74,22.325,46.435,-5.6,0.6425,-77.2,-6.56,4.49,0.79,27.56
5,0.25,0.385,2.035,24.795,25.46,46.135,-5.625,1.11,-77.19,-2.99,3.86,0.72,32.03
5,0.75,0.4,2.335,24.595,25.015,46.5275,-5.495,1.21,-75.375,-2.89,5.255,0.77,31.485
5,1.25,0.335,2.13,24.075,24.47,46.8525,-5.8875,0.97,-74.96,-3.465,3.855,0.61,30.975
5,1.75,0.335,2.075,23.97,24.61,47.085,-5.67,1.1,-74.88,-3.71,4.135,0.705,30.5
5,2.25,0.3,2.26,23.805,24.39,47.765,-5.28,1.075,-73.9,-2.805,4.24,0.595,30.045
5,2.75,0.275,2.1,23.84,24.365,47.405,-5.37,1.06,-72.255,-3.105,3.98,0.59,29.61
5,3.25,0.27,2.165,23.58,24.105,49.48,-5.4725,0.895,-71.155,-2.35,2.995,0.515,29.21
5,3.75,0.27,2.245,23.515,23.675,48.65,-5.3275,0.965,-70.905,-3.685,3.81,0.515,28.78
5,4.25,0.28,2.1375,23.1125,23.4575,49.2625,-5.1125,0.935,-69.775,-4.5175,3.94,0.42,28.405
5,4.75,0.27,2.25,23.2625,23.39,48.975,0.68,2.2975,-66.2425,-3.6525,4.295,0.42,28.025
5,5.25,0.2575,2.1325,22.995,23.23,49.6125,22.32,7.6725,-52.2775,-2.9825,4.1475,0.4575,27.675
5,5.75,0.2475,2.0075,23.3375,23.2075,49.305,107.385,36.525,-4.38,-0.8925,4.3,0.2375,27.375
5,6.25,0.24,1.685,24.3725,24.2,47.6275,239.0825,75.945,62.24,22.4675,9.2425,0.22,27.2
5,6.75,0.28,1.53,25.4925,25.625,43.8075,346.405,95.56,131.0075,55.8675,13.015,0.305,27.115
5,7.25,0.3,1.935,26.815,26.83,41.4175,454.035,118.7425,199.48,88.5875,17.4025,0.45,27.17
5,7.75,0.3,2.1875,27.9325,27.61,38.46,558.63,144.235,268.4875,121.5325,22.455,0.5175,27.4
5,8.25,0.33,2.3575,28.8975,28.3575,34.485,658.44,167.53,332.3,157.495,24.4,0.56,27.825
5,8.75,0.3575,2.5575,29.865,28.97,32.6425,746.675,188.4,385.7475,193.305,24.475,0.41,28.45
5,9.25,0.38,2.75,30.7875,29.6575,30.7025,824.085,207.195,435.565,228.86,26.595,0.2775,29.255
