DOY2,HR2,CO2,H2O,FC,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
3,0.25,390.535,10.9165,2.2,-11.5665,9.60975,1.721,0.4755,0.74025,0.84025,0.50575,100.3175,94.615,12.705,4.645,14.90225,0.412,10.56,10.65,0,-1.224,3.113,321.56,371.9275
3,0.75,391.61,10.902,2.19925,-11.8605,11.74225,1.6385,0.454,0.764,0.8335,0.513,100.33,94.6405,12.655,4.335,14.624,0.3805,10.5,10.65,0,-1.108,2.998,322.98,372.38
3,1.25,392.685,11.1225,1.148,-10.46525,11.733,1.68175,0.46475,0.7415,0.851,0.5295,100.34,95.4145,12.45525,4.13,14.374,0.39,10.5,10.65,0,-1.027,3.015,323.98,371.355
3,1.75,390.915,10.737,1.654,-10.5665,11.645,1.76075,0.4535,0.7715,0.819,0.513,100.35,95.9685,12.01,3.895,13.8745,0.3855,10.485,10.6,0,-1.274,2.977,321.99,369.515
3,2.25,391.075,10.83,1.503,-7.413,11.07375,1.65825,0.45925,0.74875,0.8615,0.50375,100.3325,96.25375,11.72375,3.685,13.61075,0.396,10.4,10.6,0,-1.088,2.974,323.52,366.9975
3,2.75,391.7275,10.9985,1.674,-7.05,11.275,1.6175,0.4895,0.755,0.848,0.50125,100.3,96.35275,11.43075,3.705,13.238,0.38175,10.4,10.6,0.84375,-1.12,3.008,325.46,365.145
3,3.25,392.08,10.8055,1.529,-8.4705,10.816,1.6835,0.4365,0.7305,0.803,0.4905,100.31,96.26075,11.1095,3.4725,12.96675,0.3865,10.346,10.6,0.8425,-1.06725,2.99625,326.215,363.57
3,3.75,391.96,10.514,1.908,-8.93275,9.932,1.6025,0.425,0.72125,0.78425,0.49075,100.31,96.45775,11.12825,3.225,12.869,0.374,10.303,10.6,0.8435,-0.9985,3.08425,327.08,361.88
3,4.25,393.3525,10.51175,1.54,-7.3645,9.3445,1.571,0.43725,0.703,0.798,0.473,100.33,96.46275,10.58725,3.005,12.463,0.41,10.3,10.6,0.844,-0.8935,3.04125,328.355,360.0575
3,4.75,392.155,10.47625,1.7605,-7.995,10.41375,1.5305,0.4405,0.7135,0.7675,0.4905,100.34,97.29075,10.38675,2.7475,12.236,0.3715,10.3,10.55,0.84875,-0.7555,3.011,327.26,358.235
3,5.25,391.23,10.6265,1.16975,-6.1455,10.93075,1.5825,0.422,0.678,0.7755,0.4625,100.35,97.993,10.09325,2.905,12.057,0.386,10.21,10.55,0.84625,-0.778,3.051,326.91,356.5175
3,5.75,392.82,10.755,1.841,-3.92725,12.463,1.73325,0.42425,0.749,0.7835,0.47525,100.38,98.84875,9.705,2.84,11.699,0.3845,10.24,10.55,0.858,-0.596,3.057,327.34,356.79
3,6.25,394.22,10.74575,3.02475,-5.226,9.4645,1.6685,0.42525,0.7355,0.7745,0.468,100.43,99.09775,9.69925,2.765,11.317,0.3895,10.23,10.6,10.417,2.54175,3.661,326.09,355.465
3,6.75,393.68,10.341,2.516,-5.7625,15.8065,1.5365,0.40875,0.7365,0.76875,0.4655,100.47,99.3765,9.5065,2.665,11.478,0.3855,10.21,10.537,71,42.1295,12.4705,328.8075,356.685
3,7.25,394.51,11.0065,3.407,1.08675,27.138,1.649,0.42,0.7965,0.818,0.5,100.48,99.367,9.9175,3.0275,11.5055,0.3735,10.2,10.572,219.04,128.1625,27.85625,329.56,360.4775
3,7.75,392.91,11.12325,0.968,16.8835,35.281,1.74825,0.508,0.858,0.9535,0.5495,100.49,97.9815,11.03575,3.435,12.473,0.40475,10.265,10.5,381.115,223.99,37.8825,328.97,366.7775
3,8.25,392.2675,11.13975,-1.005,56.34325,51.591,1.992,0.5535,0.994,1.0615,0.614,100.51,94.66225,12.3015,4.325,13.494,0.439,10.26,10.495,585.6075,337.2775,46.76675,330.0375,374.5625
