DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,CH4,PPFD_IN,FC,SC,NEE,TS_1_1_1,FCH4
3,3.75,0.443,7.8007,2.035,-1.859895,13.824,84.244,99.6472875,421.155,7.2477,2271.7,1.7366,1.94995,0.5597,2.2277,9.92105,12.511
3,4.25,0.436595,7.5753,1.9916,-2.3392,15.095,83.584,99.6607025,423.65,7.2783,2266.925,1.7244,2.315125,0.62176,2.5268,9.8721,16.235
3,4.75,0.4269775,7.1974,1.869975,-1.917975,15.401,84.508,99.6860425,426.435,6.97115,2255.875,1.7319,2.111525,0.63198,2.470175,9.8221,11.064
3,5.25,0.4348975,7.00895,1.9178,-0.7664375,16.902,84.3595,99.7132225,422.5675,7.02645,2259.5,1.7345,2.433975,0.7095475,2.92785,9.772975,16.436
3,5.75,0.4628075,6.9354,2.039825,-1.2585325,14.05725,83.928,99.735745,420.985,7.01795,2260.95,1.7356,2.7795,0.7431,3.203125,9.724075,9.3739
3,6.25,0.45773,6.687225,2.0291,-0.191125,12.849,84.234,99.73564,423.18,6.901675,2255.9,1.7756,2.8564,1.4249,3.71815,9.65665,12.211
3,6.75,0.49007,6.6522,2.1362,1.31525,15.544,84.812,99.76061,423.2675,6.92905,2216.2,7.99,2.793925,0.73279,3.52335,9.581325,15.913
3,7.25,0.46604,6.974825,2.1484,10.58675,16.4035,84.818,99.81319,422.45,7.019,2219.4,71.34575,3.0407,0.603655,3.581675,9.5091,13.4365
3,7.75,0.4974125,7.28385,2.21525,25.16225,21.274,81.2855,99.83967,423.3475,7.052975,2226.7,192.245,3.0234,0.11295,2.5985,9.4347,12.97975
3,8.25,0.53765,8.121225,2.523525,50.385,25.132,78.147,99.83513,419.05,7.1196,2207.075,328.395,3.65395,-0.21015,2.607475,9.36175,20.336
3,8.75,0.60653,8.3728,2.7066,75.66275,33.059,76.3645,99.82536,415.79,7.1386,2193.4,489.595,2.95535,-0.2699175,1.911225,9.2821,21.355
3,9.25,0.64149,9.0115,2.7184,105.7225,42.299,73.99275,99.80298,414.045,7.29245,2179.475,676.8,2.5153,-0.2267875,1.781,9.2223,25.6
3,9.75,0.644755,9.685775,2.8424,143.895,52.647,73.185,99.838565,411.66,7.4289,2161.725,805.59,1.96275,-0.156665,1.41445,9.1766,23.12075
3,10.25,0.66149,10.3365,2.9878,171.58,54.2655,72.06525,99.862245,408.57,7.648,2156.5,898.0325,1.5459,-0.12203,1.262025,9.157675,27.50875
3,10.75,0.6878525,10.9255,3.1592,196.33,63.26625,71.683,99.821695,408.6375,7.75295,2156.5,1057.65,1.5141,-0.17775,1.03124,9.143,25.75
3,11.25,0.68426,12.588,3.0722,207.2475,69.537,70.391,99.792405,409.12,8.12485,2148.325,1107.35,1.40805,-0.09284875,0.8957975,9.1035,30.685
3,11.75,0.7379,12.678,3.1614,229.92,68.609,68.542,99.7649,408.775,8.2907,2149.85,1210.9,1.521575,-0.1114975,1.183625,9.12925,29.485
3,12.25,0.735655,13.277,3.201875,229.365,75.41,67.80975,99.73213,408.09,8.12865,2142.825,1255.25,1.4458,-0.11739,0.97346,9.1419,29.1605
3,12.75,0.7573625,13.578,3.184125,239.98,85.0935,65.01025,99.703705,406.67,8.5655,2140.8,1258.8,1.235575,-0.11192,0.8471675,9.1824,38.0285
3,13.25,0.76513,13.7565,3.353425,247.765,83.375,63.0015,99.657945,405.0425,8.7574,2139,1225.05,1.52085,-0.08491275,1.0956,9.23815,35.449
3,13.75,0.746995,14.3705,3.3709,223.63,85.67475,61.748,99.610375,405.2175,9.144025,2150.5,1179.075,1.2949,-0.06036275,1.15285,9.36015,30.8765
3,14.25,0.77469,14.12225,3.3446,226.235,79.30225,61.9135,99.5821725,405.145,9.0645,2156.525,1157.875,1.510575,-0.046671,1.1287,9.452825,32.75675
3,14.75,0.74871,14.342,3.4588,200.5925,77.37525,62.0575,99.5583,404.9525,8.5222,2161.8,1075.4,1.757525,0.07263925,1.625875,9.55455,33.53825
