DOY2,HR2,USTAR,TA_1_1_1,WS,NEE,FC,SC,H,LE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA,CO2,VPD,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,FCH4,SH,SLE,SCH4,T_SONIC,CH4
6,12.25,0.693,31.9255000025,2.904,-9.368,-10.29925,0.61303325,221.3125,385.66,28.6935,27.312,27.679,72.16,101.6,406.124623725,23.2315,829.06,976.1175,97.0361666675,444.79,491.772499975,31.93245,-0.24500115125,1.082548,5.292275,11.69395,1.55,35.81875,1968.895864
6,12.75,0.715464,32.3081666675,2.98952,-9.35375,-9.85,0.3114395,220.9825,374.82725,37.493,27.4035,27.6845,72.088,101.58,406.0715,22.72505,816.1225,967.052499975,94.12675,445.335,491.77,32.162825,-0.28211625,2.999356,4.20911,19.9498,1.187039,35.79625,1968.22112325
6,13.25,0.7153225,32.5525,3.0170795415,-9.87325,-9.53409,0.27413775725,213.216,366.66975,54.4985,27.4868333325,27.808,73.350666665,101.53,406.388790925,22.4834,809.36,948.9833333,93.61066667,445.549166675,491.18,32.862,-0.226111,-0.6255,2.594926859,15.9673589025,0.7354845,35.68435005,1963.4854015
6,13.75,0.73,32.4294999975,3.02778,-9.634,-8.83225,0.478526,209.086,352.53,27.944,27.686,27.84275,73.6684999975,101.5,407.41510565,22.562787355,752.695,916.641666675,91.46333333,446.23,490.37,32.1544001875,-0.24622175,2.03,2.982071023,12.76012354,1.1198785,35.59325,1959.71410225
6,14.25,0.718127163,32.32625,2.9918575,-8.409,-7.7968375,0.642026,199.754093075,334.3815,19.587,27.8325,28.014,74.6025833325,101.5,408.19720075,22.510382755,741.74,876.215,90.7255,444.7675,489.71,32.123,-0.2374565,2.355,3.10237942425,12.4835,1.66,35.54125,1954.03
6,14.75,0.7175255,32.0880000025,2.986,-7.186,-7.64135,0.560863,191.66625,311.0075,11.642,27.8945,28.078,75.732,101.5,407.432969225,21.98315,671.445,806.5433333,85.343833335,442.710000025,488.6375,31.982,-0.202065,-1.089933,3.9512542795,12.2655,2.3734425,35.413,1951.31458575
6,15.25,0.6921375,32.0517500025,2.92510041675,-6.84725,-6.508258925,0.4610112405,167.6275,279.15375,10.23625,28.1075,28.234,75.931,101.5,407.1906156,21.9025,608.2675,739.8875,80.05125,440.776666675,488.23416665,31.90545,-0.185217,2.9865275,5.04963,12.65351925,3.38888425,35.157,1966.2157415
6,15.75,0.67902201775,31.99025,2.85448,-7.24475,-4.772325,0.4109965,144.09,247.479,8.85175,28.2005,28.322,76.60341667,101.4875,407.97982385,21.59,534.34,651.382500025,72.521,440.35,486.4466667,31.337,-0.136621798,3.94,4.661520751,11.9536,1.7727685,35.565,1959.993233
6,16.25,0.655,31.5694166675,2.7145376675,-5.82925,-3.17299,0.552563,123.4475,236.4,8.188,28.333,28.395,77.59966667,101.41906785,408.30774445,21.62275,451.9225,566.554999975,65.76125,439.4,484.577499975,31.9917,-0.1295156575,3.931438,1.86862,13.029,1.81689825,35.655,1962.997345
6,16.75,0.62775,31.00325,2.65553,-4.416,-1.58779729675,0.67115130625,98.173332905,194.02,5.672,28.4695,28.504,77.6095,101.44,410.4327724,20.31,357.18,459.312499975,56.707666665,438.065,482.78,32.644775,-0.144609,2.443858,2.208809221,8.804309828,4.6375,35.482,1958.2823975
