DOY2,HR2,USTAR,NEE,FC,SC,H,SH,LE,SLE,CO2,H2O,TA,G,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,NETRAD,RH,VPD,WS,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PA,T_CANOPY
8,7.25,0.053837625,-18.5371272,-18.5239652,-2.4650815,-15.59630425,-0.1111194,5.3141543,-1.567221,386.47196375,12.174691575,13.81966025,-19.53469025,15.18417225,15.57017925,15.9920515,16.81538,15.38282775,71.78253075,0.007851780875,0.2887427675,27.279076,5.92806065,306.61566,385.955595,59.67726,97.5400374,14.64961880075
8,7.75,0.0714412,-22.013250525,-21.3822336,-2.408657025,-11.13280475,-0.255027775,7.15779025,-2.60765525,382.359397475,12.8098058,14.48385725,-17.016986625,15.66355875,15.60811175,16.22723725,16.87336025,11.70990075,67.60794775,0.008053383625,0.39123485,29.53798,6.708253875,310.44802,391.2147575,64.92078,97.548168,15.34238528
8,8.25,0.087021125,-27.5924292,-27.0363485,-1.9579462,-10.8326125,-0.309635,6.596971325,-3.160283,371.2526744,13.1001191,15.02520875,-14.125408375,16.2542155,16.26185425,16.48103225,16.92876475,13.82410725,65.2208965,0.0300579115,0.4811642775,27.112122,6.414318475,313.7657,395.8804475,63.27647,97.5137456,16.5086665
8,8.75,0.111036,-32.8813184,-32.4370476,-1.937720175,-4.9376561,-0.44146675,17.2375564,-3.455461625,367.9443982,12.97070665,15.68333175,-11.378707647,16.82990725,16.67429525,16.832347,17.01335225,22.451637,60.91432525,0.039422109475,0.5396473,35.646404,8.30109445,319.0592375,399.566075,79.792868,97.5514598,16.59249325
8,9.25,0.1071664,-37.48882815,-36.87055955,-1.331625,-5.4335595,-0.4028028,23.965649375,-3.06431265,363.28863115,12.30491575,16.206368,-9.116662375,17.156811,16.990795,17.00028125,17.12372925,27.0797205,55.44513125,0.25011252725,0.63155854,48.045368,7.2847382,321.78656,401.8878575,112.0168,97.5590302,17.052303301
8,9.75,0.1079149,-42.1267074,-41.793822375,-1.060237425,-6.63049155,-0.57016755,28.203777775,-4.240236775,357.4543901,12.062304625,16.54746625,-7.456513625,17.6119685,17.4705955,17.257203,17.247006,41.9121735,51.8784235,0.21957718985,0.63177067,60.212822,10.6217705,324.7248875,405.918805,130.52626,97.549973,17.79868383475
8,10.25,0.119082375,-45.7495854,-45.170632925,-1.17185865,-9.09771925,-0.907695175,34.57377,-3.35981,359.8631671,12.0109522,17.20026625,-6.38173640035,17.9070175,17.67112175,17.56448825,17.4391005,60.9571485,48.43772725,0.5196525479,0.63064294,89.293112,18.3459205,327.72655,405.99585,197.99522,97.5610968,17.944398
8,10.75,0.1143375,-51.811731,-51.376586,-0.67852795,-6.4278232,-0.642414825,41.4466595,-2.89624375,359.099216,11.994322125,17.32426625,-5.759238034025,18.36248425,17.99216825,17.816808,17.549344,46.50818725,47.97585975,0.73026440995,0.7490549875,74.742626,16.874357,331.119415,407.1656175,174.665735,97.520045,18.1618945
8,11.25,0.13083455,-47.8740598,-47.656014675,-0.5335395,-6.7079224,-0.750666775,42.411895275,-3.7875035,357.4269666,12.228404,17.4178775,-4.807379248425,18.8040515,18.36552975,18.104847,17.8045205,43.70333775,44.08154275,1.014349713125,0.8364200375,68.9442155,15.71866575,333.41911,408.24939,160.6750725,97.518062,18.10130457325
8,11.75,0.1145539,-51.36083205,-51.155082375,-0.74638995,-18.26147835,-1.109111,44.84963675,-4.2205641,355.9104382,12.261384375,17.63554875,-3.90567451555,18.8750825,18.6618615,18.311385,18.02061175,56.58356025,40.7909865,1.0531549945,0.7685744175,81.69227425,17.59148475,334.840055,408.2712025,192.3761475,97.4997696,18.133725
8,12.25,0.125124175,-49.09294545,-49.3941506,-0.589137,-13.046987475,-1.026235875,50.0770161,-3.68410525,354.61851765,12.213090625,17.660121,-3.452086975,18.92831175,18.9212375,18.485129,18.19224025,44.93788125,40.943619,0.956454706875,0.8200325325,76.45144525,17.7824795,336.888125,409.9302525,173.022655,97.4792136,18.1063975
8,12.75,0.13415,-50.7052898,-50.368500875,-0.6012605,-15.191494325,-1.42713115,41.4434435,-3.72490145,354.43813,12.129374,18.010854,-2.74697232375,19.15038,18.907258,18.68431175,18.3660725,72.01923975,41.51363125,0.952211692425,0.860225525,116.30737,24.19434375,340.0638625,410.375765,254.8717925,97.4584224,18.7272665
8,13.25,0.12075165,-50.9644995,-50.7575966,-0.6313424,-24.464521,-0.9107803,37.99387655,-3.831350875,354.0728569,12.091290325,17.672264,-2.41884820375,19.2336555,19.0361485,18.869055,18.54397325,47.7709405,40.112227,1.07860414465,0.7996437475,76.55313475,13.82005825,341.668085,408.193015,173.479475,97.4866478,18.4220852935
8,13.75,0.10872725,-47.6744585,-47.7965755,-0.45223005,-19.2204898,-1.3840549,41.67555445,-3.362113375,353.205347675,12.102081,17.64233725,-2.3547617425,19.0673755,19.03107525,18.85247025,18.57417175,24.32533675,40.2277065,1.127685333925,0.8713974475,42.77084725,9.380450675,342.27679,407.055455,106.1909775,97.5321486,18.463681
8,14.25,0.1347147,-44.340032625,-44.105931,-0.611274125,-13.649937225,-1.058222475,37.270887375,-3.6248725,352.441339575,12.084650625,17.53007325,-2.0720079602,19.1212695,19.046441,18.87035625,18.62083825,46.310135,39.49902875,1.06934776005,0.8909891525,69.1422455,16.67354675,340.01403,407.4007725,155.5904675,97.4992494,18.56985475
8,14.75,0.14214825,-41.19285285,-41.314195025,-0.67717895,-40.0301314,-1.179370275,43.2070671,-3.97450675,351.3847781,12.1538164,17.792684,-0.6176754016,19.47023725,19.1788505,18.98516025,18.77949575,49.685197,37.93088575,1.197655565275,0.8184803625,79.0934215,18.51339525,340.477545,409.52844,177.4470425,97.4399168,18.6857884385
8,15.25,0.110820275,-36.373653725,-36.222767625,-0.72446475,-40.3625528,-1.607141875,27.582444825,-4.1027065,350.1964887,12.0314478,18.33802725,-0.6727959569,19.6066395,19.313631,19.1557645,18.844501,41.24560675,41.03781375,1.544409928225,0.7482689425,63.5958265,12.3593965,339.7623925,411.186495,138.3139925,97.394586,18.79761541775
8,15.75,0.10700515,-30.334888725,-30.5283675,-0.5132399,-43.27813475,-1.66007535,31.721055675,-3.962444,349.78272525,11.8809162,18.18760675,-1.31291499695,19.7196645,19.4774775,19.2922085,18.89436875,31.3017985,40.252427,1.0970295767,0.6167089725,52.641072,14.61790425,341.4730025,409.8525275,117.1215075,97.3803774,18.68770025
8,16.25,0.1111432,-24.654143625,-24.6416555,-0.6974477,-51.3721477,-1.27408475,36.60940765,-3.509261775,349.04457015,11.5192798,18.04354825,-1.18710193195,19.764407,19.6403675,19.33833725,19.03994075,10.181213275,39.33895675,0.5366187031,0.6420192225,26.64953825,8.74091875,337.731275,410.0840825,64.0595775,97.3856074,18.709402
8,16.75,0.084030675,-19.799802775,-20.0244275,-0.654669,-54.230938125,-1.556513975,25.190436225,-2.84612215,349.151665,11.307146625,18.17947325,-1.24244736625,19.61279375,19.6806815,19.363152,19.05628,24.4587425,39.28370825,0.5497409215,0.6263731525,46.2990815,10.286637,338.0869125,410.6625375,101.6333725,97.395658,18.57347022525
8,17.25,0.080046,-13.4316729,-12.97976155,-0.58427925,-54.6994583,-2.0242329,16.606505825,-2.76160195,351.730810875,11.1594714,18.0864705,-1.36750318875,19.58884925,19.66843525,19.34428525,19.16258225,11.92942175,39.03057625,0.952158117,0.58506016,36.26507575,8.862116325,336.7720225,409.2834325,76.974586,97.3676866,18.29805803325
