DOY2,HR2,FC,CO2,CO2_SIGMA,LE,H2O,H2O_SIGMA,H,T_SONIC,T_SONIC_SIGMA,WS,USTAR,W_SIGMA,U_SIGMA,V_SIGMA,TA,VPD,RH,PA,TS_1_1_A,TS_1_2_A,TS_1_3_A,TS_1_4_A,TS_1_5_A,G_1_1_A,NETRAD,SW_IN_1_1_1,PPFD_IN,PPFD_OUT,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,PPFD_DIF
2,10.75,-6.4888,396.4720405,1.88465,93.48,9.116747,0.452627,80.099,15.4745,0.574952,1.6516,0.21637,0.271396,0.716798,0.837646,12.635,5.4268,62.5515,99.9915,11.327,10.8715,10.4775,10.7695,11.608,12.0045,293.23,537.995,1123.1,88.754,535.345,96.386,302.39,404.79,265.6
2,11.25,-6.88055,394.791864,1.887399,104.255,9.264255,0.479734,96.63,15.874,0.615825,1.7626,0.230375,0.2859705,0.760638,0.8824625,12.938,5.7499,61.178,99.974,11.949,11.297,10.7165,10.788,11.5865,15.751,323.3,577.1,1198.3,93.407,573.505,103.31,303.72,411.96,285.3
2,11.75,-6.6809,393.19871,1.809528,105.865,9.326693,0.480883,105.27,16.062,0.642098,1.80525,0.238495,0.299461,0.794188,0.9375875,13.314,6.029,60.378,99.9265,12.327,11.666,10.9525,10.8125,11.567,19.147,337.68,601.765,1249.05,96.9635,597.03,106.77,306.92,415.3,300.8
2,12.25,-6.5353,392.766756,1.7394385,110.69,9.339632,0.491597,104.995,16.381,0.6587335,1.8246,0.2443,0.304677,0.832899,0.973684,13.615,6.3494,59.381,99.9,12.7295,12.0385,11.159,10.8215,11.5305,21.532,340.91,609.67,1271.2,98.143,604.815,108.58,309,420.59,288.6
2,12.75,-6.4875,391.772432,1.70148,112.11,9.427838,0.481644,103.805,16.668,0.6376045,1.9038,0.25028,0.3077295,0.842039,0.9971585,14.03,6.792,57.482,99.8625,13.137,12.316,11.385,10.922,11.53,23.647,336.21,601.6,1248.7,97.862,600.025,108.53,308.51,423.565,274.1
2,13.25,-6.13625,391.69489,1.652223,113.705,9.360438,0.508037,101.74,16.917,0.6196575,1.8903,0.24893,0.309237,0.8484015,0.9944945,14.4635,7.1836,55.8695,99.816,13.49,12.628,11.613,10.951,11.522,24.1825,318.93,580.95,1206.75,97.589,580.45,107.935,310.91,423.545,281.5
2,13.75,-5.9119,390.585482,1.623116,107.92,9.392836,0.4812415,93.1545,17.199,0.588863,1.9266,0.252445,0.3101255,0.849441,0.9924665,14.681,7.6592,54.84,99.8,13.681,12.8955,11.787,11.034,11.526,23.3685,287.59,543.215,1134.35,92.2025,543.835,104.31,310.755,422.345,281.5
2,14.25,-5.4762,390.60326,1.532872,102.8,9.350552,0.4755235,83.209,17.332,0.5391195,1.9121,0.246035,0.3012705,0.8252395,0.950369,14.94,7.97945,54.133,99.8,13.7825,13.0745,11.989,11.1305,11.514,22.05,248.015,494.6,1028.95,84.5185,491.79,97.465,310.595,419.41,267.15
2,14.75,-4.8263,389.800072,1.463248,89.534,9.417696,0.4422855,66.082,17.6175,0.4621625,1.8624,0.23628,0.291136,0.783135,0.932148,14.976,8.146,53.612,99.7985,13.817,13.155,12.164,11.223,11.507,19.4375,197.265,426.26,881.055,75.312,425.435,85.1605,311.78,414.875,244.3
2,15.25,-4.32855,389.01675,1.351713,77.854,9.385447,0.403082,48.7445,17.703,0.382139,1.8387,0.229995,0.2806185,0.753007,0.8891875,15.0065,8.2352,52.95,99.7615,13.745,13.16,12.243,11.313,11.524,15.854,142.44,349.445,720.59,65.255,344.49,77.684,311.09,409.985,224.1
