DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,H,LE,FC
5,3.25,0.12,1.83,1.545,1.445,61.93,-5.08,0.815,-70.705,-3.13,0.535,0.1
5,3.75,0.12,1.85,1.42,1.48,60.055,-4.98,0.91,-70.83,-2.28,0.335,0.08
5,4.25,0.115,1.845,1.375,1.4,61.485,-4.855,0.89,-71.65,-2.465,0.35,0.07
5,4.75,0.105,1.835,1.425,1.585,59.63,0.18,2.015,-67.52,-1.97,0.735,0.04
5,5.25,0.11,1.89,1.5,1.56,57.97,37.41,16.59,-32.18,-2.67,0.705,0.05
5,5.75,0.17,1.505,1.685,1.775,56.34,116.915,38.965,13.12,1.53,2.98,-0.13
5,6.25,0.22,1.14,2.15,2.36,52.72,227.91,50.99,77.325,16.1,11.22,-0.45
5,6.75,0.295,1.125,2.68,3,49.25,338.82,65.46,161.975,49.59,18.165,-0.625
5,7.25,0.38,1.435,3.26,3.45,47.175,461.965,84.155,246.895,99.98,32.83,-0.99
5,7.75,0.46,1.665,3.76,3.655,45.46,576.955,112.835,319.965,153.67,38.765,-1.255
5,8.25,0.5,1.95,4.05,4.33,43.925,681.47,147.91,392.47,198.815,42.88,-1.68
5,8.75,0.59,2.19,4.565,4.33,46.775,777.175,174.755,450.05,234.81,51.245,-2.04
5,9.25,0.625,2.415,4.755,4.515,44.955,867.44,201.53,501.035,281.01,53.42,-2.06
5,9.75,0.64,2.55,4.97,4.915,49.095,934.025,231.73,526.285,291.155,57.88,-2.41
5,10.25,0.67,2.79,5,4.89,54.62,984.95,260.35,546.38,279.425,45.51,-2.26
5,10.75,0.725,3.02,5.295,5.195,56.235,1005.74,277.405,565.165,292.38,48.425,-2.68
5,11.25,0.73,3.17,5.32,5.18,57.285,1017.755,294.545,564.555,283.2,54.41,-2.9
5,11.75,0.73,3.2,5.15,5.085,60.84,1037.07,313.555,573.525,288.4,41.53,-3.32
5,12.25,0.75,3.25,4.915,4.77,61.415,1026.705,310.86,555.865,286.22,36.03,-3.26
5,12.75,0.75,3.21,5.09,4.91,63.555,988.65,293.52,568.945,291.57,44.53,-3.065
5,13.25,0.745,3.35,5.315,5.175,64.96,906.81,273.345,529.785,297.36,40.38,-3.06
5,13.75,0.735,3.205,5.105,5.05,67.28,821.275,235.495,484.285,266.25,40.4,-2.82
5,14.25,0.735,3.22,5.02,4.805,68.27,738.925,208.97,443.56,242.83,29.76,-2.78
5,14.75,0.72,3.07,5.015,4.83,67.545,684.7,178.905,401.945,235.67,31.42,-2.62
5,15.25,0.72,3.19,4.815,4.435,68.765,605.975,145.81,378.67,221.755,23.11,-2.23
5,15.75,0.66,3.015,4.485,4.3,72.705,558.425,113.745,334.63,205.475,23.87,-2.07
5,16.25,0.65,2.93,4.44,4.09,75.35,369.285,83.815,252.385,162.4,22.83,-1.56
5,16.75,0.62,2.8,4.165,3.98,76.15,210.175,61.435,194.95,128.48,13.155,-1.405
5,17.25,0.53,2.44,4.03,4,75.065,136.135,45.31,108.22,86.07,10.94,-0.69
5,17.75,0.43,2.2,3.735,3.675,77.015,66.195,27.775,34.525,43.38,9.24,-0.29
5,18.25,0.33,2.02,3.115,3.33,78.95,33.07,15.745,-11.61,13.115,4.765,0.085
5,18.75,0.24,1.93,2.415,2.72,80.69,5.355,3.75,-60.275,-0.655,1.455,0.405
5,19.25,0.195,1.83,2.345,2.67,78.725,-4.09,0.81,-73.865,-2.56,0.61,0.22
5,19.75,0.175,1.8,2.37,2.62,77.395,-4.755,0.81,-71.565,-2.41,0.1,0.22
5,20.25,0.18,2.17,2.255,2.485,77.84,-4.77,1.01,-70.995,-3.57,0.36,0.29
5,20.75,0.2,2.06,2.09,2.395,77.55,-4.73,0.97,-71.105,-5.71,0.24,0.26
5,21.25,0.19,2.24,2.055,2.21,78.615,-4.83,0.805,-71.38,-3.505,-0.215,0.28
5,21.75,0.17,1.99,2.15,2.26,76.56,-4.8,0.98,-71.265,-4.26,0.22,0.165
5,22.25,0.17,1.855,1.955,2.15,73.6,-5.005,0.825,-72.21,-4.16,0.42,0.16
5,22.75,0.17,1.88,2.01,2.13,72.645,-4.88,0.74,-72.91,-3.05,0.97,0.135
