DOY2,HR2,FC_1_1_1,CO2_1_1_1,H_1_1_1,LE_1_1_1,H2O_1_1_1,H2O_2_1_1,NEE_1_1_1,RH_1_1_1,RH_2_1_1,VPD_2_1_1,VPD_1_1_1,T_SONIC_1_1_1,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,PA_1_1_1,TA_1_1_1,TA_2_1_1,NETRAD_1_1_1,PPFD_IN_2_1_1,TS_1_1_1,TS_1_2_1
2,7.25,0.3721205,398.865,-9.319712,-0.05377285,2.63035,2.207385,0.5397305,72.0472,78.55,0.608646,1.24996,-7.9065,-0.1347055,0.3116646,2.32527,100.6,-9.03,-9.065,7.326,70.8,1.3,1.6
2,7.75,0.44829885,399.8685,-0.02493735,0.074756555,2.65979,2.00361,0.5324855,70.965735,76.48,0.6930535,1.50003,-7.555,-0.19575225,0.3311105,2.073039,100.6,-8.79,-8.77,39.52,172.27073775,1.3,1.6
2,8.25,0.494621,401.0735,21.4452,0.2725105,2.818403,1.97269,0.4983895,70.3698,74.34,0.795792,1.76165,-7.3191,-0.1882272,0.35432375,1.940181,100.6,-8.135,-8.05,86.124,312.1,1.3,1.6
2,8.75,0.5126015,401.343,47.24125,0.8244582,2.817257,2.32849,0.358154,67.9982,71.295,0.9125775,1.878455,-6.36255,-0.2999039,0.4349225,2.284189,100.6,-7.372,-7.425,142.095,451.5,1.3,1.6
2,9.25,0.517376,401.271,77.0565,1.15209,2.792961,1.92302,0.2060114,64.9843,66.98,1.09597,2.03552,-5.0616,-0.35508895,0.497127,2.383709,100.6,-6.7195,-6.524,197.3,562.15,1.3,1.5
2,9.75,0.421951,400.488,99.185115,2.066624,2.82222,1.94684,0.187473705,62.8179,63.425,1.2087,2.19858,-4.31745,-0.3733493,0.5191256,2.534254,100.6,-5.7325,-5.87,237.07,668.35,1.3,1.5
2,10.25,0.51265505,401.1285,128.382,2.63695,2.96147,1.87655,0.16417095,59.3877,60.58,1.33729,2.41832,-3.42,-0.4158509,0.5403768,2.7492245,100.6,-5.1815,-5.32,277.68,743.2,1.4,1.6
2,10.75,0.3668665,400.95,152.419,3.61469,3.0511,2.29776,0.1227751,57.01532,58.87,1.5078325,2.5685,-2.96865,-0.4519608,0.57328515,2.8569925,100.6,-4.453,-4.48,290.91,808.1,1.4,1.5
2,11.25,0.3886625,400.955,154.7835,4.005971,3.015979,2.119125,0.171793,51.591295,56.745,1.7253125,2.80691,-2.2352,-0.472445,0.5891827,2.817059,100.5999985,-4.241,-4.1655,319.84,838.5,1.3,1.6
2,11.75,0.38151225,400.531,172.5197,4.79551,2.936664,1.97322,0.1758021,50.5177,54.395,1.874651,3.027235,-1.8385,-0.54886855,0.6351656,2.966583,100.5,-3.6585,-3.615,316.52,841.5,1.3,1.5
2,12.25,0.383164,399.712,180.5337,5.638452,3.003836,2.0604,0.1652009,50.3367,53.995,2.014127,3.135545,-1.2304,-0.4844361,0.6000691,2.886461,100.5,-2.925,-3.32,320.99,835,1.3,1.6
