DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,SC,H,SH,LE,SLE,PA,T_SONIC,TAU,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS
2,14.25,412.85435,0.0327288760761937,2.078541,1.41712587452953,9.4362865,-3.66078,21.5401,-6.7425395,0.609897749999998,-23.6962,97.535755,-7.75344999999996,-1.85759,0.23369925,0.751997548799794,0.655516660399538,0.519499442621989,1.0494025
2,14.75,412.70855,0.0287964801736746,2.124195,1.01557444919066,9.0713565,-4.259068,-106.404075,-15.51887,2.084916,-27.5241175,97.493615,-7.1521,-1.9592765,0.283150725,0.831640658152155,0.744766313981132,0.481849470054711,1.03855075
2,15.25,411.13195,0.0249221351755547,2.09364,1.23766643900203,8.0347865,-3.12359325,-6.3674525,-18.9375775,-2.819958,-14.39251,97.496825,-6.94049999999996,-2.048748,0.1730667,0.764332163682413,0.682980186038851,0.455374104476468,1.2317725
2,15.75,411.3028,0.0346966746698233,2.094181,1.22052753119877,9.896107,-7.563474,-9.1469325,-16.953725,5.67771,-21.807,97.5003825,-6.56022499999996,-2.0480785,0.25948025,0.695440208751352,0.649079556829085,0.462467234330132,1.286578
2,16.25,411.6292,0.0275277145201643,2.043645,1.03284320677532,9.833706,-2.60009,-3.675095,-25.6306675,-2.22533575,-21.9388975,97.5244775,-6.72049999999998,-2.072883,0.256974775,0.655788190146774,0.634015177800805,0.454455687012909,1.347606
2,16.75,413.381375,0.0268276909181539,2.2698615,0.962700355859302,4.871202,-15.8994,-9.048972,-22.0804,0.111809400000002,-21.8488,97.688545,-7.09895,-1.90767925,0.223909025,0.644448834245456,0.597918210686692,0.412834010591254,1.0462975
2,17.25,412.7869,0.0388527155727612,2.2717195,1.02393762035323,8.093021,-3.42022,-33.19103,-13.2607,-1.39243475,-8.133188,97.56298,-7.486375,-2.216963,0.164782525,0.508573597418251,0.558634907847828,0.354761736960766,1.09545975
2,17.75,413.1403,0.0366923694050884,2.452521,0.765805687186086,8.3281525,-2.660735,-56.151475,-30.1697525,-12.538225,-19.586695,97.68697,-8.15372499999999,-1.60531775,0.13059955,0.442617934615648,0.411654529197678,0.261784145127771,0.9914971
2,18.25,413.4708,0.0425112688094606,2.503181,0.857083519690194,4.84127975,-1.9992565,-63.80012,-36.8389325,-10.217722,-15.68763,97.5942,-8.274,-1.31385,0.150834,0.495598627923847,0.340659654200494,0.2343074902772,1.2135
2,18.75,411.79885,0.0381556008816624,2.4482935,0.7520206555529,3.23512125,-1.876405,-74.9094,-26.0118975,-10.98773,-9.482792,97.6378175,-8.21994999999998,-1.26218125,0.136561625,0.423427148110949,0.385157452551822,0.241544244241867,1.35593075
2,19.25,412.5721,0.0368067636529167,2.479108,0.614719597972989,2.427241,-1.5104375,-58.508615,-19.3771175,-9.902233,-18.39702,97.645445,-8.160525,-1.098165,0.1314886,0.450750879001337,0.403013722790995,0.224804161831195,1.30937895
2,19.75,411.704375,0.0322177182736187,2.46728,0.699854181958861,2.3166455,-1.6786535,-68.4959375,-14.77258,-10.48812075,-26.097985,97.69012,-8.27339999999999,-1.201951,0.09972844,0.336521606045571,0.316523445174073,0.195344175370691,1.10236
2,20.25,411.84475,0.0281462935006798,2.45882125,0.686092802326055,1.719988,-3.3100735,-98.455445,-21.33894,-6.267152,-18.84332,97.73269,-8.57232499999999,-1.20054025,0.0640888325,0.330576919649042,0.267426557882126,0.148667066526712,1.08618875
2,20.75,409.4735,0.0290423318876677,2.498231,0.569562393832094,-1.09119905,-5.71347275,-78.1251375,-18.761465,-10.631906,-13.20814,97.7567975,-8.99144999999995,-1.431308,0.1115565575,0.322280145128229,0.317855733786246,0.18103158164712,0.818840425
2,21.25,412.821875,0.0280737037404024,2.46721625,0.523706236178252,0.9223716,-16.892005,-80.546165,-22.8515675,-6.28832025,-14.73594,97.804275,-9.375425,-1.16185175,0.08249616,0.340213773669886,0.351737779727366,0.113676599086665,0.776006375
2,21.75,413.1785,0.0280535202782111,2.595693,0.501937936882696,-5.84320375,-6.24957875,-83.0399125,-22.3849325,-8.1711735,-17.9784675,97.8226,-9.55799999999999,-1.08418,0.0852,0.402518322564328,0.291199072800722,0.156945850534508,0.971144
2,22.25,413.891375,0.0247991935352745,2.64496125,0.519464532268399,0.42243315,-2.28952,-95.327625,-20.3042,-11.39619,-19.141585,97.794,-9.632,-1.19408,0.133569,0.398898483326272,0.26400795442562,0.136399046917491,1.33074
2,22.75,414.84625,0.027075405798172,2.657215,0.467492558027129,-2.11719,-5.6318765,-82.84606,-14.4074,-15.5121075,-13.6031725,97.7729,-9.642,-1.40934,0.10797,0.391952803281211,0.353906767383728,0.16379285698711,0.963339
2,23.25,412.8185,0.0199556189991243,2.6058275,0.452420857185551,-4.684518,-4.936388,-97.9835825,-16.1595,-9.65415875,-42.9047375,97.7263,-9.66999999999996,-1.99024,0.10299,0.384476267147922,0.293938769133981,0.147426931053997,1.11264
2,23.75,411.797,0.0187799748002853,2.596872,0.495770926060731,-2.23053975,-4.7340375,-71.82212,-13.5353125,-15.3574125,-19.306355,97.643055,-9.80937499999996,-1.40118875,0.0875112675,0.410322017048518,0.255243185854552,0.144452251480004,1.03809075
3,0.25,413.33345,0.0190669953050998,3.406335,0.707860914323044,-10.9901735,-12.6471,-53.46125,-26.82151,-27.8607125,-20.6957675,97.5200025,0.0120500000000406,-1.91171325,0.0619670475,0.283829596954533,0.259746628932221,0.077812145458822,0.9284384
3,0.75,413.073375,0.0175452767896176,3.40967075,0.712465413591973,-6.70620825,-11.7535895,-64.984145,-49.1729,-35.5427725,-48.3245375,97.51807,-0.300899999999973,-1.773978,0.06051346,0.296104551895956,0.254012572610898,0.0615207273704868,0.8592173
3,1.25,413.465175,0.019301820857435,3.439577,0.639480884807161,-8.11093725,-8.799699,-89.816725,-31.908695,-21.8716625,-52.71761,97.52518,-0.512399999999957,-1.374445,0.08641914,0.199698893577858,0.212144225248234,0.0654942457780285,0.8965015
3,1.75,413.1707,0.0208757286612364,3.4727955,0.4967081411932,-2.47618195,-4.311819,-78.33182,-22.49298,-25.930095,-32.56109,97.5221225,-0.710249999999993,-1.69344275,0.0850775,0.241987544229578,0.168179518931976,0.0648444114867928,0.95022755
3,2.25,413.072375,0.0182041687732997,3.5225675,0.724634478899098,-4.9145925,-4.590188,-77.098015,-25.48172,-19.650525,-17.62842,97.49853,-0.894299999999976,-1.539111,0.0919882,0.367044656823617,0.324443118552982,0.16132192647388,0.764052
3,2.75,412.88775,0.0184846697874754,3.528335,0.751681463563707,1.21933875,-6.6421025,-86.10025,-23.84748,-13.6260125,-16.2792,97.47539,-1.1432,-2.573338,0.1206288,0.380991479133566,0.229361929741156,0.176998004802933,0.8911028
3,3.25,412.95565,0.0191357658632432,3.5569555,0.616846319459614,-4.63087375,-2.9505475,-73.216055,-22.72411,-18.77368,-24.7308,97.45008,-1.40019999999998,-1.854233,0.1103256,0.323613131130117,0.349603467705445,0.146899726645937,0.9258607
3,3.75,412.680375,0.0208161825037566,3.57642875,0.642481657386215,-2.1269475,-6.018895,-73.8596625,-27.45178,-17.47804,-13.235811,97.49361,-1.62699999999995,-1.2051672,0.09612354,0.33363753214837,0.310021471769491,0.14299440511134,0.7911894
3,4.25,413.1572,0.021711380391344,3.544129,0.551821865794759,-2.9499345,-5.0196925,-70.03545,-23.69655,-22.03283,-28.398505,97.55765,-1.78449999999997,-1.090726,0.05427752,0.249592981596707,0.23563594298698,0.134597211101912,0.8784076
3,4.75,413.105875,0.02155223927148,3.48587625,0.515778920924682,0.329812,-12.2089475,-60.97097,-18.1884,-13.16562,-32.4662825,97.6165675,-1.85704999999999,-1.126102,0.08239,0.27552276128302,0.283403902091036,0.152739683432703,1.02626725
3,5.25,415.9234,0.0236133420897068,3.498446,0.691499324116079,-7.966398,-3.090455,-70.3576925,-16.63397,-23.3499375,-21.2426,97.675325,-1.95829999999998,-1.0928395,0.10464354,0.354624596040124,0.286472795898421,0.1838674061109,0.73803805
