DOY2,HR2,CO2,H2O,VPD,NETRAD,LW_IN,LW_OUT,SW_IN,SW_OUT,TA_1_1_1,RH,PPFD_IN,PPFD_OUT,LE,H,G_1_1_1,SH,TS_1_1_1,TS_1_2_1,USTAR,PA,WS
2,18.75,376.3395,3.625,0.26,-48.145,216.45,264.4,-0.51,0.17,-11.5,87.55,0,0,0.6,-6.67,-3.75,-3,-4.415,-4.295,0.23,93.8,1.74
2,19.25,376.032,3.546,0.22,-41.095,217.9,262.3,-0.52,0.205,-11.8,88.4,0,0,0.5,-6.785,-3.85,-3.05,-4.43,-4.3,0.23,93.7,1.86
2,19.75,376.004,3.433,0.21,-43.205,217.9,261.85,-0.495,0.315,-12,88.9,0,0,0.4,-8.245,-4,-2.2,-4.43,-4.315,0.261,93.7,2.03
2,20.25,376.7935,3.434,0.19,-45.695,223.9,261.7,-0.49,0.215,-12.3,88.9,0,0,0.1,-11,-4,-1.9,-4.435,-4.33,0.23,93.7,2.005
2,20.75,376.5715,3.306,0.18,-40.425,218.4,259.9505,-0.525,0.245,-12.7,89,0,0,0.35,-11.19,-3.95,-2.3,-4.445,-4.335,0.215,93.7,1.98
2,21.25,376.678,3.236,0.18,-43.965,218.65,258.1,-0.44,0.27,-13,89.35,0,0,1,-11.145,-3.9,-2.4,-4.45,-4.345,0.24,93.7,2.09
2,21.75,376.79,3.215,0.17,-38.59,217.05,256.35,-0.38,0.335,-13.6,89.8,0,0,0.1,-8.625,-4,-1.9,-4.465,-4.35,0.22,93.7,2.125
2,22.25,376.843,3.252,0.17,-42.675,223.7,256.9,-0.395,0.3,-13.8,89.95,0,0,0.4,-9.86,-4,-1.2,-4.475,-4.36,0.24,93.7,2.14
2,22.75,377.2,3.163,0.17,-36.405,217,257.85,-0.44,0.275,-13.1,89.3,0,0,0.1,-10.935,-4,-1.4,-4.475,-4.365,0.22,93.7,2.115
2,23.25,377.05,3.204,0.175,-31.145,213.8,256.851,-0.395,0.27,-13.3,89.25,0,0,0.25,-11.015,-4.15,-1.45,-4.49,-4.365,0.234,93.7,2.125
2,23.75,377.392,2.999,0.17,-28.725,217.55,255.45,-0.32,0.31,-13.5,89.6,0,0,-0.2,-13.25,-4.15,-1.45,-4.5,-4.365,0.23,93.6,2.17
3,0.25,376.9135,3.892,0.22,-48.775,233.1,274.7,-0.47,0.285,-9.2,87.4,0,0,0.7,-13.85,-2.2,-1.4,-3.355,-3.32,0.28,93.85,2.14
3,0.75,377.1415,3.7875,0.195,-46.1,230.9,273.05,-0.405,0.24,-9.25,88.05,0,0,0.55,-13.79,-2.35,-1.8,-3.345,-3.31,0.285,93.85,2.185
3,1.25,377.335,3.741,0.18,-46.315,233.3,271.9,-0.53,0.305,-9.6,88.35,0,0,0.25,-10.615,-2.4,-1.65,-3.34,-3.295,0.2465,93.85,2.16
3,1.75,377.332,3.554,0.18,-47.09,225.2,272.35,-0.46,0.32,-9.75,88.1,0,0,0.2,-11.01,-2.4,-1.9,-3.33,-3.29,0.265,93.85,2.15
3,2.25,377.498,3.631,0.17,-40.17,227.5,271.55,-0.275,0.2,-9.9,88.9,0,0,0,-13.79,-2.5,-1.8,-3.315,-3.285,0.26,93.8,2.05
3,2.75,377.5145,3.64,0.17,-40.62,227.6,270.1,-0.235,0.155,-10.45,89,0,0,0.2,-13.07,-2.6,-1.15,-3.31,-3.275,0.275,93.8,2.165
3,3.25,377.5555,3.501,0.17,-35.6,220.9,269.6,-0.34,0.145,-10.7,89.1,0,0,0.1,-13.095,-2.7,-2,-3.31,-3.265,0.236,93.8,2.225
3,3.75,377.424,3.422,0.17,-37.07,226.2,268.1,-0.305,0.13,-10.85,88.7,0,0,-0.05,-14.98,-2.7,-2.1,-3.31,-3.255,0.208,93.8,2.175
3,4.25,377.567,3.405,0.17,-32.185,226.5,266.9,-0.375,0.13,-11.3,89.15,0,0,-0.2,-14.235,-2.7,-1.7,-3.325,-3.265,0.21,93.85,2.1
3,4.75,377.687,3.427,0.165,-30.39,221.8,265.6,-0.385,0.155,-11.3,89.65,0,0,0.1,-7.18,-2.7,-1.4,-3.355,-3.26,0.18,93.9,2.02
3,5.25,378.056,3.2875,0.16,-33.41,216.3,265.6,-0.31,0.2,-11.75,89.25,0,0,0.1,-6.945,-2.85,-1.35,-3.395,-3.255,0.19,93.8,2.065
3,5.75,377.865,3.2515,0.155,-32.205,218.35,262.65,-0.33,0.27,-12.3,89.05,0,0,0.1,-10.57,-2.9,-1.9,-3.4,-3.32,0.18,93.85,1.995
3,6.25,378.065,3.152,0.15,-31.94,219.95,260.8,-0.31,0.27,-12.8,89.65,0,0,-0.2,-9.805,-3.1,-0.9,-3.41,-3.355,0.17,93.85,1.905
3,6.75,377.69,3.187,0.15,-26.68,219.15,260.6,0,0.585,-13.1,90.5,0,0,0.1,-9.2,-3.2,-1.3,-3.425,-3.355,0.16,93.8,1.99
3,7.25,378.202,3.2735,0.14,-19.065,221.85,260.3,5.735,2.4,-13.1,90.25,4.895,1.425,0,-6.77,-3.3,-1.1,-3.44,-3.37,0.182,93.85,1.925
3,7.75,377.962,3.205,0.15,-2.125,226.55,260.7,25.29,7.375,-12.35,90.2,29.77,6.52,0.3,-5.93,-3.4,0.9,-3.445,-3.39,0.23,93.9,1.845
3,8.25,378.763,3.38,0.16,27.38,223.55,264.55,70.7,18.425,-11.95,89.7,89.12,19.185,3.1,4.805,-3.6,2.95,-3.455,-3.39,0.295,93.9,1.83
3,8.75,379.024,3.4405,0.265,58.785,221.75,271.95,131.05,31.485,-9.75,85.7,165.475,34.705,7.7,21.51,-3.6,6.3,-3.485,-3.405,0.345,94,1.975
3,9.25,378.7345,3.73,0.41,93.01,221.05,276.85,196.9,39.8,-8.1,83.8,258.74,50.01,10.25,52.43,-3.5,6.8,-3.495,-3.415,0.428,94.1,2.155
3,9.75,378.852,3.607,0.63,145.035,219.6,281.5,265.95,48.65,-7.2,79.45,392.155,71.525,13.2,83.38,-3.3,7.1,-3.495,-3.41,0.463,94.1,2.315
3,10.25,378.54,3.444,0.745,191.935,218.9,284.9,325.7,60.625,-6.55,75.95,500.74,83.585,18.15,131.57,-3.3,7,-3.5,-3.41,0.53,94.2,2.58
3,10.75,378.304,3.437,1.025,245.17,220.8,288.5,395.75,66.775,-5.35,72.05,617.485,101.955,21.5,162.47,-3.3,6.8,-3.485,-3.39,0.557,94.15,2.88
3,11.25,378.4245,3.713,1.22,265.26,226.45,290.2,417,72.4,-4.95,65.5005,717.15,114.065,24.55,204.55,-3.2,6.3,-3.465,-3.38,0.59,94.15,3.03
3,11.75,378.507,3.721,1.565,302.5,227.55,293.45,475.8,79.5,-4.1,60.65,735.455,122.69,28.65,219.01,-3.1,5.3,-3.45,-3.36,0.62,94.15,3.165
3,12.25,378.724,3.862,1.81,337.3,226.4,295.4,520.4005,82.8,-3.5,57.15,939.18,133.875,28.35,223.07,-2.9,5,-3.39,-3.345,0.616,94.2,3.37
3,12.75,378.76,3.872,2.025,334.85,229.1,298.15,508.9,85.2,-3,54.8,919.9,131.065,27.7,226.67,-2.8,4.45,-3.36,-3.315,0.652,94.2,3.335
3,13.25,378.514,3.7635,2.115,331.75,231.25,297.9,500.2,79.2,-3.35,54.9,962.47,138,29.7,226.2,-2.5,3.1,-3.35,-3.275,0.6275,94.2,3.255
