DOY2,HR2,CO2,FC,G,H,LE,WS,USTAR,PA,RH,TA,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,FCH4
2,5.75,452.066,0.38871625,-2.94788458325,-0.956254,2.6488025,1.7475725,0.194113,102.3996865,97.95,5.0793425,-2.45877775,0.05269825,1.86169825,326.39325,338.178142,5.577,7.084385,7.2369325,7.4495,9.21
2,6.25,455.91,0.306476,-3.00962233325,-0.6002975,1.7138375,1.75808,0.169499,102.39125,97.98,5.14164,-2.105,0.052578775,1.6919115,326.455,338.2732285,5.5807,7.010125,7.2274675,7.4682325,5.6775
2,6.75,455.7175,0.376059,-3.1973425,-0.791181,3.0385825,1.87351,0.1927265,102.39,98.152489,5.085,-2.1281975,0.175835,1.6750225,326.33603725,338.50206725,5.458219564,6.9460675,7.1734,7.5135025,6.895
2,7.25,457.172,0.43612725,-3.13967,-0.593626,2.168115,1.8297725,0.171685,102.4484,98.125263,4.994272,-1.27,3.97,2.1518155,325.215,337.3461725,4.913247417,6.9470425,7.144595,7.481085,11.355
2,7.75,457.76025,0.432465,-3.05140375,-0.1457655,3.77031,1.74035,0.2010425,102.4656,98.482925,4.96576275,3.32418575,22.605,5.625,324.93925,337.3042535,5.4751925,6.8964975,7.0910775,7.4833775,9.5
2,8.25,458.31025,0.42222,-2.89665375,1.4762,5.6535875,1.650915,0.17789225,102.49375,98.239952,5.0903545,24.765,60.9723235,12.695,326.203307,338.898331,5.391386691,6.9087925,7.08369225,7.488325,10.1
2,8.75,463.601,0.28799025,-2.59613875025,6.55669,9.9620675,1.9135525,0.185467,102.53036775,97.97,5.4419125,54.485,105.8,19.709325,330.64399675,340.88864575,5.23828,6.9096325,7.0584175,7.4856425,8.24
2,9.25,458.1085,0.23719675,-2.1265375,15.30905,16.3514,1.93925,0.183862,102.54625,97.369675,5.8446375,98.9475,172.2625,27.47115725,332.4315,343.56300775,6.176538527,6.84613075,7.0553465,7.4870075,10.65
2,9.75,450.2645,0.54785325,-1.4523325,30.09655,23.23575,2.173255,0.210003,102.545,97.387245,6.593956,131.5125,220.824238,32.6762,334.19000325,347.04754625,6.5988375,6.86421,7.025325,7.5232575,12.225
2,10.25,441.763,0.6172915,-0.409970625,40.17665,30.1911,2.41885,0.2368485,102.58,96.54,6.97633375,190.6775,267.92825,37.49763175,335.87673175,350.28199825,7.395275,6.8928195,6.98943,7.4841575,15.3
2,10.75,437.37925,0.255671,1.264113,51.35815,34.7566,2.6780575,0.26589,102.574588,95.077606,7.3667125,214.980561,338.93,41.53151425,336.464928,353.9008295,7.76306,6.88806375,6.97887,7.4721875,8.0525
2,11.25,433.589,0.176568,2.8180075,64.476875,41.83375,2.6201975,0.26675225,102.5769085,92.96,7.88015225,256.75708475,380.08,46.46498775,336.624219,357.81325,8.15683,6.868667,7.022115,7.4845875,12
2,11.75,433.712,0.2619125,5.1067275,68.8295,44.650275,2.74021,0.281718,102.495,92.54,8.293054,276.80977525,418.49572025,51.88040325,335.39540775,360.9635,8.720204708,6.8805025,7.01364325,7.597255,12.45
2,12.25,430.10775,0.2620365,7.73,69.301675,48.6643,2.6162025,0.26543,102.4675,91.5483,8.37945,263.25,411.16595925,51.550457,335.003906,363.2795,8.793035609,6.855408,7.110331,7.60698,13.925
2,12.75,431.119,0.144064,10.25103,73.2218,52.6407,2.759625,0.2800605,102.4475,90.63,8.51,292.4,442.01439825,55.087742,332.768,365.0409745,9.056712805,6.943825,7.12644,7.60436,12.95
2,13.25,427.655,0.19110725,12.571614835,76.748975,55.41855,2.6271,0.286506,102.427558,89.90345,8.6955095,289.23,451.5975,54.902643,331.3,367.548,9.20388,7.042855,7.122716,7.62983,10.875
2,13.75,425.982,0.29292,14.729583335,69.145975,58.1204,2.7587025,0.27197825,102.4018365,89.84,8.93496,260.97,408.6795,51.8283555,331.438446,367.875,9.3712025,7.16511,7.129225,7.613565,14.4
2,14.25,427.575,0.314696,16.790835,64.85595,51.6456,2.938595,0.29906675,102.37147125,90.285683,8.9996965,242.677,390.58167175,47.941238,332.78,368.2505965,9.83552,7.28233,7.134235,7.596605,16
2,14.75,425.73225,0.204486,17.6426325025,56.0133,46.78845,2.9081925,0.29453325,102.36201075,90.923393,9.07716325,202.75024075,334.4375,45.1104,332.35370575,367.758,10.1006,7.34842,7.1917925,7.60757,14.375
2,15.25,427.3655,0.22582025,17.8711675,47.2117,42.7319,2.74987,0.2789375,102.36219975,90.28,9.128985,154.43789625,283.02075,40.1959525,328.9729685,367.1245,9.841865,7.5,7.2333775,7.622865,12.75
2,15.75,425.8825,0.28062075,17.107725,30.3661,34.18635,2.54839,0.270414,102.36319125,90.59536275,8.87186075,101.2534,216.7997475,34.548075,328.939,363.672543,9.8738789835,7.5318195,7.2625,7.6202,11.7
2,16.25,425.6305,0.2024455,15.994783335,12.539275,27.35495,2.5685425,0.250434,102.3797325,91.83,8.6696,46.7354,144.09,26.3273285,328.26,361.9505,9.66672,7.568515,7.31224,7.64008,12
2,16.75,424.715,0.1410625,13.6921607525,2.1104775,18.028225,2.3869975,0.23306725,102.377234,92.23,8.57222525,8.8861825,84.88105,16.9625,327.29103,358.13825,9.477557617,7.6415925,7.37456,7.6428875,10.35
2,17.25,426.0905,0.23579075,11.80751,-2.25167,10.8012,2.132125,0.209992,102.36716675,92.694975,8.21571475,-1.45,30.6498965,7.910224,325.567787,354.21325,9.18853,7.69894,7.39433,7.65328,8.0875
2,17.75,426.222,0.263764,9.2275,-2.083495,5.401605,1.733155,0.173386,102.368713,92.96751,7.77,-7.9839165,3.086806,2.35,324.888348,351.876,8.5704,7.721985,7.4423075,7.606905,8.825
2,18.25,428.3405,0.405973,7.2634295,-1.22679,3.4447,1.560675,0.1559285,102.35195075,94.34767575,7.19317675,-8.48069775,0.02601625,1.9818875,324.80859675,348.51575,7.94912,7.776195,7.4729125,7.6223675,11.15
2,18.75,430.271,0.357065,5.43022899975,-0.924774,2.976315,1.66244,0.18541,102.315,95.148054,6.87131125,-7.3375,0,2.124475,322.72587675,346.4344375,7.4155975,7.78316,7.4961225,7.65772,11
2,19.25,432.535,0.398316,3.82911875,-0.22945275,1.99789,1.281545,0.153017,102.29875,95.4584335,6.613075,-6.22115175,0,2.29374775,321.21250925,345.21925,7.040762977,7.7688575,7.4773525,7.6159975,20.025
2,19.75,439.1915,0.406977,2.3952775,-0.7456025,1.68683,1.29221,0.1485305,102.3025,95.93959,6.40468,-7.0884065,0.0018595,2.31471525,321.5425,344.09623325,6.85814135,7.7555125,7.50096,7.595535,9.9675
2,20.25,441.52,0.606832,1.4241939165,-0.75257075,2.27503,1.3824925,0.15490475,102.31625,96.245922,6.318784,-8.11,0.01,2.315,322.31825225,342.17128775,6.5207563,7.7573975,7.4988925,7.5974175,17.725
2,20.75,441.29,0.3537815,0.7122529,-0.7663365,3.0014175,1.522665,0.159579,102.32,96.752815,6.0556485,-5.86594225,0.01258075,2.0913125,324.205,342.53449475,6.39955,7.720725,7.527065,7.611455,9.65
